Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Cash & Equivalents,99.76,131.16,69.83,124.14,181.09,25.14,6.52,6.04,3.99,10.95,5.47
Cash & Short-Term Investments,99.76,131.16,69.83,124.14,181.09,25.14,6.52,6.04,3.99,10.95,5.47
Cash Growth,-32.38%,87.85%,-43.75%,-31.45%,620.44%,285.70%,7.95%,51.38%,-63.57%,100.20%,6.49%
Accounts Receivable,75.59,74.04,58.05,20.79,18.26,17.26,16.79,6.66,6.27,5.94,5.7
Other Receivables,-,-,-,-,0.1,0.26,-,-,-,-,-
Receivables,75.59,74.04,58.05,20.79,18.36,17.52,16.79,6.66,6.27,5.94,5.7
Restricted Cash,79.02,229.04,70.38,56.42,70.21,162.61,78.29,39.67,58.57,78.59,92.02
Other Current Assets,19.79,31.71,14.94,32.33,0.09,-,-,-,-,-,-
Total Current Assets,274.15,465.95,213.2,233.68,269.75,205.27,101.6,52.37,68.83,95.48,103.18
Long-Term Investments,"8,962","8,235","5,517","5,446","4,895","4,238","4,293","1,783","1,685","1,661","1,530"
Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,0.15,0.17
Other Long-Term Assets,0.81,4.62,3.66,1.19,0.28,0.8,0.33,0.34,0.33,0.28,0.28
Total Assets,"9,237","8,706","5,733","5,681","5,165","4,444","4,395","1,836","1,754","1,757","1,633"
Accounts Payable,4.13,4.02,2.29,0.87,1.79,0.8,4.34,1.09,0.09,0.92,0.88
Accrued Expenses,97.79,85,64.49,58.06,29.06,28.43,48.1,22.86,19.31,17.21,15.69
Total Current Liabilities,113.64,89.02,66.79,58.93,30.85,29.23,52.44,23.95,19.4,18.14,16.58
Long-Term Debt,"5,127","4,599","3,118","3,076","2,551","2,018","2,119",842.75,776.83,859.55,805.98
Long-Term Deferred Tax Liabilities,0.4,3,1.09,1.4,-,-,-,-,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,1.06,0.12,-,-,-,-
Total Liabilities,"5,241","4,691","3,186","3,137","2,582","2,048","2,172",866.7,796.23,877.68,822.56
Common Stock,0.27,0.26,0.17,0.17,0.17,0.17,0.13,0.06,0.06,0.06,0.05
Additional Paid-In Capital,"4,203","4,167","2,647","2,677","2,664","2,625","2,311",949.55,939.31,856,790.71
Retained Earnings,-207.87,-152.99,-99.2,-132.35,-81.73,-228.58,-87.89,19.25,18.58,22.77,20.11
Shareholders' Equity,"3,995","4,015","2,548","2,545","2,583","2,396","2,223",968.85,957.95,878.83,810.87
Total Liabilities & Equity,"9,237","8,706","5,733","5,681","5,165","4,444","4,395","1,836","1,754","1,757","1,633"
Total Debt,"5,127","4,599","3,118","3,076","2,551","2,018","2,119",842.75,776.83,859.55,805.98
Net Cash (Debt),"-5,027","-4,468","-3,048","-2,952","-2,370","-1,993","-2,113",-836.71,-772.84,-848.6,-800.51
Net Cash Per Share,-18.93,-22.20,-17.89,-17.30,-14.11,-13.38,-32.26,-13.55,-13.58,-16.34,-16.33
Filing Date Shares Outstanding,266.38,264.28,169.59,170.9,170.03,167.26,132.66,60.17,59.58,55.06,51.3
Total Common Shares Outstanding,266.38,264.28,169.59,170.9,170.03,167.26,132.66,60.17,59.58,55.06,51.3
Working Capital,160.52,376.93,146.42,174.75,238.91,176.05,49.16,28.42,49.43,77.34,86.61
Book Value Per Share,15.00,15.19,15.02,14.89,15.19,14.33,16.76,16.10,16.08,15.96,15.81
Tangible Book Value,"3,995","4,015","2,548","2,545","2,583","2,396","2,223",968.85,957.95,878.83,810.87
Tangible Book Value Per Share,15.00,15.19,15.02,14.89,15.19,14.33,16.76,16.10,16.08,15.96,15.81
