Period Ending,"Aug '25Aug 30, 2025","May '25May 31, 2025","Jun '24Jun 1, 2024","Jun '23Jun 3, 2023","May '22May 28, 2022","May '21May 29, 2021","May '20May 30, 2020","Jun '19Jun 1, 2019","Jun '18Jun 2, 2018","Jun '17Jun 3, 2017","May '16May 28, 2016"
Cash & Equivalents,251.92,499.39,237.88,292.82,59.08,57.35,78.13,69.25,48.43,17.56,29.05
Short-Term Investments,"1,001",892.71,574.5,355.09,115.43,112.16,154.16,250.18,282.59,138.46,360.5
Cash & Short-Term Investments,"1,253","1,392",812.38,647.91,174.51,169.51,232.29,319.43,331.02,156.03,389.55
Cash Growth,66.32%,71.36%,25.38%,271.27%,2.95%,-27.03%,-27.28%,-3.50%,112.16%,-59.95%,50.62%
Accounts Receivable,242.85,244.08,138.55,110.98,169.11,79.07,84.98,57.06,80.73,61.26,62.01
Other Receivables,3.07,28.28,23.89,76.23,50.3,47.57,13.4,14.7,5.11,55.94,17.27
Receivables,245.92,272.36,162.44,187.21,219.4,126.64,98.38,71.76,85.84,117.2,79.28
Inventory,328.43,295.67,261.78,284.42,263.32,218.38,187.22,172.24,168.64,160.69,154.8
Prepaid Expenses,19.11,6.98,5.24,5.38,4.29,5.41,4.37,4.33,2.02,2.29,2.66
Restricted Cash,-,1,-,-,-,-,-,-,-,-,-
Total Current Assets,"1,847","1,968","1,242","1,125",661.52,519.93,522.25,567.75,587.52,436.21,626.28
"Property, Plant & Equipment","1,196","1,027",857.23,744.54,677.8,591.67,560.58,456.29,425.38,458.18,392.27
Long-Term Investments,10.91,11.1,11.2,14.45,19.28,59.06,63.73,70.91,72.51,65.73,53.98
Goodwill,75.82,46.78,45.78,44.01,44.01,35.53,35.53,35.53,35.53,35.53,29.2
Other Intangible Assets,50.44,15.16,16,15.9,18.13,20.34,22.82,23.76,26.31,29.15,4.96
Other Long-Term Assets,16.83,16.8,12.72,10.71,6.76,2.65,1.79,2.03,3.21,8.3,5.08
Total Assets,"3,196","3,085","2,185","1,955","1,427","1,229","1,207","1,156","1,150","1,033","1,112"
Accounts Payable,108.77,101.03,75.86,82.59,82.05,52.78,55.9,39.21,37.84,30.63,36.26
Accrued Expenses,54.34,93.18,70.77,54.72,40.28,36.41,36.28,34,31.92,29.22,30.87
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,1.5,3.54,4.83,16.32
Current Portion of Leases,-,-,-,-,-,0.91,1,0.2,-,-,-
Current Income Taxes Payable,40.39,-,43.35,8.29,25.69,-,-,-,17.45,-,-
Other Current Liabilities,66.46,114.16,37.76,37.13,36.66,-,-,-,17.09,-,-
Total Current Liabilities,269.95,308.37,227.74,182.73,184.67,90.1,93.18,74.91,107.84,64.68,83.45
Long-Term Debt,-,-,-,-,-,-,-,-,1.21,6.11,9.25
Long-Term Leases,-,-,-,-,-,1.47,2.39,0.86,1.34,-,-
Long-Term Deferred Tax Liabilities,168.95,154.65,142.87,152.21,128.2,114.41,92.77,82.6,76.06,110.28,95.38
Other Long-Term Liabilities,55.58,55.58,17.11,10,10.27,10.42,8.68,8.11,8.32,7.53,6.32
Total Liabilities,494.48,518.6,387.72,344.94,323.14,216.39,197.02,166.47,194.77,188.6,194.4
Common Stock,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Additional Paid-In Capital,82.13,80.85,76.37,72.11,67.99,64.04,60.37,56.86,53.32,49.93,46.4
Retained Earnings,"2,699","2,566","1,756","1,571","1,066",975.98,975.15,954.53,924.92,816.05,890.44
Treasury Stock,-85.89,-85.89,-31.6,-30.01,-28.45,-27.43,-26.67,-25.87,-24.97,-23.91,-22.27
Comprehensive Income & Other,0.95,-1.01,-1.77,-2.89,-1.6,-0.56,0.08,0.36,-0.69,-0.13,-0.05
Total Common Equity,"2,697","2,561","1,800","1,611","1,105","1,013","1,010",986.62,953.33,842.69,915.28
Minority Interest,5.16,5.39,-3.1,-1.5,-0.21,-,-,3.18,2.35,1.81,2.09
Shareholders' Equity,"2,702","2,566","1,797","1,610","1,104","1,013","1,010",989.81,955.68,844.49,917.36
Total Liabilities & Equity,"3,196","3,085","2,185","1,955","1,427","1,229","1,207","1,156","1,150","1,033","1,112"
Total Debt,-,-,-,-,-,2.38,3.39,2.55,6.09,10.94,25.57
Net Cash (Debt),"1,253","1,392",812.38,647.91,174.51,167.13,228.91,316.87,324.93,145.09,363.98
Net Cash Growth,66.32%,71.36%,25.38%,271.27%,4.42%,-26.99%,-27.76%,-2.48%,123.95%,-60.14%,75.18%
Net Cash Per Share,25.70,28.47,16.62,13.27,3.58,3.43,4.71,6.52,6.70,3.00,7.53
Filing Date Shares Outstanding,48.5,48.5,49.04,48.98,48.94,48.86,48.3,48.69,48.63,48.57,48.53
Total Common Shares Outstanding,48.5,48.49,49.04,48.98,48.94,48.86,48.77,48.69,48.63,48.58,48.54
Working Capital,"1,577","1,660","1,014",942.19,476.85,429.83,429.07,492.85,479.68,371.53,542.83
Book Value Per Share,55.60,52.80,36.71,32.89,22.57,20.73,20.70,20.26,19.60,17.35,18.86
Tangible Book Value,"2,571","2,499","1,738","1,551","1,042",956.92,951.33,927.34,891.5,778.01,881.12
Tangible Book Value Per Share,53.00,51.53,35.45,31.67,21.30,19.59,19.50,19.04,18.33,16.02,18.15
Land,-,158.63,131.05,117.28,109.83,101.17,91.87,93.05,90.76,87.28,80.78
Buildings,-,722.55,627.12,552.67,517.86,454.33,393.2,370.45,360.03,342.93,291.89
Machinery,-,876.02,782.74,715.21,655.93,584.78,531.55,494.94,479,460.22,399.8
Construction In Progress,-,148.62,121.27,98.61,71.97,72.88,126.06,52.55,9.31,36.75,50.18
