Period Ending,"Aug '25Aug 30, 2025","May '25May 31, 2025","Jun '24Jun 1, 2024","Jun '23Jun 3, 2023","May '22May 28, 2022","May '21May 29, 2021","May '20May 30, 2020","Jun '19Jun 1, 2019","Jun '18Jun 2, 2018","Jun '17Jun 3, 2017","May '16May 28, 2016"
Revenue,"4,399","4,262","2,326","3,146","1,777","1,349","1,352","1,361","1,503","1,075","1,909"
Revenue Growth (YoY),65.80%,83.19%,-26.06%,77.04%,31.74%,-0.19%,-0.70%,-9.43%,39.87%,-43.70%,21.10%
Cost of Revenue,"2,484","2,411","1,785","1,950","1,440","1,188","1,172","1,138","1,142","1,029","1,261"
Gross Profit,"1,915","1,851",541.57,"1,196",337.06,160.66,179.59,222.86,361.05,45.55,648.07
"Selling, General & Admin",307.03,299.45,227.48,232.21,198.63,183.94,178.24,177.05,179.32,176.03,177.76
Operating Expenses,307.03,299.45,227.48,232.21,198.63,183.94,178.24,177.05,179.32,176.03,177.76
Operating Income,"1,608","1,551",314.09,964.25,138.43,-23.28,1.35,45.81,181.73,-130.48,470.31
Interest Expense,-0.6,-0.61,-0.55,-0.58,-0.4,-0.21,-0.5,-0.64,-0.27,-0.32,-1.16
Interest & Investment Income,62.92,59.87,43.61,28.79,11.12,11.83,15.06,18.46,11.98,10.77,11.24
Earnings From Equity Investments,6.22,6.22,1.42,0.75,1.94,0.62,0.53,4.78,3.52,1.39,5.02
Other Non Operating Income (Expenses),8.55,0.89,26.38,5.25,9.72,5.43,3.56,2.41,1.63,7.79,0.25
EBT Excluding Unusual Items,"1,685","1,618",384.95,998.46,160.8,-5.62,20,70.81,198.6,-110.85,485.67
Gain (Loss) on Sale of Investments,0.08,0.08,0.19,-0.04,0.11,-1.35,0.14,0.02,-0.04,0.22,0.02
Gain (Loss) on Sale of Assets,-1.66,0.26,-0.03,0.13,-0.38,-2.98,-0.08,-0.03,-0.47,-3.66,1.56
Legal Settlements,-,-,-19.65,-,-,-,-,-,-80.75,-,-
Other Unusual Items,-15,-15,-5.5,-,-,-,-,-,-,-,-
Pretax Income,"1,668","1,603",359.97,998.55,166.02,-9.95,20.06,70.81,117.34,-114.29,487.25
Income Tax Expense,400.71,384.91,83.69,241.82,33.57,-12.01,1.73,15.74,-8.86,-39.87,169.2
Earnings From Continuing Operations,"1,268","1,218",276.28,756.73,132.44,2.06,18.33,55.06,126.2,-74.43,318.05
Minority Interest in Earnings,1.66,1.82,1.61,1.29,0.21,-,0.06,-0.83,-0.26,0.15,-2.01
Net Income,"1,269","1,220",277.89,758.02,132.65,2.06,18.39,54.23,125.93,-74.28,316.04
Net Income to Common,"1,269","1,220",277.89,758.02,132.65,2.06,18.39,54.23,125.93,-74.28,316.04
Net Income Growth,197.33%,339.04%,-63.34%,471.45%,6339.32%,-88.80%,-66.09%,-56.94%,-,-,95.99%
Shares Outstanding (Basic),49,49,49,49,49,49,48,48,48,48,48
Shares Outstanding (Diluted),49,49,49,49,49,49,49,49,48,48,48
Shares Change (YoY),-0.27%,0.04%,0.08%,0.21%,0.16%,0.15%,-0.01%,0.25%,0.22%,-0.01%,-0.15%
EPS (Basic),26.12,25.04,5.70,15.58,2.73,0.04,0.38,1.12,2.60,-1.54,6.56
EPS (Diluted),26.04,24.95,5.69,15.52,2.72,0.04,0.38,1.12,2.60,-1.54,6.53
EPS Growth,198.25%,338.49%,-63.34%,470.59%,6700.00%,-89.46%,-66.09%,-56.97%,-,-,96.10%
Free Cash Flow,"1,215","1,063",304.28,726.44,53.81,-68.93,-50.57,47.1,180.74,-112.58,312.31
Free Cash Flow Per Share,24.92,21.75,6.23,14.88,1.10,-1.42,-1.04,0.97,3.73,-2.33,6.46
Dividend Per Share,8.709,8.357,1.889,5.165,0.874,0.034,-,0.506,0.351,-,2.175
Dividend Growth,200.10%,342.40%,-63.43%,490.96%,2470.59%,-,-,44.16%,-,-,95.95%
Gross Margin,43.54%,43.43%,23.28%,38.03%,18.97%,11.91%,13.29%,16.37%,24.02%,4.24%,33.95%
Operating Margin,36.56%,36.40%,13.50%,30.65%,7.79%,-1.73%,0.10%,3.37%,12.09%,-12.14%,24.64%
Profit Margin,28.86%,28.63%,11.95%,24.09%,7.46%,0.15%,1.36%,3.98%,8.38%,-6.91%,16.56%
Free Cash Flow Margin,27.63%,24.95%,13.08%,23.09%,3.03%,-5.11%,-3.74%,3.46%,12.03%,-10.48%,16.36%
EBITDA,"1,710","1,645",394.34,"1,036",206.82,36.2,59.45,100.46,235.76,-81.37,514.91
EBITDA Margin,38.87%,38.61%,16.95%,32.94%,11.64%,2.68%,4.40%,7.38%,15.69%,-7.57%,26.98%
D&A For EBITDA,101.64,94.02,80.24,72.23,68.4,59.48,58.1,54.65,54.03,49.11,44.59
EBIT,"1,608","1,551",314.09,964.25,138.43,-23.28,1.35,45.81,181.73,-130.48,470.31
EBIT Margin,36.56%,36.40%,13.50%,30.65%,7.79%,-1.73%,0.10%,3.37%,12.09%,-12.14%,24.64%
Effective Tax Rate,24.02%,24.01%,23.25%,24.22%,20.22%,-,8.63%,22.23%,-,-,34.73%
Advertising Expenses,-,-,-,-,-,11.7,9,7.3,6.3,10.3,10.3
