Period Ending,"Nov '25Nov 18, 2025","May '25May 31, 2025","Jun '24Jun 1, 2024","Jun '23Jun 3, 2023","May '22May 28, 2022","May '21May 29, 2021","May '20May 30, 2020","Jun '19Jun 1, 2019","Jun '18Jun 2, 2018","Jun '17Jun 3, 2017","May '16May 28, 2016"
Market Capitalization,"4,241","4,705","3,024","2,330","2,357","1,706","2,173","1,803","2,276","1,873","2,220"
Market Cap Growth,-2.82%,55.58%,29.81%,-1.15%,38.19%,-21.52%,20.56%,-20.80%,21.54%,-15.65%,-19.21%
Enterprise Value,"3,015","3,470","2,327","1,684","2,262","1,528","2,029","1,467","2,002","1,708","1,862"
Last Close Price,88.01,92.37,55.23,41.09,37.83,27.36,34.89,28.98,35.92,29.59,35.11
PE Ratio,3.36,3.86,10.88,3.07,17.77,827.95,118.18,33.24,18.07,-,7.03
Forward PE,11.49,7.88,15.79,7.56,10.09,87.82,15.76,62.75,15.42,22.40,30.29
PS Ratio,0.97,1.10,1.30,0.74,1.33,1.26,1.61,1.32,1.51,1.74,1.16
PB Ratio,1.58,1.83,1.68,1.45,2.13,1.68,2.15,1.82,2.38,2.22,2.42
P/TBV Ratio,1.66,1.88,1.74,1.50,2.26,1.78,2.29,1.94,2.55,2.41,2.52
P/FCF Ratio,3.51,4.42,9.94,3.21,43.80,-,-,38.28,12.59,-,7.11
P/OCF Ratio,3.08,3.84,6.70,2.70,18.68,65.26,29.53,15.66,11.36,-,5.72
PEG Ratio,-,4.58,4.58,4.58,4.58,4.58,4.58,4.58,1.23,2.55,2.82
EV/Sales Ratio,0.69,0.81,1.00,0.54,1.27,1.13,1.50,1.08,1.33,1.59,0.98
EV/EBITDA Ratio,1.76,2.11,5.90,1.62,10.94,42.20,34.13,14.60,8.49,-,3.62
EV/EBIT Ratio,1.88,2.24,7.41,1.75,16.34,-,1501.82,32.02,11.02,-,3.96
EV/FCF Ratio,2.48,3.26,7.65,2.32,42.03,-,-,31.15,11.08,-,5.96
Debt / Equity Ratio,-,-,-,-,-,0.00,0.00,0.00,0.01,0.01,0.03
Debt / EBITDA Ratio,-,-,-,-,-,0.06,0.05,0.03,0.03,-,0.05
Debt / FCF Ratio,-,-,-,-,-,-,-,0.05,0.03,-,0.08
Asset Turnover,1.58,1.62,1.12,1.86,1.34,1.11,1.14,1.18,1.38,1.00,1.87
Inventory Turnover,7.99,8.65,6.54,7.12,5.98,5.86,6.52,6.68,6.93,6.52,8.37
Quick Ratio,5.55,5.40,4.28,4.57,2.13,3.29,3.55,5.22,3.87,4.22,5.62
Current Ratio,6.84,6.38,5.45,6.16,3.58,5.77,5.61,7.58,5.45,6.74,7.51
Return on Equity (ROE),55.11%,55.84%,16.22%,55.77%,12.51%,0.20%,1.83%,5.66%,14.02%,-8.45%,39.22%
Return on Assets (ROA),35.98%,36.80%,9.49%,35.64%,6.51%,-1.20%,0.07%,2.48%,10.40%,-7.60%,28.81%
Return on Capital (ROIC),43.69%,44.45%,11.53%,44.41%,8.16%,-1.44%,0.08%,2.93%,12.50%,-9.07%,34.62%
Return on Capital Employed (ROCE),54.90%,55.90%,16.00%,54.40%,11.10%,-2.00%,0.10%,4.20%,17.40%,-13.50%,45.70%
Earnings Yield,29.74%,25.93%,9.19%,32.54%,5.63%,0.12%,0.85%,3.01%,5.53%,-3.97%,14.24%
FCF Yield,28.47%,22.60%,10.06%,31.18%,2.28%,-4.04%,-2.33%,2.61%,7.94%,-6.01%,14.07%
Dividend Yield,9.55%,9.05%,3.42%,12.57%,2.31%,0.12%,-,1.75%,0.98%,-,6.19%
Payout Ratio,33.48%,27.07%,33.05%,33.28%,4.61%,80.19%,-,76.92%,-,-,38.27%
Buyback Yield / Dilution,0.27%,-0.04%,-0.08%,-0.21%,-0.16%,-0.15%,0.01%,-0.25%,-0.22%,0.01%,0.15%
Total Shareholder Return,9.77%,9.01%,3.34%,12.37%,2.15%,-0.02%,0.01%,1.50%,0.76%,0.01%,6.34%
