Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,-,-,-,-,-,-,-,-,0.01,-,-
Other Revenue,6.02,10.79,4.57,4.51,4.2,0.01,-0.01,0.82,0.35,0.15,0.23
Revenue,6.02,10.79,4.57,4.51,4.2,0.01,-0.01,0.82,0.36,0.15,0.23
Revenue Growth (YoY),-33.90%,135.94%,1.53%,7.18%,29921.43%,-,-,128.93%,135.76%,-33.77%,20.64%
Cost of Revenue,-,-,-,-,-,33.78,28.19,15.38,10.47,14.65,14.75
Gross Profit,6.02,10.79,4.57,4.51,4.2,-33.77,-28.2,-14.56,-10.12,-14.49,-14.52
"Selling, General & Admin",34.58,38.9,28.82,7.49,5.58,5.6,4.89,4.3,3.78,3.56,3.42
Research & Development,159.83,146.53,103.18,48.3,47.78,-,-,-,-,-,-
Other Operating Expenses,-1.7,-1.66,-0.05,-0.08,-0.04,0.16,0.13,0.15,0.16,0.11,0.16
Operating Expenses,192.71,183.78,131.95,55.71,53.33,5.83,5.1,4.55,4.03,3.74,3.73
Operating Income,-186.68,-172.98,-127.38,-51.2,-49.12,-39.6,-33.3,-19.11,-14.15,-18.24,-18.26
Interest Expense,-14.24,-12.43,-13.83,-6.94,-3.56,-2.32,-1.64,-0.53,-0.03,-0.03,-0.11
Interest & Investment Income,4.48,8.25,2.42,-,-,-,0.01,0.08,0.12,0.3,0.05
Currency Exchange Gain (Loss),-1.62,2.72,-5.57,-,-,-,-0.03,-0.01,-0.01,-0.01,-0.01
Other Non Operating Income (Expenses),2.66,-1.8,-6.58,9.59,2.51,0,-0,0,-,-0,-0.04
EBT Excluding Unusual Items,-195.39,-176.24,-150.94,-48.55,-50.17,-41.91,-34.96,-19.57,-14.07,-17.98,-18.37
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-0.25
Impairment of Goodwill,-,-,-,-13.63,-,-,-,-,-,-,-
Other Unusual Items,-,-,3.2,1.45,7.72,1.79,0.07,-0.23,0.16,0.15,-0.16
Pretax Income,-195.39,-176.24,-147.74,-60.74,-42.45,-40.13,-34.89,-19.79,-13.91,-17.83,-18.79
Income Tax Expense,-,-,-,-,-,-2.58,-4.26,-3.97,-2.69,-3.52,-2.83
Net Income,-195.39,-176.24,-147.74,-60.74,-42.45,-37.55,-30.63,-15.82,-11.22,-14.31,-15.96
Net Income to Common,-195.39,-176.24,-147.74,-60.74,-42.45,-37.55,-30.63,-15.82,-11.22,-14.31,-15.96
Shares Outstanding (Basic),63,63,43,19,15,14,12,10,10,10,10
Shares Outstanding (Diluted),63,63,43,19,15,14,12,10,10,10,10
Shares Change (YoY),11.88%,46.39%,125.57%,23.53%,7.84%,17.43%,19.56%,2.79%,2.03%,0.05%,40.70%
EPS (Basic),-3.09,-2.80,-3.43,-3.18,-2.75,-2.62,-2.51,-1.55,-1.13,-1.47,-1.64
EPS (Diluted),-3.09,-2.80,-3.43,-3.18,-2.75,-2.62,-2.51,-1.55,-1.13,-1.47,-1.64
Free Cash Flow,-135.98,-154.71,-97.4,-54.22,-45.1,-30.72,-28.41,-15.37,-9.43,-16.33,-15.93
Free Cash Flow Per Share,-2.15,-2.45,-2.26,-2.84,-2.92,-2.14,-2.33,-1.50,-0.95,-1.68,-1.64
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,-,-,-,-,-,-
Operating Margin,-3099.50%,-1602.88%,-2784.78%,-1136.60%,-1168.74%,-282828.57%,-,-2344.66%,-3974.72%,-12076.82%,-8006.58%
Profit Margin,-3244.03%,-1633.08%,-3230.00%,-1348.28%,-1010.04%,-268221.43%,-,-1941.47%,-3152.25%,-9475.50%,-6997.81%
Free Cash Flow Margin,-2257.71%,-1433.58%,-2129.32%,-1203.64%,-1072.92%,-219435.71%,-,-1885.40%,-2648.32%,-10813.91%,-6986.40%
EBITDA,-185.65,-171.88,-126.67,-50.72,-49.07,-39.53,-33.22,-19.04,-14.06,-18.17,-18.12
D&A For EBITDA,1.03,1.1,0.71,0.49,0.05,0.07,0.08,0.07,0.09,0.07,0.14
EBIT,-186.68,-172.98,-127.38,-51.2,-49.12,-39.6,-33.3,-19.11,-14.15,-18.24,-18.26
Revenue as Reported,7.72,12.45,4.62,4.58,11.96,1.65,0,0.82,0.36,0.15,0.23
