Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,865",443,680,111,531,582,298,135,101,64,148
Market Cap Growth,1098.26%,-34.81%,513.79%,-79.15%,-8.73%,95.59%,119.98%,34.49%,56.75%,-56.61%,-
Enterprise Value,"7,909",330,611,135,563,597,309,127,81,35,92
Last Close Price,100.90,7.32,10.70,-,-,-,-,-,-,-,-
PS Ratio,1111.95,39.67,134.50,23.01,111.15,33992.46,-37888.96,145.00,235.34,402.62,597.33
PB Ratio,-,10.55,3.14,14.42,18.01,26.59,14.27,3.41,1.74,1.07,1.90
P/TBV Ratio,-,27.52,3.60,-,-,-,-,44.61,5.18,2.46,3.43
EV/Sales Ratio,1118.17,29.58,120.88,27.95,117.68,34879.88,-,135.70,190.29,218.94,371.22
Debt / Equity Ratio,-2.04,2.69,0.38,6.85,1.99,1.90,1.12,0.32,-,0.01,0.01
Asset Turnover,0.03,0.04,0.02,0.05,0.05,0,-,0.02,0.01,0.00,0.00
Quick Ratio,0.67,1.70,3.09,0.69,2.14,1.92,1.45,2.45,3.81,7.84,11.56
Current Ratio,0.77,1.82,3.15,0.70,2.34,1.94,1.47,2.47,3.84,7.85,11.59
Return on Equity (ROE),-499.78%,-148.98%,-145.41%,-366.75%,-193.69%,-205.80%,-115.07%,-38.20%,-21.40%,-22.28%,-30.20%
Return on Assets (ROA),-57.74%,-40.62%,-39.55%,-34.64%,-34.01%,-40.23%,-39.35%,-22.14%,-15.46%,-16.66%,-19.98%
Return on Capital (ROIC),-80.40%,-51.45%,-48.71%,-47.76%,-47.43%,-54.26%,-49.03%,-25.48%,-16.81%,-17.64%,-21.09%
Earnings Yield,-2.92%,-41.16%,-24.02%,-58.59%,-9.09%,-7.89%,-11.55%,-13.39%,-13.40%,-23.54%,-11.71%
FCF Yield,-2.01%,-36.13%,-15.83%,-52.31%,-9.65%,-6.46%,-10.71%,-13.00%,-11.25%,-26.86%,-11.70%
Buyback Yield / Dilution,-11.88%,-46.39%,-125.57%,-23.53%,-7.84%,-17.43%,-19.56%,-2.79%,-2.03%,-0.05%,-40.70%
