Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Total Interest Expense,747.53,779.53,617.48,402.3,135.73,52.67,84.4,72.31,61.09,-,0.02
Net Interest Income,-747.53,-779.53,-617.48,-402.3,-135.73,-52.67,-84.4,-72.31,-61.09,-,-0.02
Brokerage Commission,"3,152","3,130","2,782","2,667","2,658","2,231","1,337",861.07,639.62,-,-
Trading & Principal Transactions,-,-,-,-,-,-,-,-,-,-,300.44
Asset Management Fee,"1,744","1,743","1,628","1,581","1,490","1,224","1,035",527.64,221.94,-,-
Gain on Sale of Investments (Rev),"2,041","2,285","1,979","1,631","1,917","1,430","1,155",631.95,401.4,-,-
Other Revenue,"10,622","9,873","8,471","7,468","6,012","3,267","1,601",937.79,643.7,"1,252",360.73
Revenue,"16,811","16,251","14,243","12,945","11,941","8,099","5,043","2,886","1,846","1,252",661.14
Revenue Growth (YoY),6.65%,14.10%,10.02%,8.40%,47.44%,60.59%,74.75%,56.38%,47.43%,89.34%,57.80%
Cost of Services Provided,"11,482","11,122","9,964","9,580","8,297","5,750","3,604","2,162","1,241",871.43,211.85
Other Operating Expenses,-153.56,-145.59,-23.48,-214.92,-278.8,-224.4,-133.43,47.79,8.58,7.43,264.15
Total Operating Expenses,"11,713","11,265","10,301","9,459","8,110","5,581","3,480","2,218","1,249",878.86,476.01
Operating Income,"5,098","4,987","3,941","3,486","3,831","2,518","1,564",668.18,596.07,372.95,185.13
Other Non-Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,7.35
EBT Excluding Unusual Items,"5,127","5,034","4,015","3,474","3,823","2,519","1,564",668.18,596.07,372.95,192.49
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-0.69,-,-
Asset Writedown,-8.38,-29.45,-32.27,-20.81,-20.37,-73.14,-11.25,-19.92,-4.49,-2.77,-
Legal Settlements,-24.12,-18.55,-46.1,-8.56,-3.67,-45.28,-9.5,-16.39,-18.37,-0.39,-
Pretax Income,"5,094","4,986","3,936","3,445","3,815","2,421","1,544",640.73,575.51,373.92,192.49
Income Tax Expense,169.64,471.13,36.96,-135.56,222.71,339.92,454.63,175.4,151.97,130.15,56.87
Earnings From Continuing Ops.,"4,925","4,515","3,899","3,580","3,592","2,081","1,089",465.33,423.54,243.77,135.62
Minority Interest in Earnings,-4.24,-1.43,-0.69,-1.16,-3.04,-5.06,-9,-3.89,-9.67,-55.09,-59.82
Net Income,"4,921","4,513","3,899","3,579","3,589","2,076","1,080",461.44,413.87,188.68,75.8
Net Income to Common,"4,921","4,513","3,899","3,579","3,589","2,076","1,080",461.44,413.87,188.68,75.8
Net Income Growth,15.09%,15.77%,8.93%,-0.29%,72.87%,92.18%,134.16%,11.49%,119.36%,148.90%,221.37%
Shares Outstanding (Basic),534,542,540,555,559,552,511,493,485,485,246
Shares Outstanding (Diluted),540,548,544,573,573,559,512,493,485,485,246
Shares Change (YoY),-2.52%,0.76%,-5.03%,-0.09%,2.57%,9.26%,3.77%,1.69%,-,97.49%,2.94%
EPS (Basic),9.21,8.33,7.22,6.44,6.42,3.76,2.11,0.94,0.85,0.39,0.31
EPS (Diluted),9.11,8.23,7.16,6.25,6.26,3.71,2.11,0.94,0.85,0.39,0.31
EPS Growth,18.07%,14.90%,14.69%,-0.20%,68.53%,75.88%,125.65%,9.64%,119.36%,26.03%,212.19%
Free Cash Flow,"10,487","11,034","8,061","1,759","-4,156","1,366","-3,886",-539.9,232,-14.4,180.51
Free Cash Flow Per Share,19.41,20.12,14.81,3.07,-7.25,2.44,-7.59,-1.09,0.48,-0.03,0.73
Dividend Per Share,-,-,6.357,-,-,-,-,-,-,17.840,12.880
Dividend Growth,-,-,-,-,-,-,-,-,-,38.51%,-
Operating Margin,30.33%,30.69%,27.67%,26.93%,32.08%,31.09%,31.01%,23.15%,32.30%,29.79%,28.00%
Profit Margin,29.27%,27.77%,27.37%,27.65%,30.06%,25.64%,21.42%,15.99%,22.43%,15.07%,11.47%
Free Cash Flow Margin,62.38%,67.90%,56.60%,13.59%,-34.80%,16.86%,-77.06%,-18.71%,12.57%,-1.15%,27.30%
Effective Tax Rate,3.33%,9.45%,0.94%,-,5.84%,14.04%,29.44%,27.38%,26.41%,34.81%,29.54%
Revenue as Reported,"17,559","17,031","14,860","13,347","12,077","8,152","5,128","2,958","1,907","1,252",-
