Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"10,051","6,364","14,289","8,595","16,081","22,173","21,255",-,-,-,-
Market Cap Growth,5.60%,-55.46%,66.24%,-46.55%,-27.47%,4.32%,-,-,-,-,-
Last Close Price,19.08,11.85,24.81,13.81,25.88,35.72,34.68,-,-,-,-
PE Ratio,11.41,8.72,17.78,12.70,24.96,55.46,79.07,-,-,-,-
PS Ratio,3.30,2.42,4.87,3.51,7.50,14.22,16.94,-,-,-,-
PB Ratio,2.46,1.96,3.56,2.67,6.21,10.57,11.94,-,-,-,-
P/FCF Ratio,5.08,3.57,8.60,25.83,-,84.32,-,-,-,-,-
P/OCF Ratio,5.15,3.52,8.53,25.19,-,76.22,-,-,-,-,-
Debt / Equity Ratio,7.75,7.94,5.47,4.44,3.99,4.20,3.13,4.67,2.10,1.16,1.65
Debt / FCF Ratio,16.45,14.43,13.20,43.03,-,33.52,-,-,10.42,-,5.65
Asset Turnover,0.05,0.05,0.07,0.08,0.10,0.12,0.16,0.23,0.32,0.33,0.22
Quick Ratio,1.25,1.21,1.34,1.31,1.32,1.08,1.15,1.00,1.02,0.84,0.57
Current Ratio,1.28,1.25,1.38,1.37,1.35,1.11,1.18,1.08,1.22,1.21,1.12
Return on Equity (ROE),23.32%,22.86%,21.37%,22.76%,28.38%,23.06%,23.56%,28.69%,37.71%,28.49%,24.58%
Return on Assets (ROA),1.47%,1.51%,1.77%,2.16%,3.05%,2.98%,3.55%,3.74%,7.45%,6.32%,4.55%
Earnings Yield,8.98%,11.47%,5.62%,7.88%,4.01%,1.80%,1.26%,-,-,-,-
FCF Yield,19.70%,28.04%,11.63%,3.87%,-4.64%,1.19%,-4.55%,-,-,-,-
Dividend Yield,7.23%,-,5.28%,-,-,-,-,-,-,-,-
Payout Ratio,38.88%,45.13%,90.86%,-,-,-,46.28%,70.43%,45.91%,92.42%,108.11%
Buyback Yield / Dilution,2.52%,-0.76%,5.03%,0.09%,-2.57%,-9.26%,-3.77%,-1.69%,0.00%,-97.49%,-2.94%
Total Shareholder Return,9.76%,-0.76%,10.31%,0.09%,-2.57%,-9.26%,-3.77%,-1.69%,-,-97.49%,-2.94%
