Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"12,088","5,611","3,943","3,553","2,486","1,955",109.92,68.41,153.22,14.91,27.6
Short-Term Investments,"10,121","22,057","14,889","7,604","8,895","6,627","9,490","6,571",934.98,"1,197",624.79
Trading Asset Securities,"224,196","195,524","126,250","95,013","68,767","56,777","26,282","7,811","4,044","1,347",934.22
Accounts Receivable,-,608.95,515.59,487.33,413,448.84,454.28,200.17,118.95,58.46,17.47
Other Receivables,"34,740","29,424","28,768","22,341","12,881","3,980",25.15,19.66,37.39,28.94,35.94
"Property, Plant & Equipment",704.91,763.1,655.17,569.39,598.47,387.17,369.94,99.13,47.07,28.67,18.92
Goodwill,-,"1,921","1,833",595.22,542.75,474.37,382.5,382.5,372.7,91,-
Other Intangible Assets,"2,665",713.1,668.64,248.96,278.23,239.2,170.95,122.42,110.51,32.27,127.23
Investments in Debt & Equity Securities,"67,638","66,949","55,127","47,268","35,033","20,938","4,903",911.49,-,90.84,32.86
Other Current Assets,"7,203","8,523","4,719","5,922","2,162","1,830","1,035","1,309","1,037","1,158","1,563"
Long-Term Deferred Tax Assets,"2,856","2,888","2,104","1,612","1,273",505.05,284.53,152.43,226.48,171.07,84.39
Other Long-Term Assets,"11,641","12,475","9,567","6,821","6,012","1,867",116.22,77.13,53.21,21.57,4.6
Total Assets,"373,850","347,457","249,041","192,035","139,340","96,029","43,623","17,724","7,136","4,240","3,471"
Accounts Payable,719.89,763.47,948.22,617.39,867.53,859.55,266.81,134.58,71.58,68.42,38.48
Accrued Expenses,"1,077","1,557","1,480","1,190","1,298",841.81,573.8,258.67,181.96,133.93,108.47
Short-Term Debt,"126,209","113,494","58,126","40,396","38,190","39,659","18,868","7,632",838.38,"1,269","1,019"
Current Portion of Long-Term Debt,"16,259","18,102","24,212","15,451","4,018","2,462","2,521","1,307",805.27,-,-
Current Portion of Leases,-,40.76,69.72,69.72,71.93,34.02,52.77,-,-,-,-
Other Current Liabilities,"80,619","75,483","45,063","40,413","25,929","20,415","9,194","5,341","3,263","1,637","1,673"
Long-Term Debt,"29,677","27,304","23,802","19,577","14,934","3,448",737.87,828.36,774.42,-,-
Long-Term Leases,342.58,270.59,235.04,215.92,246.63,174.43,202.64,-,-,-,-
Long-Term Deferred Tax Liabilities,300.87,265.29,86.36,111.04,28.93,8.35,5.13,12.03,6.81,-,-
Other Long-Term Liabilities,"22,889","23,734","18,933","11,074","7,142","3,580",22.48,33.62,11.84,5.33,2.64
Total Liabilities,"351,581","327,410","229,590","174,992","124,921","85,132","36,467","15,633","5,984","3,145","2,854"
Common Stock,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,254.62,254.62,85.81
Additional Paid-In Capital,"4,681","5,651","6,417","6,986","6,821","6,821","5,410",927.9,-,-,-
Retained Earnings,"2,554",-,-,-,-,-,-,-,150.24,51.37,7.26
Comprehensive Income & Other,"15,166","14,614","13,149","12,036","7,768","4,073","1,743","1,157",738.94,739.17,302.57
Total Common Equity,"22,263","20,044","19,449","17,036","14,417","10,895","7,153","2,085","1,144","1,045",395.64
Minority Interest,6.54,3.68,1.49,6.48,2.79,3.01,2.56,6.94,7.92,49.65,220.75
Shareholders' Equity,"22,270","20,047","19,451","17,042","14,420","10,898","7,156","2,092","1,152","1,095",616.38
Total Liabilities & Equity,"373,850","347,457","249,041","192,035","139,340","96,029","43,623","17,724","7,136","4,240","3,471"
Total Debt,"172,487","159,211","106,444","75,709","57,460","45,777","22,382","9,768","2,418","1,269","1,019"
Net Cash (Debt),"73,917","63,980","38,638","30,460","22,687","19,582","13,500","4,682","2,714","1,290",567.67
Net Cash Growth,17.91%,65.59%,26.85%,34.26%,15.86%,45.05%,188.31%,72.50%,110.49%,127.17%,32.70%
Net Cash Per Share,136.83,116.68,71.00,53.16,39.56,35.02,26.38,9.50,5.60,2.66,2.31
Filing Date Shares Outstanding,526.79,537.42,548.44,541.32,559,559.06,551.8,255.13,484.92,325.01,267.4
Total Common Shares Outstanding,526.79,537.42,548.44,541.32,559,559.06,551.8,255.13,484.92,325.01,267.4
Working Capital,"62,851","52,135","48,960","36,639","24,956","7,086","5,656","1,237","1,135",664.72,351.04
Book Value Per Share,42.26,37.30,35.46,31.47,25.80,19.49,12.96,8.17,2.36,3.22,1.48
Tangible Book Value,"19,599","17,409","16,947","16,192","13,596","10,181","6,600","1,580",660.59,921.89,268.41
Tangible Book Value Per Share,37.20,32.39,30.90,29.91,24.33,18.21,11.96,6.19,1.36,2.84,1.00
