Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,435.83,233.18,145.24,109.46,131.84,198.32,175.34,164.25,154.94,133.59,99.89
Revenue Growth (YoY),114.22%,60.55%,32.69%,-16.97%,-33.52%,13.11%,6.75%,6.01%,15.98%,33.73%,254.19%
Cost of Revenue,220.55,225.24,256.44,231.75,204.98,137.9,146.2,5.53,3.61,4.55,2.19
Gross Profit,215.28,7.94,-111.2,-122.29,-73.14,60.42,29.14,158.72,151.33,129.04,97.71
"Selling, General & Admin",305.01,264.12,265.54,197.52,126.28,135.8,128.95,103.65,101.33,91.94,79.54
Research & Development,-,-,-,-,-,-,-,123.76,78.17,70.82,50.43
Operating Expenses,305.01,264.12,265.54,197.52,126.28,135.8,128.95,227.41,179.5,162.76,129.97
Operating Income,-89.73,-256.18,-376.74,-319.81,-199.43,-75.38,-99.81,-68.69,-28.17,-33.73,-32.26
Interest Expense,-11.27,-11.18,-11.33,-11.01,-19.68,-19.05,-18.83,-9.81,-4.42,-4.73,-7.75
Interest & Investment Income,13.92,17.82,21.77,6.28,1.99,5,10.06,5.5,3.23,3.98,-
Earnings From Equity Investments,-,-3.4,-,-,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-0.7,-0.7,0.5,1.4,0.3,1.2,-,-,-,-,-
Other Non Operating Income (Expenses),0.63,0.78,1.09,-0.43,-0.07,0.22,-0.31,-0.47,-3.38,1.39,-33.6
EBT Excluding Unusual Items,-87.15,-252.87,-364.72,-323.58,-216.88,-88,-108.9,-73.48,-32.74,-33.09,-73.61
Merger & Restructuring Charges,-1.4,-2.44,-11.39,-,-,-,-,0.24,-3.61,-0.89,-
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,49.06
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-15,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,140
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-4.71
Legal Settlements,-,-,-,-,-,-,-,-,-2.63,-5.21,15.5
Other Unusual Items,-,-,-,-7.58,-,-3.66,2.95,-28.63,-19.39,-18.38,-20.78
Pretax Income,-88.55,-320.51,-376.11,-331.16,-216.88,-188.79,-146.45,-101.87,-58.36,-57.58,105.47
Income Tax Expense,-0.01,0.12,0.22,0.31,0.41,-19.36,-0.02,0.81,1.37,-9.68,-11.77
Earnings From Continuing Operations,-88.54,-320.63,-376.33,-331.47,-217.29,-169.43,-146.43,-102.68,-59.73,-47.9,117.24
Earnings From Discontinued Operations,0,-0.92,264.93,52.99,37.2,-,-,-,-,-,-
Net Income,-88.54,-321.55,-111.4,-278.48,-180.09,-169.43,-146.43,-102.68,-59.73,-47.9,117.24
Net Income to Common,-88.54,-321.55,-111.4,-278.48,-180.09,-169.43,-146.43,-102.68,-59.73,-47.9,117.24
Shares Outstanding (Basic),87,79,74,64,60,48,42,40,39,37,34
Shares Outstanding (Diluted),87,79,74,64,60,48,42,40,39,38,38
Shares Change (YoY),13.19%,6.22%,16.48%,6.56%,25.86%,12.28%,4.72%,4.29%,1.26%,1.88%,49.98%
EPS (Basic),-1.01,-4.08,-1.50,-4.37,-3.01,-3.56,-3.46,-2.54,-1.54,-1.29,3.49
EPS (Diluted),-1.02,-4.08,-1.50,-4.37,-3.01,-3.56,-3.46,-2.54,-1.54,-1.29,3.17
Free Cash Flow,-58.91,-237.48,-280.02,-186.29,-19.89,-49.51,-58.41,-25.69,6.52,-4.87,-1.41
Free Cash Flow Per Share,-0.67,-3.01,-3.77,-2.92,-0.33,-1.04,-1.38,-0.64,0.17,-0.13,-0.04
Gross Margin,49.40%,3.40%,-76.57%,-111.72%,-55.48%,30.47%,16.62%,96.64%,97.67%,96.59%,97.81%
Operating Margin,-20.59%,-109.87%,-259.40%,-292.17%,-151.27%,-38.01%,-56.92%,-41.82%,-18.18%,-25.25%,-32.30%
Profit Margin,-20.32%,-137.90%,-76.70%,-254.41%,-136.60%,-85.43%,-83.51%,-62.52%,-38.55%,-35.86%,117.36%
Free Cash Flow Margin,-13.52%,-101.84%,-192.80%,-170.19%,-15.09%,-24.96%,-33.31%,-15.64%,4.21%,-3.65%,-1.41%
EBITDA,-35.03,-212.63,-338.21,-299.09,-186.68,-50.8,-79.4,-50.02,-10.37,-17.59,-18.87
EBITDA Margin,-8.04%,-91.19%,-232.87%,-273.25%,-141.60%,-25.61%,-45.28%,-30.46%,-6.69%,-13.17%,-18.89%
D&A For EBITDA,54.7,43.56,38.53,20.72,12.75,24.58,20.41,18.67,17.8,16.14,13.39
EBIT,-89.73,-256.18,-376.74,-319.81,-199.43,-75.38,-99.81,-68.69,-28.17,-33.73,-32.26
EBIT Margin,-20.59%,-109.87%,-259.40%,-292.17%,-151.27%,-38.01%,-56.92%,-41.82%,-18.18%,-25.25%,-32.30%
Revenue as Reported,435.83,233.18,145.24,109.46,131.84,198.32,175.34,-,-,-,-
