Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,221","1,516",676,"1,350","1,900","1,391",610,933,828,714,697
Market Cap Growth,135.82%,124.43%,-49.94%,-28.99%,36.59%,128.10%,-34.65%,12.71%,15.95%,2.43%,116.45%
Enterprise Value,"3,301","1,641",446,"1,251","1,609","1,177",416,670,569,484,506
Last Close Price,35.44,17.42,8.99,21.03,31.04,27.25,14.20,22.63,21.07,18.93,19.29
PE Ratio,-,-,-,-,-,-,-,-,-,-,5.95
PS Ratio,7.11,6.50,4.65,12.33,14.42,7.02,3.48,5.68,5.35,5.35,6.98
PB Ratio,43.10,25.66,3.36,31.49,6.29,6.59,2.76,2.93,2.83,2.32,2.33
P/TBV Ratio,-,-,7.01,-,12.37,24.37,9.67,7.15,7.71,5.72,5.07
P/FCF Ratio,-,-,-,-,-,-,-,-,127.10,-,-
P/OCF Ratio,-,-,-,-,-,-,-,-,111.87,-,-
EV/Sales Ratio,7.57,7.04,3.07,11.43,12.21,5.93,2.37,4.08,3.67,3.63,5.06
EV/FCF Ratio,-,-,-,-,-,-,-,-,87.36,-,-
Debt / Equity Ratio,4.48,6.80,2.02,9.51,0.87,1.16,0.93,0.68,0.15,0.14,0.15
Debt / FCF Ratio,-,-,-,-,-,-,-,-,6.92,-,-
Asset Turnover,0.84,0.34,0.20,0.15,0.19,0.33,0.27,0.27,0.30,0.26,0.31
Inventory Turnover,37.05,28.86,36.81,39.16,27.48,20.15,24.99,1.01,0.88,1.70,1.31
Quick Ratio,2.51,1.99,3.33,3.30,4.59,4.26,4.38,4.63,3.67,3.30,2.78
Current Ratio,2.75,2.08,3.47,3.42,4.70,4.43,4.50,4.74,3.80,3.99,3.47
Return on Equity (ROE),-410.78%,-246.75%,-308.90%,-192.18%,-84.66%,-78.37%,-54.29%,-33.59%,-19.88%,-15.76%,89.25%
Return on Assets (ROA),-10.75%,-23.15%,-32.22%,-27.58%,-18.01%,-7.77%,-9.50%,-6.98%,-3.37%,-4.06%,-6.23%
Return on Capital (ROIC),-14.47%,-30.03%,-44.60%,-39.41%,-24.45%,-10.69%,-12.97%,-9.82%,-5.10%,-6.06%,-10.33%
Return on Capital Employed (ROCE),-22.20%,-65.10%,-61.70%,-60.30%,-30.60%,-14.60%,-19.60%,-11.40%,-6.50%,-7.60%,-7.60%
Earnings Yield,-2.74%,-21.21%,-16.49%,-20.64%,-9.48%,-12.18%,-24.00%,-11.00%,-7.21%,-6.71%,16.81%
FCF Yield,-1.83%,-15.66%,-41.45%,-13.80%,-1.05%,-3.56%,-9.57%,-2.75%,0.79%,-0.68%,-0.20%
Buyback Yield / Dilution,-13.19%,-6.22%,-16.48%,-6.56%,-25.86%,-12.28%,-4.72%,-4.29%,-1.26%,-1.88%,-49.98%
