Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,141.83,125.6,93.11,55.55,14.61,-,-,-
Revenue Growth (YoY),20.53%,34.90%,67.61%,280.17%,-,-,-,-
Cost of Revenue,209.23,203.62,188.72,172,56.17,-,-,-
Gross Profit,-67.41,-78.02,-95.61,-116.45,-41.55,-,-,-
"Selling, General & Admin",250.77,336.43,345.24,296.44,234.06,123.51,88.58,64.34
Research & Development,188.08,313.3,338.75,329.58,282.51,192.79,164.87,219.16
Operating Expenses,438.85,649.73,683.99,626.01,516.57,316.3,253.44,283.5
Operating Income,-506.25,-727.75,-779.6,-742.46,-558.12,-316.3,-253.44,-283.5
Interest Expense,-,-,-,-,-,0.64,-3.8,-3.96
Interest & Investment Income,30.06,26.73,7.95,1.74,0.33,5.5,11.7,12.3
Currency Exchange Gain (Loss),-0.42,-,-0.21,-,-0.24,-,-,-
Other Non Operating Income (Expenses),0.06,0.06,-,-0.24,-,-1.37,-1.82,-0.29
EBT Excluding Unusual Items,-476.54,-700.95,-771.85,-740.96,-558.03,-311.52,-247.36,-275.44
Merger & Restructuring Charges,-40.44,-40.47,-17.32,-,-707.22,-,-1.3,-
Impairment of Goodwill,504,-888.94,-608.47,"-4,700",-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.48,4.53,4.21
Asset Writedown,-532,-532,-110,-,-,-0.12,-0.92,-4
Pretax Income,-544.98,"-2,162","-1,508","-5,441","-1,265",-312.12,-245.05,-275.23
Income Tax Expense,-138.74,-135.36,-41.95,-42.29,-17.48,0.03,-0.2,0.49
Net Income,-406.24,"-2,027","-1,466","-5,399","-1,248",-312.16,-244.86,-275.72
Net Income to Common,-406.24,"-2,027","-1,466","-5,399","-1,248",-312.16,-244.86,-275.72
Shares Outstanding (Basic),35,32,31,31,-,124,113,114
Shares Outstanding (Diluted),35,32,31,31,-,124,113,114
Shares Change (YoY),11.87%,2.74%,-,-,-,9.39%,-0.95%,-
EPS (Basic),-11.62,-63.54,-47.21,-173.89,-,-2.52,-2.17,-2.42
EPS (Diluted),-11.62,-63.54,-47.21,-173.89,-,-2.52,-2.17,-2.42
Free Cash Flow,-329.83,-582.36,-608.69,-584.17,-758.06,-243.91,-249.13,-225.25
Free Cash Flow Per Share,-9.43,-18.25,-19.60,-18.81,-,-1.97,-2.20,-1.97
Gross Margin,-47.53%,-62.12%,-102.69%,-209.63%,-284.38%,-,-,-
Operating Margin,-356.95%,-579.44%,-837.33%,-1336.56%,-3819.61%,-,-,-
Profit Margin,-286.43%,-1613.92%,-1574.23%,-9719.35%,-8539.39%,-,-,-
Free Cash Flow Margin,-232.56%,-463.68%,-653.76%,-1051.62%,-5187.90%,-,-,-
EBITDA,-349.38,-569.7,-620.9,-587.7,-499.67,-308.73,-243.14,-269.42
D&A For EBITDA,156.88,158.06,158.7,154.76,58.45,7.56,10.31,14.08
EBIT,-506.25,-727.75,-779.6,-742.46,-558.12,-316.3,-253.44,-283.5
Revenue as Reported,141.83,125.6,93.11,55.55,14.61,-,-,-
Advertising Expenses,-,17.7,21.9,24.5,7.6,-,-,-
