Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,126.89,214.23,97.29,241.6,221.16,170.19,143.19,95.09
Short-Term Investments,413.24,549.24,-,-,-,413.29,401.16,546.26
Cash & Short-Term Investments,540.13,763.47,97.29,241.6,221.16,583.48,544.34,641.35
Cash Growth,-36.72%,684.76%,-59.73%,9.24%,-62.10%,7.19%,-15.13%,-
Accounts Receivable,16.28,20.31,16.94,15.56,6.88,-,-,-
Other Receivables,-,4.47,6.79,4.14,1.22,-,-,-
Receivables,16.28,24.79,23.74,19.7,8.1,-,-,-
Prepaid Expenses,14.58,12.97,13.35,14.59,7.81,12.44,13.17,7.88
Other Current Assets,18.39,18.63,21.7,19.76,5.67,-,-,-
Total Current Assets,589.38,819.86,156.07,295.63,242.73,595.92,557.51,649.23
"Property, Plant & Equipment",112.24,135.43,169.38,198.72,216.37,101.39,59.46,33.04
Long-Term Investments,-,-,-,-,-,2.05,13.93,-
Goodwill,-,-,888.94,"1,497","6,198",-,-,-
Other Intangible Assets,"1,885","2,017","2,687","2,936","3,074",-,-,-
Other Long-Term Assets,14.27,11.12,12.21,10.67,7.1,6.94,4.61,4.58
Total Assets,"2,601","2,983","3,914","4,938","9,738",706.3,635.52,686.85
Accounts Payable,3.41,4.84,19.67,17.48,17.65,24.51,6.09,12.75
Accrued Expenses,58.08,57.24,128.32,101.01,61.92,41.6,33.42,59.41
Current Portion of Leases,14.02,13.26,14.81,13.34,13.81,5.45,5.4,1.73
Current Unearned Revenue,1.93,1.58,0.81,0.6,1.8,-,-,-
Other Current Liabilities,-,-,-,2.51,2.71,12.41,0.02,0.27
Total Current Liabilities,77.43,76.93,163.61,134.94,97.89,83.97,44.93,74.16
Long-Term Leases,44.57,54.88,69.6,82.68,96.75,57.54,36.64,0.8
Long-Term Deferred Tax Liabilities,236.27,345.86,32.92,71.08,110.14,-,-,-
Other Long-Term Liabilities,2.8,2.24,1.5,3.13,2.62,2.95,3.42,11.52
Total Liabilities,361.07,479.9,267.63,291.83,307.4,144.46,84.99,86.47
Common Stock,0.04,0.03,"11,421","10,956","10,342",0.15,0.14,0.13
Additional Paid-In Capital,"12,350","12,305",-,-,-,180.95,90.5,57.67
Retained Earnings,"-10,113","-9,803","-7,776","-6,311",-911.54,"-1,618","-1,306","-1,061"
Comprehensive Income & Other,2.46,1.45,1.07,0.89,0.32,3.6,2.47,0.13
Total Common Equity,"2,240","2,503","3,646","4,646","9,431","-1,433","-1,213","-1,003"
Shareholders' Equity,"2,240","2,503","3,646","4,646","9,431",561.84,550.53,600.37
Total Liabilities & Equity,"2,601","2,983","3,914","4,938","9,738",706.3,635.52,686.85
Total Debt,58.59,68.14,84.41,96.01,110.56,62.99,42.04,2.53
Net Cash (Debt),481.54,695.33,12.88,145.59,110.6,522.54,516.24,638.83
Net Cash Growth,-38.37%,5298.52%,-91.15%,31.63%,-78.83%,1.22%,-19.19%,-
Net Cash Per Share,13.77,21.80,0.41,4.69,-,4.23,4.57,5.60
Filing Date Shares Outstanding,38.98,33.9,31.05,31.05,-,132.67,120.67,114.14
Total Common Shares Outstanding,36.16,33.89,31.05,31.05,-,132.67,120.67,114.14
Working Capital,511.95,742.94,-7.55,160.69,144.85,511.95,512.58,575.07
Book Value Per Share,61.94,73.86,117.43,-,-,-10.80,-10.05,-8.79
Tangible Book Value,354.82,486.52,70.03,213.2,158.8,"-1,433","-1,213","-1,003"
Tangible Book Value Per Share,9.81,14.35,2.26,-,-,-10.80,-10.05,-8.79
Machinery,-,60.81,53.81,46.71,18.2,32.29,30.17,29.51
Construction In Progress,-,1.3,7.97,10.65,23.7,31.3,0.22,0.24
Leasehold Improvements,-,59.76,58.44,55.41,55.21,22.06,21.93,23.3
