Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Revenue,"1,145","1,084","1,000","1,106","1,292","1,199","1,136","1,130",875.7,805,906.3
Revenue Growth (YoY),15.60%,8.39%,-9.56%,-14.41%,7.80%,5.51%,0.53%,29.07%,8.78%,-11.18%,3.71%
Cost of Revenue,463.8,439.4,410.7,442.7,488.9,451.5,436.4,444,346.9,309.3,339.3
Gross Profit,681.4,644.9,589.7,663.4,803.5,747.4,699.9,686.3,528.8,495.7,567
"Selling, General & Admin",349.8,335.4,324.7,340,365.4,342.8,346.5,349.4,323.9,300.1,337.7
Research & Development,215.3,208.7,201.9,206.9,213.2,203,193.6,187,133.3,136.3,166.4
Amortization of Goodwill & Intangibles,28.3,24.3,20.1,33.3,39.7,66.5,67.8,72.5,47.7,28.3,31.9
Operating Expenses,593.4,568.4,546.7,580.2,618.3,612.3,607.9,608.9,504.9,464.7,536
Operating Income,88,76.5,43,83.2,185.2,135.1,92,77.4,23.9,31,31
Interest Expense,-29.9,-30,-30.9,-27.1,-23.3,-14.7,-13.4,-34.3,-47.3,-43.2,-35.7
Interest & Investment Income,12.4,13.1,18.9,10.2,3.4,2.9,7.1,8.1,16,11.1,5.9
Earnings From Equity Investments,0.5,0.6,-,-,-,-,-,-,-,-,-
Currency Exchange Gain (Loss),-2.9,-1.7,-3.1,-2.2,1.4,-,2.1,-2.9,-1.3,0.9,-2.6
Other Non Operating Income (Expenses),-0.3,-0.3,-1.4,-0.4,0.4,0.4,0.5,1.5,0.1,-0.8,-0.8
EBT Excluding Unusual Items,67.8,58.2,26.5,63.7,167.1,123.7,88.3,49.8,-8.6,-1,-2.2
Merger & Restructuring Charges,-27,-27.3,-31.7,-12.1,0.1,1.6,-3.5,-15.4,-20.7,-21.6,-10.5
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-91.4
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-0.1,-0.5,-0.1,203.1,71.6
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,3,-
Legal Settlements,-1.3,-,7.3,6.7,-,-,-,-,-,-,-8.4
Other Unusual Items,-9.9,8.3,9.5,2.4,-102.1,5.5,29.6,5.4,-6.3,-3.5,-5
Pretax Income,29.6,39.2,11.6,60.7,65.1,130.8,114.3,39.3,-35.7,180,-45.9
Income Tax Expense,14.4,4.4,37.4,35.2,49.6,63.3,65.3,31.5,12.9,21.4,4.5
Earnings From Continuing Operations,15.2,34.8,-25.8,25.5,15.5,67.5,49,7.8,-48.6,158.6,-50.4
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-2.4,-,1.6,-48.8
Net Income,15.2,34.8,-25.8,25.5,15.5,67.5,49,5.4,-48.6,160.2,-99.2
Net Income to Common,15.2,34.8,-25.8,25.5,15.5,67.5,49,5.4,-48.6,160.2,-99.2
Net Income Growth,-,-,-,64.52%,-77.04%,37.76%,807.41%,-,-,-,-
Shares Outstanding (Basic),223,223,223,225,231,229,229,228,227,230,234
Shares Outstanding (Diluted),226,226,223,227,238,236,235,231,227,235,234
Shares Change (YoY),1.49%,1.39%,-1.76%,-4.87%,0.80%,0.64%,1.56%,1.80%,-3.16%,0.21%,0.56%
EPS (Basic),0.07,0.16,-0.12,0.11,0.07,0.30,0.21,0.02,-0.21,0.70,-0.42
EPS (Diluted),0.06,0.15,-0.12,0.11,0.07,0.29,0.21,0.02,-0.21,0.69,-0.43
EPS Growth,-,-,-,63.87%,-76.85%,38.09%,970.39%,-,-,-,-
Free Cash Flow,78.3,62,96.9,63,105.6,191.2,103.7,93.8,23.5,55.7,28.8
Free Cash Flow Per Share,0.35,0.28,0.43,0.28,0.44,0.81,0.44,0.41,0.10,0.24,0.12
Gross Margin,59.50%,59.48%,58.95%,59.98%,62.17%,62.34%,61.59%,60.72%,60.39%,61.58%,62.56%
Operating Margin,7.68%,7.05%,4.30%,7.52%,14.33%,11.27%,8.10%,6.85%,2.73%,3.85%,3.42%
Profit Margin,1.33%,3.21%,-2.58%,2.31%,1.20%,5.63%,4.31%,0.48%,-5.55%,19.90%,-10.95%
Free Cash Flow Margin,6.84%,5.72%,9.69%,5.70%,8.17%,15.95%,9.13%,8.30%,2.68%,6.92%,3.18%
EBITDA,154.8,139.2,101.7,152.7,260.6,237.4,199.8,189.6,107.3,88.7,101
EBITDA Margin,13.52%,12.84%,10.17%,13.80%,20.16%,19.80%,17.58%,16.77%,12.25%,11.02%,11.14%
D&A For EBITDA,66.8,62.7,58.7,69.5,75.4,102.3,107.8,112.2,83.4,57.7,70
EBIT,88,76.5,43,83.2,185.2,135.1,92,77.4,23.9,31,31
EBIT Margin,7.68%,7.05%,4.30%,7.52%,14.33%,11.27%,8.10%,6.85%,2.73%,3.85%,3.42%
Effective Tax Rate,48.65%,11.22%,322.41%,57.99%,76.19%,48.39%,57.13%,80.15%,-,11.89%,-
Revenue as Reported,"1,145","1,084","1,000","1,106","1,292","1,199","1,136","1,130",875.7,805,906.3
Advertising Expenses,-,2,1.3,2.6,3.2,2.7,3.7,2.6,2.6,2.1,2.6
