Period Ending,"Sep '25Sep 27, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Cash & Equivalents,543.8,423.6,471.3,506.5,559.9,697.8,539,521.5,611.4,"1,004",482.9
Short-Term Investments,1.8,1.7,19.9,14.6,1.4,1.6,1.5,1.5,169.3,432.2,484.7
Cash & Short-Term Investments,545.6,425.3,491.2,521.1,561.3,699.4,540.5,523,780.7,"1,437",967.6
Cash Growth,10.65%,-13.42%,-5.74%,-7.16%,-19.74%,29.40%,3.35%,-33.01%,-45.66%,48.47%,21.04%
Accounts Receivable,242,261,213.1,231.2,260.9,256.5,235.5,237.7,218.6,120.4,148.4
Other Receivables,31.8,32.2,31.8,32.7,24.9,19.1,21.4,20.7,21.1,-,-
Receivables,273.8,293.2,244.9,263.9,285.8,275.6,256.9,258.4,239.7,120.4,148.4
Inventory,124.5,117.9,96.5,116.1,110.1,94.9,83.3,102.7,92.3,48,51.4
Prepaid Expenses,20.2,21.9,18.5,16.5,16,13.4,10.9,14.2,11,8.3,10.4
Restricted Cash,3.5,3.7,5,4.5,3.6,4.3,3.5,3.5,7.3,11.2,12.2
Other Current Assets,22.7,23.2,20.4,22.9,28.3,24.5,18.5,15,24.2,42.5,21.7
Total Current Assets,990.3,885.2,876.5,945,"1,005","1,112",913.6,916.8,"1,155","1,667","1,212"
"Property, Plant & Equipment",269.7,266,264,283.4,274.1,196,172.5,179.9,170.5,136.9,133
Long-Term Investments,3,3,-,-,-,5.6,4.5,4.5,4.7,5.1,4.5
Goodwill,592.3,595.7,452.9,455.2,387.6,396.5,381.4,381.1,336.3,151.6,152.1
Other Intangible Assets,123.2,131.6,38.2,58.6,54.2,88,148.1,211.6,235.1,31.1,59.9
