Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 28, 2025","Jun '24Jun 29, 2024","Jul '23Jul 1, 2023","Jul '22Jul 2, 2022","Jul '21Jul 3, 2021","Jun '20Jun 27, 2020","Jun '19Jun 29, 2019","Jun '18Jun 30, 2018","Jul '17Jul 1, 2017","Jul '16Jul 2, 2016"
Market Capitalization,"3,701","2,232","1,534","2,520","2,982","3,994","2,850","3,039","2,317","2,390","1,537"
Market Cap Growth,80.87%,45.56%,-39.15%,-15.49%,-25.34%,40.17%,-6.24%,31.14%,-3.04%,55.51%,-45.35%
Enterprise Value,"4,002","2,527","1,738","2,786","3,157","3,992","2,968","3,109","2,401","1,933","1,155"
Last Close Price,16.70,10.00,6.87,11.33,13.09,17.47,12.50,13.29,10.24,10.53,6.61
PE Ratio,271.74,64.15,-,98.84,192.41,59.18,58.16,562.82,-,14.92,-
Forward PE,23.46,20.03,17.54,22.89,13.94,21.31,19.97,19.90,19.31,26.05,18.53
PS Ratio,3.25,2.06,1.53,2.28,2.31,3.33,2.51,2.69,2.65,2.97,1.70
PB Ratio,5.15,2.86,2.25,3.65,4.44,5.23,4.01,4.19,3.15,3.04,2.23
P/TBV Ratio,440.55,42.20,8.05,14.24,12.97,14.30,15.67,22.83,14.17,3.96,3.22
P/FCF Ratio,47.26,36.01,15.83,40.01,28.24,20.89,27.48,32.40,98.62,42.91,53.37
P/OCF Ratio,34.49,24.86,13.18,22.09,16.75,16.42,21.02,21.90,35.11,25.35,23.90
PEG Ratio,-,1.04,1.04,1.04,0.93,1.42,1.60,1.27,1.17,1.16,1.48
EV/Sales Ratio,3.49,2.33,1.74,2.52,2.44,3.33,2.61,2.75,2.74,2.40,1.27
EV/EBITDA Ratio,25.85,18.15,17.09,18.24,12.11,16.81,14.86,16.40,22.37,21.79,11.43
EV/EBIT Ratio,45.47,33.03,40.43,33.48,17.05,29.55,32.26,40.17,100.45,62.36,37.24
EV/FCF Ratio,51.11,40.76,17.94,44.22,29.89,20.88,28.62,33.14,102.16,34.71,40.09
Debt / Equity Ratio,1.17,0.89,1.01,1.13,1.11,0.97,0.93,0.83,1.17,1.22,0.89
Debt / EBITDA Ratio,5.05,4.55,6.00,4.71,2.71,2.94,3.09,3.19,8.03,10.81,6.06
Debt / FCF Ratio,10.81,11.17,7.09,12.40,7.05,3.87,6.36,6.45,36.64,17.22,21.25
Asset Turnover,0.60,0.58,0.56,0.60,0.68,0.64,0.63,0.59,0.42,0.43,0.47
Inventory Turnover,4.26,4.10,3.86,3.91,4.77,5.07,4.69,4.55,4.95,6.22,6.45
Quick Ratio,1.65,1.22,2.98,2.29,2.29,1.31,3.43,2.75,1.85,6.81,4.93
Current Ratio,1.99,1.50,3.55,2.75,2.72,1.49,3.92,3.23,2.09,7.29,5.35
Return on Equity (ROE),2.13%,4.76%,-3.76%,3.74%,2.16%,9.15%,6.82%,1.07%,-6.39%,21.50%,-5.63%
Return on Assets (ROA),2.88%,2.56%,1.50%,2.83%,6.11%,4.52%,3.20%,2.52%,0.72%,1.02%,1.00%
Return on Capital (ROIC),3.72%,3.36%,1.89%,3.60%,7.93%,5.88%,4.25%,3.31%,0.89%,1.27%,1.29%
Return on Capital Employed (ROCE),5.60%,5.40%,2.90%,5.50%,12.70%,11.10%,6.00%,5.10%,1.60%,1.60%,2.10%
Earnings Yield,0.41%,1.56%,-1.68%,1.01%,0.52%,1.69%,1.72%,0.18%,-2.10%,6.70%,-6.45%
FCF Yield,2.12%,2.78%,6.32%,2.50%,3.54%,4.79%,3.64%,3.09%,1.01%,2.33%,1.87%
Buyback Yield / Dilution,-1.49%,-1.39%,1.76%,4.87%,-0.80%,-0.64%,-1.56%,-1.80%,3.16%,-0.21%,-0.56%
