Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,791","4,593","4,362","3,728","3,741",-,-,-,"1,690",-,-
Market Cap Growth,3.34%,5.29%,17.01%,-0.34%,-,-,-,-,-,-,-
Enterprise Value,"7,140","7,021","6,579","5,957","5,781",-,-,-,"2,914",-,-
Last Close Price,34.27,36.37,34.25,28.89,28.99,23.77,23.77,23.77,23.77,-,-
Price/FFO Ratio,13.63,15.35,15.22,13.44,16.02,11.94,11.94,12.19,18.42,-,-
Price/AFFO Ratio,-,18.22,18.26,13.41,16.01,11.92,11.96,12.24,18.50,-,-
PE Ratio,53.00,73.27,76.74,77.15,247.38,-,-,-,-,-,-
PS Ratio,6.02,6.95,7.15,6.48,7.02,-,-,-,5.43,-,-
PB Ratio,1.89,1.74,1.64,1.44,1.51,-,-,-,1.14,-,-
P/OCF Ratio,14.16,13.72,14.99,12.82,14.23,-,-,-,15.53,-,-
EV/Sales Ratio,10.03,10.62,10.78,10.35,10.85,-,-,-,9.35,-,-
EV/EBITDA Ratio,16.18,17.09,17.30,16.75,17.95,-,-,-,19.33,-,-
EV/EBIT Ratio,37.17,40.72,42.67,45.58,55.43,-,-,-,128.51,-,-
Debt / Equity Ratio,0.93,0.80,0.74,0.73,0.78,1.17,1.10,1.01,1.22,0.86,0.66
Debt / EBITDA Ratio,5.40,5.14,5.19,5.35,5.96,7.80,7.32,10.03,11.99,7.61,5.91
Asset Turnover,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.10,0.11,0.11,0.11
Quick Ratio,0.88,0.64,1.13,0.97,1.85,2.13,0.89,1.07,0.89,1.27,0.84
Current Ratio,1.17,0.74,1.40,1.49,2.24,2.56,1.73,1.87,1.12,2.14,0.98
Return on Equity (ROE),3.51%,2.64%,2.43%,2.15%,0.77%,0.26%,-3.18%,2.41%,-3.09%,0.72%,1.02%
Return on Assets (ROA),2.35%,2.17%,2.01%,1.74%,1.40%,1.02%,1.13%,0.81%,0.48%,1.00%,1.31%
Return on Capital (ROIC),2.49%,2.30%,2.11%,1.84%,1.49%,1.08%,1.20%,0.86%,0.51%,1.04%,1.37%
Earnings Yield,1.72%,1.36%,1.30%,1.30%,0.40%,-,-,-,-2.27%,-,-
Dividend Yield,3.62%,3.27%,3.32%,3.78%,3.57%,2.47%,8.46%,8.46%,8.46%,-,-
Payout Ratio,191.91%,213.80%,238.79%,262.99%,705.63%,1033.76%,-,206.27%,-,719.54%,444.51%
Buyback Yield / Dilution,-1.92%,-2.90%,-2.02%,-11.71%,-4.96%,-1.94%,-35.53%,-22.84%,-5.27%,-0.14%,-3.97%
Total Shareholder Return,1.74%,0.38%,1.29%,-7.92%,-1.39%,0.53%,-27.07%,-14.38%,3.19%,-0.14%,-3.97%
