Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
"Property, Plant & Equipment","4,936","4,575","4,400","4,244","4,108","4,092","4,225","4,454","3,071","2,107","1,964"
Cash & Equivalents,4.08,4.88,4.87,5.48,92.59,104.3,17.82,16.79,5.72,8.22,40.68
Accounts Receivable,133.51,119.36,107.64,89.93,77.69,79.73,76.14,77.99,63.51,45.51,-
Investment In Debt and Equity Securities,23.05,14.15,15.44,17.59,8.55,-,-,-,-,-,-
Goodwill,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.09,-,-
Other Intangible Assets,6.7,206.65,216.74,229.64,246.36,263.85,306.27,374.41,274.11,143.14,153.88
Restricted Cash,1.74,3.77,4.01,11.87,22.94,27.64,77.29,67.51,21.73,41.72,6.83
Other Current Assets,26.79,17.58,23.41,40.43,13.21,8.69,13.89,25.81,-,2.99,-
Trading Asset Securities,-,-,-,-,-,-,2.73,29.71,16.5,11.92,0.02
Deferred Long-Term Charges,16.31,9.04,8.98,8.98,4.9,13.97,13.97,18.47,2,-,-
Other Long-Term Assets,67.3,66.57,55.46,58.09,65.17,59.56,66.3,69.24,42.54,20.17,60.78
Total Assets,"5,262","5,046","4,866","4,735","4,669","4,679","4,828","5,163","3,526","2,380","2,226"
Current Portion of Long-Term Debt,-,37.64,-,-,-,-,-,-,-,-,-
Current Portion of Leases,-,0.46,-,-,-,-,-,-,-,-,-
Long-Term Debt,"2,385","2,072","1,969","1,896","1,915","2,347","2,375","2,442","1,807","1,056",845.96
Long-Term Leases,0.53,4.29,5.4,5.29,6.08,5.9,9.9,0.55,-,-,-
Accounts Payable,156.81,145.38,99.96,98.87,91.92,86.23,108.58,107.68,96.3,47.04,43.44
Accrued Expenses,-,-,-,-,-,-,-,8.7,-,4.07,4.85
Other Current Liabilities,0.46,12.16,-,-,0.29,-,-,-,-,0.5,0.43
Long-Term Unearned Revenue,22.72,22.91,18.36,18.48,19.15,14.58,15.96,14.03,9.14,-,-
Other Long-Term Liabilities,117.32,117.53,119.63,119.41,159.96,208.73,150.34,177.72,134.91,47.37,39.78
Total Liabilities,"2,683","2,412","2,212","2,138","2,192","2,663","2,659","2,751","2,047","1,155",934.46
Common Stock,1.26,1.25,1.22,1.17,1.13,2.8,2.89,2.8,1.85,1.85,1.81
Additional Paid-In Capital,"3,661","3,647","3,547","3,384","3,264","2,739","2,779","2,675","1,629","1,627","1,589"
Retained Earnings,"-1,386","-1,332","-1,248","-1,170","-1,091",-999.49,-947.25,-692.05,-601.24,-438.16,-323.76
Comprehensive Income & Other,0.98,4.31,10.52,21,-24.82,-52.31,-20.76,12.36,16.5,10.59,0.02
Total Common Equity,"2,278","2,320","2,310","2,236","2,150","1,690","1,814","1,998","1,046","1,201","1,267"
Minority Interest,301.93,314.06,343.04,360.95,326.81,325.57,354.79,414.91,432.44,23.41,25.18
Shareholders' Equity,"2,580","2,634","2,653","2,597","2,476","2,016","2,169","2,413","1,479","1,225","1,292"
Total Liabilities & Equity,"5,262","5,046","4,866","4,735","4,669","4,679","4,828","5,163","3,526","2,380","2,226"
Total Debt,"2,385","2,114","1,974","1,901","1,921","2,353","2,385","2,442","1,807","1,056",845.96
Net Cash (Debt),"-2,381","-2,109","-1,969","-1,896","-1,829","-2,249","-2,364","-2,396","-1,785","-1,036",-805.26
Net Cash Per Share,-17.17,-15.42,-14.81,-14.55,-15.67,-20.23,-21.68,-29.78,-27.25,-16.65,-12.96
Filing Date Shares Outstanding,125.8,125.2,122.2,117.3,113.4,93.57,96.77,93.93,62.07,60.7,60.73
Total Common Shares Outstanding,125.71,125.12,122.02,117.13,113.22,93.28,96.35,93.27,61.74,61.69,60.44
Book Value Per Share,18.12,18.54,18.93,19.09,18.99,18.12,18.83,21.42,16.94,19.48,20.96
Tangible Book Value,"2,242","2,084","2,065","1,978","1,874","1,397","1,479","1,595",743.04,"1,058","1,113"
Tangible Book Value Per Share,17.83,16.66,16.92,16.89,16.55,14.98,15.35,17.10,12.03,17.15,18.41
Land,"1,953","1,867","1,768","1,674","1,587","1,549","1,553","1,598","1,122",796.19,719.43
Buildings,"4,294","4,086","3,818","3,572","3,355","3,238","3,197","3,250","2,263","1,533","1,397"
