Period Ending,"Nov '25Nov 18, 2025","Jan '25Jan 31, 2025","Feb '24Feb 2, 2024","Feb '23Feb 3, 2023","Jan '22Jan 28, 2022","Jan '21Jan 29, 2021","Jan '20Jan 31, 2020","Feb '19Feb 1, 2019","Feb '18Feb 2, 2018","Feb '17Feb 3, 2017","Jan '16Jan 29, 2016"
Market Capitalization,"4,020","5,293","6,717","5,686","4,630","5,591","5,066","3,989","3,195","3,629","1,938"
Market Cap Growth,-44.52%,-21.20%,18.13%,22.79%,-17.18%,10.36%,27.00%,24.88%,-11.97%,87.28%,-13.05%
Enterprise Value,"6,383","7,560","8,772","8,145","7,289","8,319","7,110","4,833","4,101","4,485","2,877"
Last Close Price,87.09,107.18,126.18,100.50,77.29,89.73,80.49,60.93,66.21,72.06,36.42
PE Ratio,10.63,14.62,14.08,18.95,16.72,26.75,22.42,29.12,17.85,25.38,16.56
Forward PE,10.24,12.18,16.87,14.14,12.76,13.94,14.65,14.81,19.58,23.33,15.08
PS Ratio,0.56,0.71,0.90,0.74,0.63,0.79,0.79,0.86,0.72,0.82,0.45
PB Ratio,2.64,3.36,3.76,3.34,2.84,3.60,3.55,2.66,9.77,10.40,5.10
P/FCF Ratio,9.12,11.56,18.20,11.22,9.61,7.89,11.59,25.57,16.38,14.18,9.41
P/OCF Ratio,8.38,10.71,16.96,10.69,8.94,7.41,11.06,21.68,14.72,13.29,8.57
PEG Ratio,-,1.52,4.22,7.07,2.54,2.54,2.93,2.69,3.92,4.67,2.32
EV/Sales Ratio,0.86,1.01,1.18,1.06,0.99,1.18,1.12,1.04,0.92,1.01,0.67
EV/EBITDA Ratio,9.33,10.86,13.25,11.86,11.22,13.55,12.95,13.69,13.62,13.76,9.13
EV/EBIT Ratio,11.78,13.60,16.87,15.37,14.07,18.49,17.01,15.80,16.02,16.43,11.37
EV/FCF Ratio,14.47,16.51,23.77,16.07,15.12,11.73,16.27,30.98,21.03,17.52,13.97
Debt / Equity Ratio,1.61,1.53,1.28,1.51,1.73,1.86,1.56,1.41,3.13,3.01,2.86
Debt / EBITDA Ratio,3.29,3.18,3.12,3.35,3.67,3.89,3.53,5.99,3.40,3.22,3.44
Debt / FCF Ratio,5.54,5.27,6.19,5.07,5.84,4.07,5.08,13.55,5.25,4.10,5.27
Asset Turnover,1.43,1.42,1.37,1.37,1.29,1.35,1.38,1.40,2.17,2.13,2.46
Inventory Turnover,-,-,-,100.98,92.04,77.33,71.81,59.09,58.17,57.60,57.84
Quick Ratio,0.69,0.76,0.87,0.93,0.83,0.89,1.14,1.44,1.18,1.20,1.21
Current Ratio,0.83,0.83,0.98,1.06,0.93,1.01,1.27,1.60,1.37,1.45,1.38
Return on Equity (ROE),25.40%,21.54%,27.34%,18.18%,17.54%,14.17%,15.65%,15.00%,52.96%,39.23%,32.28%
Return on Assets (ROA),6.48%,6.58%,5.99%,5.87%,5.65%,5.39%,5.63%,5.76%,7.78%,8.20%,9.01%
Return on Capital (ROIC),8.56%,8.62%,7.79%,7.60%,7.29%,6.96%,7.20%,7.71%,11.64%,11.92%,13.77%
Return on Capital Employed (ROCE),14.40%,14.40%,12.50%,12.00%,11.80%,10.10%,11.70%,8.30%,18.60%,19.20%,17.60%
Earnings Yield,9.92%,6.84%,7.10%,5.28%,5.98%,3.74%,4.46%,3.43%,5.60%,3.94%,6.04%
FCF Yield,10.97%,8.65%,5.49%,8.92%,10.41%,12.68%,8.63%,3.91%,6.10%,7.05%,10.63%
Dividend Yield,1.69%,1.38%,1.17%,1.47%,1.92%,1.65%,1.84%,2.04%,1.87%,1.72%,3.32%
Payout Ratio,17.93%,20.72%,16.56%,27.67%,31.05%,41.63%,38.50%,38.69%,30.17%,37.76%,47.01%
Buyback Yield / Dilution,7.82%,5.96%,3.76%,3.96%,1.02%,0.51%,-33.79%,0.90%,3.05%,3.16%,2.27%
Total Shareholder Return,9.52%,7.34%,4.94%,5.43%,2.94%,2.16%,-31.95%,2.93%,4.92%,4.89%,5.59%
