Period Ending,"Aug '25Aug 1, 2025","Jan '25Jan 31, 2025","Feb '24Feb 2, 2024","Feb '23Feb 3, 2023","Jan '22Jan 28, 2022","Jan '21Jan 29, 2021","Jan '20Jan 31, 2020","Feb '19Feb 1, 2019","Feb '18Feb 2, 2018","Feb '17Feb 3, 2017","Jan '16Jan 29, 2016"
Revenue,"7,460","7,479","7,444","7,704","7,394","7,056","6,379","4,659","4,454","4,442","4,315"
Revenue Growth (YoY),2.23%,0.47%,-3.38%,4.19%,4.79%,10.61%,36.92%,4.60%,0.27%,2.94%,11.07%
Cost of Revenue,"6,567","6,587","6,572","6,816","6,535","6,264","5,673","4,195","4,043","4,003","3,904"
Gross Profit,893,892,872,888,859,792,706,464,411,439,411
"Selling, General & Admin",350,339,355,358,342,346,288,158,155,166,158
Other Operating Expenses,1,-3,-3,-,-1,-4,-,-,-,-,-
Operating Expenses,351,336,352,358,341,342,288,158,155,166,158
Operating Income,542,556,520,530,518,450,418,306,256,273,253
Interest Expense,-122,-126,-120,-118,-105,-122,-90,-53,-44,-52,-44
Other Non Operating Income (Expenses),-1,-1,4,-4,1,2,6,3,2,1,-
EBT Excluding Unusual Items,419,429,404,408,414,330,334,256,214,222,209
Merger & Restructuring Charges,-6,-6,-24,-35,-58,-59,-48,-86,-,-10,-26
Gain (Loss) on Sale of Investments,5,5,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,240,-,2,-,-,-,-,-,-
Other Unusual Items,-,-,-,2,-,-,-,-,-,-,-
Pretax Income,427,428,620,375,358,271,286,170,214,212,183
Income Tax Expense,28,66,143,72,79,60,57,33,35,69,66
Earnings From Continuing Operations,399,362,477,303,279,211,229,137,179,143,117
Minority Interest in Earnings,-,-,-,-3,-2,-2,-3,-,-,-,-
Net Income,399,362,477,300,277,209,226,137,179,143,117
Net Income to Common,399,362,477,300,277,209,226,137,179,143,117
Net Income Growth,37.59%,-24.11%,59.00%,8.30%,32.54%,-7.52%,64.96%,-23.46%,25.17%,22.22%,-17.02%
Shares Outstanding (Basic),48,50,53,55,58,58,58,43,43,45,46
Shares Outstanding (Diluted),48,51,54,56,58,59,59,44,45,46,47
Shares Change (YoY),-7.82%,-5.96%,-3.76%,-3.96%,-1.02%,-0.51%,33.79%,-0.90%,-3.05%,-3.16%,-2.27%
EPS (Basic),8.31,7.23,8.98,5.42,4.81,3.60,3.87,3.16,4.13,3.21,2.55
EPS (Diluted),8.26,7.17,8.88,5.38,4.77,3.56,3.83,3.11,4.02,3.12,2.47
EPS Growth,49.05%,-19.26%,65.06%,12.79%,33.99%,-7.05%,23.15%,-22.64%,28.85%,26.32%,-15.12%
Free Cash Flow,441,458,369,507,482,709,437,156,195,256,206
Free Cash Flow Per Share,9.13,9.07,6.87,9.09,8.30,12.08,7.41,3.54,4.38,5.58,4.35
Dividend Per Share,1.480,1.480,1.480,1.480,1.480,1.480,1.480,1.240,1.240,1.240,1.210
Dividend Growth,-,-,-,-,-,-,19.36%,-,-,2.48%,8.04%
Gross Margin,11.97%,11.93%,11.71%,11.53%,11.62%,11.22%,11.07%,9.96%,9.23%,9.88%,9.53%
Operating Margin,7.27%,7.43%,6.98%,6.88%,7.01%,6.38%,6.55%,6.57%,5.75%,6.15%,5.86%
Profit Margin,5.35%,4.84%,6.41%,3.89%,3.75%,2.96%,3.54%,2.94%,4.02%,3.22%,2.71%
Free Cash Flow Margin,5.91%,6.12%,4.96%,6.58%,6.52%,10.05%,6.85%,3.35%,4.38%,5.76%,4.77%
EBITDA,684,696,662,687,650,614,549,353,301,326,315
EBITDA Margin,9.17%,9.31%,8.89%,8.92%,8.79%,8.70%,8.61%,7.58%,6.76%,7.34%,7.30%
D&A For EBITDA,142,140,142,157,132,164,131,47,45,53,62
EBIT,542,556,520,530,518,450,418,306,256,273,253
EBIT Margin,7.27%,7.43%,6.98%,6.88%,7.01%,6.38%,6.55%,6.57%,5.75%,6.15%,5.86%
Effective Tax Rate,6.56%,15.42%,23.06%,19.20%,22.07%,22.14%,19.93%,19.41%,16.36%,32.55%,36.07%
