Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"2,884","2,734","2,462","1,810","1,597","1,054","1,330","1,009",882.6,805.5,782
Other Revenue,-,-,-,-,-,-,-,-,-,16.9,16.6
Revenue,"2,884","2,734","2,462","1,810","1,597","1,054","1,330","1,009",882.6,822.4,798.6
Revenue Growth (YoY),7.97%,11.07%,36.02%,13.31%,51.54%,-20.73%,31.78%,14.32%,7.32%,2.98%,-1.67%
Cost of Revenue,"1,919","1,796","1,666","1,243","1,151",860.5,986.7,719.3,629.4,577.5,566.5
Gross Profit,965.6,938.5,795.7,566.4,446.1,193.5,343,289.7,253.2,244.9,232.1
"Selling, General & Admin",240.4,237.7,202.3,164.2,138.5,114.8,122,90.6,83.5,79.4,75.6
Operating Expenses,240.4,237.7,202.3,164.2,138.5,114.8,122,90.6,83.5,79.4,75.6
Operating Income,725.2,700.8,593.4,402.2,307.6,78.7,221,199.1,169.7,165.5,156.5
Interest Expense,-294.9,-289.8,-268.4,-147.3,-84.7,-80,-70.9,-40.1,-49.3,-43.7,-28.6
Earnings From Equity Investments,141.4,144.9,146.3,152.7,143.2,27.7,50.6,29.6,25.5,17.4,11.2
Other Non Operating Income (Expenses),6.5,9.1,7.2,7,0.7,0.1,1,0.7,1.3,-1.3,0.7
EBT Excluding Unusual Items,578.2,565,478.5,414.6,366.8,26.5,201.7,189.3,147.2,137.9,139.8
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-13.9
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-16.5,-10.5
Gain (Loss) on Sale of Assets,-,-,114,274.6,-,-,-,-,-,23.7,-
Asset Writedown,-87.5,-3.9,-24.6,-38.3,-15.3,-17.5,-,-,-21.7,-,-
Other Unusual Items,49.4,12.1,-6.1,-42.1,-7.9,-1,-5.3,44.6,-23,2.3,-
Pretax Income,540.1,573.2,561.8,608.8,343.6,8,196.4,233.9,102.5,147.4,115.4
Income Tax Expense,133.8,144.1,144.5,169.4,94.5,-5.3,56.8,51.3,-19.9,50.7,44.6
Earnings From Continuing Operations,406.3,429.1,417.3,439.4,249.1,13.3,139.6,182.6,122.4,96.7,70.8
Earnings From Discontinued Operations,-,-,-,-,-,-95.4,-2.4,170.2,18.1,11.4,-5.6
Net Income to Company,406.3,429.1,417.3,439.4,249.1,-82.1,137.2,352.8,140.5,108.1,65.2
Minority Interest in Earnings,-2.9,-2.3,-,-,-,0.2,0.3,-,-,-,-
Net Income,403.4,426.8,417.3,439.4,249.1,-81.9,137.5,352.8,140.5,108.1,65.2
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,0.1,1,0.6
Net Income to Common,403.4,426.8,417.3,439.4,249.1,-81.9,137.5,352.8,140.4,107.1,64.6
Net Income Growth,-2.25%,2.28%,-5.03%,76.39%,-,-,-61.03%,151.10%,29.97%,65.80%,40.52%
Shares Outstanding (Basic),72,74,75,76,77,79,80,83,94,99,103
Shares Outstanding (Diluted),73,75,76,77,78,80,81,83,96,101,106
Shares Change (YoY),-2.01%,-1.97%,-1.17%,-1.79%,-2.24%,-1.23%,-2.40%,-13.33%,-4.95%,-4.36%,-
EPS (Basic),5.57,5.77,5.55,5.79,3.23,-1.03,1.71,4.27,1.49,1.09,0.63
EPS (Diluted),5.53,5.72,5.49,5.71,3.18,-1.02,1.69,4.24,1.46,1.07,0.62
EPS Growth,0.29%,4.21%,-3.85%,79.56%,-,-,-60.14%,189.75%,36.74%,73.35%,40.52%
Free Cash Flow,450.4,225.7,-70.7,113.3,243.7,-92.3,158.4,48.4,98.2,176.7,221
Free Cash Flow Per Share,6.17,3.02,-0.93,1.47,3.11,-1.15,1.95,0.58,1.02,1.75,2.09
Dividend Per Share,0.409,0.409,0.382,0.357,0.334,0.311,0.290,0.272,0.254,0.220,0.192
Dividend Growth,7.07%,7.07%,7.00%,6.89%,7.40%,7.06%,7.00%,7.10%,15.23%,14.76%,15.00%
Gross Margin,33.48%,34.32%,32.32%,31.30%,27.93%,18.36%,25.80%,28.71%,28.69%,29.78%,29.06%
Operating Margin,25.14%,25.63%,24.10%,22.22%,19.26%,7.47%,16.62%,19.73%,19.23%,20.12%,19.60%
Profit Margin,13.99%,15.61%,16.95%,24.28%,15.60%,-7.77%,10.34%,34.97%,15.91%,13.02%,8.09%
Free Cash Flow Margin,15.62%,8.25%,-2.87%,6.26%,15.26%,-8.76%,11.91%,4.80%,11.13%,21.49%,27.67%
EBITDA,939.1,886.9,751.2,505.2,400.5,162.2,308.6,255.4,260.5,268.1,260
EBITDA Margin,32.56%,32.44%,30.51%,27.91%,25.07%,15.39%,23.21%,25.31%,29.52%,32.60%,32.56%
D&A For EBITDA,213.9,186.1,157.8,103,92.9,83.5,87.6,56.3,90.8,102.6,103.5
EBIT,725.2,700.8,593.4,402.2,307.6,78.7,221,199.1,169.7,165.5,156.5
EBIT Margin,25.14%,25.63%,24.10%,22.22%,19.26%,7.47%,16.62%,19.73%,19.23%,20.12%,19.60%
Effective Tax Rate,24.77%,25.14%,25.72%,27.82%,27.50%,-,28.92%,21.93%,-,34.40%,38.65%
Revenue as Reported,"2,884","2,734","2,462","1,810","1,597","1,054","1,330","1,009",882.6,822.4,798.6
