Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,923","9,815","10,065","7,908","9,214","7,685","5,465","3,290","3,590","2,484","2,353"
Market Cap Growth,-34.57%,-2.49%,27.27%,-14.17%,19.89%,40.63%,66.09%,-8.34%,44.52%,5.57%,41.23%
Enterprise Value,"11,953","14,597","14,658","11,021","10,902","9,259","6,777","4,044","4,656","3,347","2,893"
Last Close Price,99.29,133.54,134.54,105.06,119.32,96.18,67.51,39.83,37.77,24.25,22.61
PE Ratio,17.96,23.00,24.12,18.00,36.99,-,39.74,9.33,25.57,23.19,36.42
Forward PE,16.87,19.59,23.51,16.92,26.39,43.71,40.56,18.53,24.73,20.55,20.58
PS Ratio,2.49,3.59,4.09,4.37,5.77,7.29,4.11,3.26,4.07,3.02,2.95
PB Ratio,6.70,8.90,11.26,14.34,30.03,20.94,10.70,6.95,5.61,3.63,3.81
P/TBV Ratio,-,-,-,-,-,-,-,-,23.42,11.86,-
P/FCF Ratio,15.37,43.49,-,69.80,37.81,-,34.50,67.98,36.55,14.06,10.65
P/OCF Ratio,8.61,12.70,16.61,14.73,27.46,54.16,18.87,16.64,16.69,10.73,8.90
PEG Ratio,1.72,1.50,1.18,0.60,0.16,1.48,1.48,2.15,2.15,1.71,1.02
EV/Sales Ratio,4.14,5.34,5.95,6.09,6.83,8.79,5.10,4.01,5.28,4.07,3.62
EV/EBITDA Ratio,12.73,16.46,19.51,21.81,27.22,57.09,21.96,15.83,17.87,12.49,11.13
EV/EBIT Ratio,16.48,20.83,24.70,27.40,35.44,117.65,30.66,20.31,27.44,20.22,18.49
EV/FCF Ratio,26.54,64.67,-,97.27,44.74,-,42.78,83.56,47.41,18.94,13.09
Debt / Equity Ratio,4.83,4.51,5.42,8.35,6.42,4.42,2.88,1.87,1.76,1.35,1.27
Debt / EBITDA Ratio,5.35,5.42,6.40,9.02,4.85,9.70,4.71,3.46,4.33,3.44,3.01
Debt / FCF Ratio,11.57,22.04,-,40.65,8.08,-,9.31,18.27,11.50,5.22,3.54
Asset Turnover,0.39,0.38,0.37,0.39,0.56,0.40,0.62,0.49,0.38,0.36,0.35
Quick Ratio,0.37,0.40,0.35,0.36,1.01,0.36,0.49,0.70,0.30,0.23,0.22
Current Ratio,0.57,0.56,0.53,0.55,1.27,0.55,0.73,0.94,0.56,0.53,0.34
Return on Equity (ROE),37.04%,42.98%,57.75%,102.39%,73.93%,3.03%,28.37%,32.80%,18.47%,14.85%,10.75%
Return on Assets (ROA),6.20%,6.16%,5.63%,5.47%,6.78%,1.88%,6.46%,6.09%,4.60%,4.57%,4.22%
Return on Capital (ROIC),7.36%,7.41%,6.81%,6.77%,9.02%,2.48%,8.27%,7.96%,6.28%,6.88%,6.83%
Return on Capital Employed (ROCE),10.80%,10.70%,9.60%,7.20%,11.90%,3.50%,9.80%,13.60%,8.90%,9.30%,9.60%
Earnings Yield,5.83%,4.35%,4.15%,5.56%,2.70%,-1.07%,2.52%,10.72%,3.91%,4.35%,2.77%
FCF Yield,6.51%,2.30%,-0.70%,1.43%,2.65%,-1.20%,2.90%,1.47%,2.74%,7.11%,9.39%
Dividend Yield,0.44%,0.31%,0.28%,0.34%,0.28%,0.32%,0.43%,0.68%,0.67%,0.91%,0.85%
Payout Ratio,7.92%,6.84%,6.49%,5.92%,9.96%,-,16.14%,6.72%,15.30%,17.67%,26.69%
Buyback Yield / Dilution,2.01%,1.97%,1.17%,1.79%,2.24%,1.23%,2.40%,13.33%,4.95%,4.36%,0.58%
Total Shareholder Return,2.45%,2.28%,1.45%,2.13%,2.52%,1.55%,2.83%,14.02%,5.62%,5.26%,1.43%
