Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,136","1,155","1,105","1,058",927.74,913.22,900.42,848.61,788.49,731.64,637.94
Revenue Growth (YoY),-1.00%,4.53%,4.47%,14.05%,1.59%,1.42%,6.11%,7.63%,7.77%,14.69%,13.03%
Cost of Revenue,474.48,516.29,501.39,505.39,443.2,427.17,417.22,380.84,361.9,339.22,304.63
Gross Profit,661.62,639.2,604.04,552.72,484.55,486.05,483.2,467.76,426.58,392.42,333.31
"Selling, General & Admin",258.65,294.72,335.57,359.44,325.46,340.15,337.57,292.7,264.43,229.79,195.83
Research & Development,148.89,160.59,153.3,156.91,124.57,100.15,106.16,98.81,89.91,89.87,84.64
Amortization of Goodwill & Intangibles,2.49,3.54,3.14,2.93,2.23,2.92,5.32,4.84,3.27,2.84,2.23
Operating Expenses,410.03,458.85,492.01,519.28,452.26,443.21,449.05,396.36,357.61,322.5,282.7
Operating Income,251.58,180.35,112.03,33.44,32.29,42.85,34.15,71.41,68.97,69.92,50.61
Interest Expense,-67.63,-55.63,-39.92,-35.8,-18,-17.29,-20.62,-15.9,-12.1,-10.58,-8.07
Interest & Investment Income,7.86,9.85,8.82,1.75,0.39,1.66,2.8,2.01,0.99,0.58,0.16
Currency Exchange Gain (Loss),-0.74,0.49,-0.04,4.64,-1.64,-1.07,-,-0.9,1.56,-0.9,-
Other Non Operating Income (Expenses),4.24,4.22,4.08,2.33,1.43,1.06,1.26,-0.01,0,0.03,0.13
EBT Excluding Unusual Items,195.31,139.27,84.97,6.35,14.46,27.22,17.59,56.61,59.43,59.05,42.83
Merger & Restructuring Charges,-30.4,-9.2,-13.9,-3.9,-3.86,-5.14,-7.01,-11.99,-0.79,-1.7,-3.9
Gain (Loss) on Sale of Assets,-405.36,-405.36,-,-,-,-,-,-,-,-,-1.98
Asset Writedown,-22.6,-22.6,-,-2.3,-1.7,-,-,-,-,-,-
Other Unusual Items,-28,-13.7,-53.43,-57.61,-40.56,-9.83,-,-,-0.3,-,-
Pretax Income,-291.05,-311.59,17.64,-55.58,7.08,21.61,10.59,44.62,58.34,57.35,36.95
Income Tax Expense,-39.32,-28.42,15.82,-10.17,1.39,13.9,-1.32,-0.22,-15.29,11.95,11.3
Net Income,-251.73,-283.17,1.82,-45.41,5.7,7.72,11.91,44.84,73.63,45.4,25.65
Net Income to Common,-251.73,-283.17,1.82,-45.41,5.7,7.72,11.91,44.84,73.63,45.4,25.65
Net Income Growth,-,-,-,-,-26.16%,-35.20%,-73.44%,-39.10%,62.17%,77.02%,-9.34%
Shares Outstanding (Basic),48,51,53,52,47,48,48,47,47,46,46
Shares Outstanding (Diluted),48,51,54,52,48,49,48,48,48,47,46
Shares Change (YoY),-9.73%,-5.88%,4.17%,6.92%,-0.96%,0.80%,0.56%,0.56%,0.97%,1.76%,1.53%
EPS (Basic),-5.22,-5.60,0.03,-0.88,0.12,0.16,0.25,0.95,1.58,0.98,0.56
EPS (Diluted),-5.22,-5.60,0.03,-0.88,0.12,0.16,0.25,0.93,1.54,0.96,0.55
EPS Growth,-,-,-,-,-25.00%,-35.91%,-73.15%,-39.61%,60.42%,74.55%,-11.29%
Free Cash Flow,276.11,288.53,194.95,191.6,202,118.27,170.99,186.67,166.08,135.93,110.59
Free Cash Flow Per Share,5.72,5.71,3.63,3.71,4.19,2.43,3.54,3.88,3.48,2.87,2.38
Dividend Per Share,-,-,-,-,-,0.120,0.480,0.480,0.480,0.480,0.480
Dividend Growth,-,-,-,-,-,-75.00%,-,-,-,-,-
Gross Margin,58.24%,55.32%,54.64%,52.24%,52.23%,53.22%,53.66%,55.12%,54.10%,53.64%,52.25%
Operating Margin,22.14%,15.61%,10.13%,3.16%,3.48%,4.69%,3.79%,8.42%,8.75%,9.56%,7.93%
Profit Margin,-22.16%,-24.51%,0.17%,-4.29%,0.61%,0.84%,1.32%,5.28%,9.34%,6.21%,4.02%
Free Cash Flow Margin,24.30%,24.97%,17.64%,18.11%,21.77%,12.95%,18.99%,22.00%,21.06%,18.58%,17.34%
EBITDA,297.98,253.72,178.72,99.01,83.7,103.88,99.15,134.37,130.12,132.12,101.21
EBITDA Margin,26.23%,21.96%,16.17%,9.36%,9.02%,11.38%,11.01%,15.83%,16.50%,18.06%,15.87%
D&A For EBITDA,46.4,73.37,66.69,65.57,51.41,61.04,64.99,62.97,61.15,62.19,50.6
EBIT,251.58,180.35,112.03,33.44,32.29,42.85,34.15,71.41,68.97,69.92,50.61
EBIT Margin,22.14%,15.61%,10.13%,3.16%,3.48%,4.69%,3.79%,8.42%,8.75%,9.56%,7.93%
Effective Tax Rate,-,-,89.69%,-,19.55%,64.30%,-,-,-,20.83%,30.59%
Revenue as Reported,"1,155","1,155","1,105","1,058",927.74,913.22,900.42,848.61,788.49,731.64,637.94
Advertising Expenses,-,16,14,16.5,7.1,3,3.1,4,2.4,2.3,2.3
