Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,703","4,054","1,021",857,276,184,237,111,145,66,86
Market Cap Growth,-2.59%,296.93%,19.17%,210.44%,49.75%,-22.30%,114.19%,-23.84%,120.47%,-23.68%,-16.70%
Enterprise Value,"3,708","4,079","1,100",975,343,225,274,110,161,65,80
Last Close Price,15.42,17.15,4.52,3.88,1.41,1.95,4.00,2.39,3.21,5.12,8.07
PE Ratio,18.18,20.51,-,-,-,-,-,-,-,-,-
Forward PE,18.52,25.28,36.16,-,-,-,-,-,-,-,-
PS Ratio,7.51,9.51,3.96,5.56,3.41,4.37,8.09,6.52,9.23,6.19,12.05
PB Ratio,8.52,11.62,7.55,5.64,1.96,2.09,9.06,5.60,3.61,-14.80,105.31
P/TBV Ratio,8.63,11.75,7.79,5.81,2.03,2.24,12.17,9.05,4.55,-,105.31
P/FCF Ratio,90.52,36.71,253.51,-,-,-,-,-,-,-,-
P/OCF Ratio,56.74,34.16,116.07,-,-,-,-,-,-,-,-
EV/Sales Ratio,7.59,9.56,4.26,6.33,4.24,5.33,9.32,6.45,10.23,6.13,11.10
EV/EBITDA Ratio,21.19,27.74,33.58,-,-,-,-,-,-,-,-
EV/EBIT Ratio,22.20,29.35,45.03,-,-,-,-,-,-,-,-
EV/FCF Ratio,91.06,36.93,273.07,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.19,0.24,1.05,1.02,0.73,1.11,3.24,2.10,1.00,-4.13,17.42
Debt / EBITDA Ratio,0.47,0.55,4.02,-,-,-,-,-,-,-,-
Debt / FCF Ratio,2.04,0.74,35.10,-,-,-,-,-,-,-,-
Asset Turnover,1.02,1.04,0.76,0.49,0.34,0.25,0.27,0.17,0.24,0.45,0.28
Inventory Turnover,1.20,1.21,1.00,0.83,0.77,0.80,1.10,2.70,3.31,1.50,1.67
Quick Ratio,3.52,2.76,1.58,2.60,2.62,3.47,2.15,2.51,4.98,1.45,4.21
Current Ratio,7.13,5.97,5.16,6.89,6.87,7.71,6.12,4.63,6.60,1.93,5.05
Return on Equity (ROE),63.17%,81.64%,-19.67%,-44.96%,-62.46%,-132.38%,-210.08%,-218.77%,-243.95%,-,-526.24%
Return on Assets (ROA),21.76%,21.24%,4.51%,-7.88%,-14.87%,-21.44%,-23.98%,-38.27%,-38.88%,-45.70%,-38.22%
Return on Capital (ROIC),24.34%,24.55%,5.24%,-8.94%,-16.74%,-24.18%,-30.08%,-53.15%,-54.17%,-74.46%,-54.23%
Return on Capital Employed (ROCE),32.60%,32.10%,8.70%,-12.70%,-23.40%,-30.60%,-36.60%,-76.10%,-41.60%,-139.10%,-79.60%
Earnings Yield,5.68%,4.88%,-2.77%,-7.69%,-25.95%,-41.09%,-20.35%,-59.35%,-30.08%,-29.58%,-20.79%
FCF Yield,1.10%,2.72%,0.39%,-8.57%,-45.59%,-62.23%,-33.72%,-58.47%,-27.46%,-27.80%,-17.86%
Buyback Yield / Dilution,-3.49%,-8.65%,-13.19%,-41.77%,-62.03%,-58.51%,-20.27%,-97.37%,-88.39%,-16.72%,-12.06%
