Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,488.56,426.45,258.22,154.08,80.94,42.22,29.35,16.99,15.76,10.66,7.18
Revenue Growth (YoY),27.63%,65.16%,67.58%,90.36%,91.72%,43.85%,72.79%,7.77%,47.83%,48.53%,21.34%
Cost of Revenue,221.28,206.9,167.17,118.82,79.77,53.79,39.5,42.19,29.16,6.36,4.31
Gross Profit,267.28,219.55,91.04,35.27,1.17,-11.57,-10.16,-25.21,-13.4,4.3,2.87
"Selling, General & Admin",96.37,78.37,62.59,70.3,55.19,39.22,28.08,30.31,21.36,13.94,11.36
Research & Development,3.78,1.81,3.3,3.61,2.85,5.91,2.34,3.93,5.57,7.69,7.02
Amortization of Goodwill & Intangibles,0.12,0.39,0.72,0.72,0.72,0.72,0.84,0.84,0.63,-,-
Operating Expenses,100.27,80.57,66.61,74.63,58.75,45.84,31.27,35.08,27.56,21.63,18.38
Operating Income,167.02,138.98,24.43,-39.37,-57.57,-57.41,-41.42,-60.29,-40.96,-17.33,-15.51
Interest Expense,-8.36,-13.93,-25.03,-19.28,-13.06,-11.99,-8.99,-5.52,-3.29,-2.24,-1.84
Interest & Investment Income,1.98,2.1,1.62,0.05,0.04,0.29,0.8,0.2,0.06,0.05,0.04
Other Non Operating Income (Expenses),-0.28,-0.19,-0.29,-0.64,-0.25,-0.13,-0.23,-0.13,-0.01,0,0.07
EBT Excluding Unusual Items,160.35,126.96,0.74,-59.23,-70.85,-69.24,-49.84,-65.74,-44.2,-19.52,-17.25
Merger & Restructuring Charges,-,-,-,-,-,-7.5,-,-,-3.9,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,11.53,-,-0.85,-,-
Asset Writedown,-,-,-2.1,-,-,-,-,-,-0.6,-,-
Other Unusual Items,-4.58,-1.24,-26.87,-6.67,-0.8,0.99,-9.96,-,5.79,-,-0.72
Pretax Income,155.77,125.71,-28.24,-65.9,-71.65,-75.75,-48.28,-65.74,-43.76,-19.52,-17.97
Income Tax Expense,-53.67,-71.96,-,-,-,-,-,-,-,-,-
Net Income,209.45,197.67,-28.24,-65.9,-71.65,-75.75,-48.28,-65.74,-43.76,-19.52,-17.97
Net Income to Common,209.45,197.67,-28.24,-65.9,-71.65,-75.75,-48.28,-65.74,-43.76,-19.52,-17.97
Shares Outstanding (Basic),238,233,224,198,140,86,54,45,23,12,10
Shares Outstanding (Diluted),246,243,224,198,140,86,54,45,23,12,10
Shares Change (YoY),3.49%,8.65%,13.19%,41.77%,62.03%,58.51%,20.27%,97.37%,88.39%,16.72%,12.06%
EPS (Basic),0.88,0.85,-0.13,-0.33,-0.51,-0.88,-0.89,-1.45,-1.91,-1.61,-1.73
EPS (Diluted),0.86,0.81,-0.13,-0.33,-0.51,-0.88,-0.89,-1.45,-1.91,-1.61,-1.73
Free Cash Flow,40.73,110.45,4.03,-73.42,-125.88,-114.73,-80.01,-64.77,-39.95,-18.34,-15.44
Free Cash Flow Per Share,0.17,0.45,0.02,-0.37,-0.90,-1.33,-1.47,-1.43,-1.75,-1.51,-1.48
Gross Margin,54.71%,51.48%,35.26%,22.89%,1.45%,-27.41%,-34.60%,-148.42%,-85.05%,40.34%,39.93%
Operating Margin,34.19%,32.59%,9.46%,-25.55%,-71.13%,-135.99%,-141.14%,-354.95%,-259.92%,-162.56%,-216.14%
Profit Margin,42.87%,46.35%,-10.94%,-42.77%,-88.52%,-179.41%,-164.50%,-387.06%,-277.65%,-183.05%,-250.36%
Free Cash Flow Margin,8.34%,25.90%,1.56%,-47.65%,-155.52%,-271.74%,-272.60%,-381.36%,-253.47%,-172.05%,-215.17%
EBITDA,175.01,147.03,32.76,-32.25,-52.08,-53.47,-38.17,-56.84,-38.87,-16.86,-15.04
EBITDA Margin,35.82%,34.48%,12.69%,-20.93%,-64.34%,-126.65%,-130.04%,-,-246.64%,-158.15%,-209.60%
D&A For EBITDA,7.99,8.05,8.33,7.11,5.5,3.94,3.26,3.45,2.09,0.47,0.47
EBIT,167.02,138.98,24.43,-39.37,-57.57,-57.41,-41.42,-60.29,-40.96,-17.33,-15.51
EBIT Margin,34.19%,32.59%,9.46%,-25.55%,-71.13%,-135.99%,-141.14%,-,-259.92%,-162.56%,-216.14%
Revenue as Reported,-,-,-,-,-,42.22,29.35,16.99,22.76,10.66,7.18
