Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,959","2,400","2,758","2,362","4,642","11,354","2,566","1,701","1,904",-,-
Market Cap Growth,11.65%,-12.99%,16.75%,-49.11%,-59.12%,342.50%,50.88%,-10.66%,-,-,-
Enterprise Value,"3,131","2,579","2,867","2,330","4,510","11,164","2,405","1,593","1,831",-,-
Last Close Price,41.18,32.98,37.66,32.56,65.21,162.09,38.21,26.71,31.48,-,-
PS Ratio,4.42,3.89,5.06,5.05,12.57,37.28,9.86,7.50,10.77,-,-
PB Ratio,-,-73.52,52.69,16.21,19.84,38.28,12.50,23.24,41.82,-,-
P/TBV Ratio,-,-,129.19,20.70,23.33,39.15,12.50,23.24,41.82,-,-
P/FCF Ratio,41.51,779.10,-,-,-,-,-,-,-,-,-
P/OCF Ratio,39.89,348.89,-,-,-,-,-,-,-,-,-
EV/Sales Ratio,4.53,4.18,5.26,4.98,12.21,36.66,9.24,7.03,10.36,-,-
EV/FCF Ratio,43.10,837.40,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,-6.32,-9.65,5.30,1.26,0.24,0.20,0.25,-,-,-2.77,2.14
Debt / FCF Ratio,4.22,102.27,-,-,-,-,-,-,-,-,-
Asset Turnover,1.19,0.99,0.89,0.85,0.73,0.69,0.86,1.15,1.34,1.43,-
Quick Ratio,1.01,1.04,0.92,1.39,1.33,2.05,2.05,1.47,1.36,1.02,1.23
Current Ratio,1.19,1.23,1.12,1.56,1.57,2.34,2.47,1.63,1.53,1.16,1.36
Return on Equity (ROE),-,-936.62%,-112.54%,-79.51%,-33.42%,-13.34%,-36.43%,-83.31%,-161.93%,-,-
Return on Assets (ROA),1.27%,-5.41%,-11.03%,-16.50%,-10.31%,-5.36%,-10.43%,-14.81%,-15.07%,-7.63%,-
Return on Capital (ROIC),2.79%,-11.03%,-20.43%,-29.21%,-16.25%,-7.74%,-19.09%,-49.19%,-68.21%,-51.78%,-
Return on Capital Employed (ROCE),4.90%,-20.30%,-42.00%,-44.80%,-29.10%,-10.60%,-19.50%,-44.60%,-48.20%,-42.60%,-16.20%
Earnings Yield,-0.24%,-3.84%,-4.04%,-6.39%,-1.91%,-0.29%,-1.98%,-2.91%,-1.63%,-,-
FCF Yield,2.41%,0.13%,-4.35%,-4.90%,-1.29%,-0.08%,-1.61%,-2.25%,-0.50%,-,-
Buyback Yield / Dilution,-1.70%,0.16%,-0.89%,-2.00%,-2.88%,-5.45%,-5.37%,-25.46%,-44.51%,-,4.04%
