Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,690.76,617.02,545.36,467.99,369.26,304.57,260.35,226.74,176.74,132.92,111.2
Revenue Growth (YoY),15.96%,13.14%,16.53%,26.74%,21.24%,16.98%,14.82%,28.29%,32.96%,19.53%,24.95%
Cost of Revenue,163.82,148.78,143.13,133.31,104.09,88.77,93.84,84.93,64.6,50.12,48.48
Gross Profit,526.94,468.24,402.23,334.69,265.17,215.81,166.51,141.82,112.14,82.8,62.72
"Selling, General & Admin",357.83,367.26,356.92,340.49,251.56,183.47,158.94,143.81,109.12,71.18,50.82
Research & Development,157.32,154.98,153.1,139.21,97.52,70.24,58.04,44.72,34.84,22.99,16.75
Operating Expenses,515.15,522.23,510.01,479.7,349.07,253.71,216.98,188.54,143.95,94.17,67.57
Operating Income,11.79,-53.99,-107.79,-145.01,-83.91,-37.9,-50.47,-46.72,-31.81,-11.37,-4.84
Interest Expense,-21.61,-23.58,-17.86,-1.67,-0.37,-0.48,-0.37,-0.2,-0.47,-0.98,-0.19
Interest & Investment Income,-,-,-,-,-,-,-,-,0.16,-,-
Currency Exchange Gain (Loss),5.1,-16.8,8.7,-6.1,-3.7,4.3,-0.2,-3,2.6,-1.5,-1.3
Other Non Operating Income (Expenses),6.92,10.03,8.9,2.56,0.12,1.51,1.29,0.7,-0.34,-0.29,-0.28
EBT Excluding Unusual Items,2.21,-84.35,-108.04,-150.23,-87.86,-32.57,-49.75,-49.22,-29.86,-14.14,-6.61
Merger & Restructuring Charges,-5.46,-5.46,-,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.02,-0.15,0,-,-,-
Other Unusual Items,-,-1.4,-0.19,-,-,-,-,-,-0.38,-,-
Pretax Income,-3.26,-91.21,-108.23,-150.23,-87.86,-32.59,-49.89,-49.21,-30.25,-14.14,-6.61
Income Tax Expense,4.05,1.05,3.21,0.69,0.78,0.88,0.82,0.24,0.76,-1.68,0.38
Net Income,-7.31,-92.26,-111.44,-150.92,-88.64,-33.48,-50.71,-49.45,-31.01,-12.46,-6.99
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,0.36,0.86,0.86
Net Income to Common,-7.31,-92.26,-111.44,-150.92,-88.64,-33.48,-50.71,-49.45,-31.36,-13.32,-7.85
Shares Outstanding (Basic),74,73,73,72,71,69,65,62,50,34,34
Shares Outstanding (Diluted),74,73,73,72,71,69,65,62,50,34,34
Shares Change (YoY),1.70%,-0.16%,0.89%,2.00%,2.88%,5.45%,5.37%,25.46%,44.51%,-,-4.04%
EPS (Basic),-0.10,-1.26,-1.52,-2.08,-1.25,-0.48,-0.77,-0.80,-0.63,-0.39,-0.23
EPS (Diluted),-0.11,-1.26,-1.52,-2.08,-1.25,-0.48,-0.77,-0.80,-0.63,-0.39,-0.23
Free Cash Flow,72.65,3.08,-120.08,-115.65,-59.98,-8.87,-41.35,-38.34,-9.56,-8.74,-2.67
Free Cash Flow Per Share,0.98,0.04,-1.64,-1.60,-0.84,-0.13,-0.63,-0.62,-0.19,-0.26,-0.08
Gross Margin,76.28%,75.89%,73.75%,71.52%,71.81%,70.86%,63.96%,62.55%,63.45%,62.29%,56.40%
Operating Margin,1.71%,-8.75%,-19.76%,-30.99%,-22.72%,-12.44%,-19.38%,-20.60%,-18.00%,-8.55%,-4.35%
Profit Margin,-1.06%,-14.95%,-20.43%,-32.25%,-24.01%,-10.99%,-19.48%,-21.81%,-17.75%,-10.02%,-7.06%
Free Cash Flow Margin,10.52%,0.50%,-22.02%,-24.71%,-16.24%,-2.91%,-15.88%,-16.91%,-5.41%,-6.58%,-2.40%
EBITDA,21.75,-43.96,-98.31,-137.71,-78.16,-32.05,-45.73,-44.7,-30.93,-10.61,-4.08
EBITDA Margin,3.15%,-7.12%,-18.03%,-29.43%,-21.17%,-10.52%,-17.56%,-19.71%,-17.50%,-7.98%,-3.67%
D&A For EBITDA,9.96,10.03,9.47,7.3,5.74,5.85,4.74,2.02,0.89,0.76,0.76
EBIT,11.79,-53.99,-107.79,-145.01,-83.91,-37.9,-50.47,-46.72,-31.81,-11.37,-4.84
EBIT Margin,1.71%,-8.75%,-19.76%,-30.99%,-22.72%,-12.44%,-19.38%,-20.60%,-18.00%,-8.55%,-4.35%
Revenue as Reported,690.76,617.02,545.36,467.99,369.26,304.57,260.35,226.74,176.74,132.92,111.2
Advertising Expenses,-,3.9,4.2,5.8,4.4,6,4.1,3.9,3,1.4,0.5
