Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022"
"Selling, General & Admin",25.81,6.85,4.75,1.38
Research & Development,12.18,3.73,1.53,0.21
Operating Expenses,37.99,10.58,6.28,1.59
Operating Income,-37.99,-10.58,-6.28,-1.59
Interest & Investment Income,4.04,0.36,0.03,-
Other Non Operating Income (Expenses),-,-,-,0.04
EBT Excluding Unusual Items,-33.96,-10.22,-6.25,-1.55
Other Unusual Items,-0.55,0.07,-,-
Pretax Income,-34.51,-10.15,-6.25,-1.55
Net Income,-34.51,-10.15,-6.25,-1.55
Net Income to Common,-34.51,-10.15,-6.25,-1.55
Shares Outstanding (Basic),35,26,22,17
Shares Outstanding (Diluted),35,26,22,17
Shares Change (YoY),43.05%,17.12%,35.25%,-
EPS (Basic),-0.99,-0.39,-0.28,-0.09
EPS (Diluted),-0.99,-0.39,-0.28,-0.09
Free Cash Flow,-22.73,-10.16,-3.87,-0.93
Free Cash Flow Per Share,-0.65,-0.39,-0.17,-0.06
EBITDA,-,-10.57,-,-
D&A For EBITDA,-,0.01,-,-
EBIT,-37.99,-10.58,-6.28,-1.59
Advertising Expenses,-,0.9,0.48,-
