Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022"
Cash & Equivalents,210.18,28.51,6.95,2.13
Cash & Short-Term Investments,210.78,28.51,6.95,2.13
Cash Growth,1428.57%,310.01%,226.42%,-
Prepaid Expenses,1.42,0.83,0.21,0.12
Total Current Assets,212.2,29.34,7.16,2.25
"Property, Plant & Equipment",7.99,3.52,-,-
Long-Term Investments,2,2,-,-
Long-Term Deferred Charges,-,-,0.08,-
Other Long-Term Assets,9.34,0.24,-,-
Total Assets,231.53,35.1,7.23,2.25
Accounts Payable,0.6,0.76,0.19,0.1
Accrued Expenses,0.04,0.03,0.04,0.04
Current Portion of Leases,0.49,0.28,-,-
Other Current Liabilities,1.77,0.77,-,-
Total Current Liabilities,2.91,1.84,0.23,0.14
Long-Term Leases,2.31,1.65,-,-
Other Long-Term Liabilities,-,-,5,-
Total Liabilities,5.22,3.49,5.23,0.14
Common Stock,0,0,0,0
Additional Paid-In Capital,275.76,49.04,9.29,3.14
Retained Earnings,-49.45,-17.43,-7.28,-1.03
Shareholders' Equity,226.31,31.61,2.01,2.11
Total Liabilities & Equity,231.53,35.1,7.23,2.25
Total Debt,2.81,1.93,-,-
Net Cash (Debt),207.97,26.58,6.95,2.13
Net Cash Growth,1659.70%,282.23%,226.42%,-
Net Cash Per Share,5.94,1.01,0.31,0.13
Filing Date Shares Outstanding,41.58,36.6,25.18,16.55
Total Common Shares Outstanding,41.54,30.72,25.18,16.55
Working Capital,209.3,27.5,6.93,2.11
Book Value Per Share,5.45,1.03,0.08,0.13
Tangible Book Value,226.31,31.61,2.01,2.11
Tangible Book Value Per Share,5.45,1.03,0.08,0.13
Land,5.5,0.12,-,-
Buildings,-,1.59,-,-
