Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Revenue,410.45,361.13,401.84,527.54,138.17,18.19
Revenue Growth (YoY),11.15%,-10.13%,-23.83%,281.80%,659.60%,-
Cost of Revenue,293.47,250.42,218.37,295,86.51,4.72
Gross Profit,116.99,110.72,183.48,232.55,51.66,13.47
"Selling, General & Admin","1,268","1,192",666.82,260.81,119.34,158.16
Research & Development,"1,219","1,091","1,058",758.57,443.18,333.35
Other Operating Expenses,-10.67,-15.48,-16.84,-20.25,-14.75,-5.32
Operating Expenses,"2,494","2,297","1,749","1,011",548.18,486.21
Operating Income,"-2,377","-2,186","-1,565",-778.28,-496.52,-472.73
Interest Expense,-4.73,-2.8,-2.85,-3.57,-5.57,-6.22
Interest & Investment Income,162.55,176.9,132.04,36.11,29.77,1.29
Currency Exchange Gain (Loss),28.85,27.88,7.05,20.21,-5.07,10.75
Other Non Operating Income (Expenses),-187.68,-465.9,-554.69,-605.05,-529.36,-228.2
EBT Excluding Unusual Items,"-2,378","-2,450","-1,984","-1,331","-1,007",-695.1
Gain (Loss) on Sale of Investments,-43.18,-61.83,42.96,7.73,3.48,3.46
Gain (Loss) on Sale of Assets,0.9,1.01,-1.09,-0.95,-3.97,-3.25
Other Unusual Items,-,-,-4.55,25.31,-,-
Pretax Income,"-2,420","-2,511","-1,946","-1,298","-1,007",-694.89
Income Tax Expense,6.15,5.87,2.87,-,-,-
Net Income,"-2,427","-2,517","-1,949","-1,298","-1,007",-694.89
Preferred Dividends & Other Adjustments,-,-,32.77,-,-,-
Net Income to Common,"-2,427","-2,517","-1,982","-1,298","-1,007",-694.89
Shares Outstanding (Basic),229,98,39,39,34,29
Shares Outstanding (Diluted),229,98,39,39,34,29
Shares Change (YoY),449.13%,150.66%,0.28%,15.91%,16.53%,-
EPS (Basic),-10.58,-25.63,-50.58,-33.23,-29.88,-24.02
EPS (Diluted),-10.58,-25.63,-50.58,-33.23,-29.88,-24.02
Free Cash Flow,"-1,115",-677.6,-511.54,-751.19,-531.82,-216.81
Free Cash Flow Per Share,-4.86,-6.90,-13.05,-19.23,-15.78,-7.49
Gross Margin,28.50%,30.66%,45.66%,44.08%,37.39%,74.07%
Operating Margin,-579.16%,-605.37%,-389.48%,-147.53%,-359.35%,-2598.85%
Profit Margin,-591.21%,-696.92%,-493.19%,-246.14%,-728.98%,-3820.16%
Free Cash Flow Margin,-271.63%,-187.63%,-127.30%,-142.40%,-384.90%,-1191.92%
EBITDA,"-2,298","-2,124","-1,512",-723.48,-453.08,-433.31
EBITDA Margin,-,-,-,-137.14%,-,-
D&A For EBITDA,79.18,62.65,53.41,54.8,43.45,39.43
EBIT,"-2,377","-2,186","-1,565",-778.28,-496.52,-472.73
EBIT Margin,-,-,-,-147.53%,-,-
Revenue as Reported,410.45,361.13,401.84,527.54,138.17,18.19
