Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Cash & Equivalents,"3,836","4,268","1,661","2,234","2,726",212.62
Short-Term Investments,251.73,620.15,"2,550","1,057",1.95,5.88
Trading Asset Securities,"1,735","1,685",317.04,"1,219",53.87,607.96
Cash & Short-Term Investments,"5,823","6,574","4,528","4,510","2,781",826.46
Cash Growth,39.13%,45.16%,0.42%,62.13%,236.54%,-
Accounts Receivable,285.68,293.73,376.68,331.47,40.44,13.2
Other Receivables,144.98,79.69,122.69,59.12,44.95,21.3
Receivables,430.66,391.92,510.23,390.59,85.38,34.5
Inventory,289.93,204.71,218.22,156.01,146.84,22.45
Prepaid Expenses,41.95,-,-,-,3,-
Restricted Cash,3.27,4.81,10.19,1.39,3.01,48.11
Other Current Assets,46.15,112.96,102.91,15.98,-,4.36
Total Current Assets,"6,635","7,288","5,370","5,073","3,020",935.88
"Property, Plant & Equipment",354.92,251.74,150.23,178.29,173.31,153.22
Long-Term Investments,58.15,56.92,-,-,-,12.58
Goodwill,44.76,44.76,44.76,44.76,44.76,-
Other Intangible Assets,19.54,21.66,24.59,28.6,30.99,0.9
Long-Term Accounts Receivable,-,0.56,0.25,23.45,3.52,-
Long-Term Deferred Tax Assets,0.5,1,1.99,2.99,3.99,-
Other Long-Term Assets,32.83,29.13,22.41,33.83,30.42,28.41
Total Assets,"7,146","7,694","5,614","5,385","3,307","1,131"
Accounts Payable,61.77,20.71,16.96,36.34,34.64,18.84
Accrued Expenses,143.61,213.21,94.88,65.57,55.78,56.15
Short-Term Debt,102.28,30.02,-,-,-,104.48
Current Portion of Long-Term Debt,-,-,-,-,-,103.67
Current Portion of Leases,34.39,36.9,31.1,32.01,32.54,16.92
Current Income Taxes Payable,-,2.08,-,-,-,-
Current Unearned Revenue,217.82,189.02,188.92,143.31,3.82,0.84
Other Current Liabilities,41.42,50.55,"8,260",84.62,107.55,290.83
Total Current Liabilities,601.28,542.49,"8,591",361.85,234.34,591.72
Long-Term Debt,47.53,50.04,-,"7,018",-,-
Long-Term Leases,21.2,26.06,22.31,35.86,61.3,48.05
Long-Term Unearned Revenue,8.1,4.68,6.52,5.94,139.79,138.63
Long-Term Deferred Tax Liabilities,3.99,4.49,5.48,6.48,7.48,-
Other Long-Term Liabilities,-,-,40.45,39.81,791.3,721.69
Total Liabilities,682.1,627.75,"8,666","7,468","1,234","1,500"
Common Stock,0.07,0.06,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"12,800","12,751","1,104","1,062","1,047",987.44
Retained Earnings,"-9,423","-8,631","-6,115","-4,133","-2,834","-2,128"
Treasury Stock,-,-,-151.67,-151.67,-91.84,-
Comprehensive Income & Other,"3,086","2,947","2,110","1,141",913.27,738.69
Total Common Equity,"6,464","7,066","-3,052","-2,082",-966.12,-401.91
Shareholders' Equity,"6,464","7,066","-3,052","-2,082","2,072",-369.11
Total Liabilities & Equity,"7,146","7,694","5,614","5,385","3,307","1,131"
Total Debt,205.39,143.02,53.41,"7,085",93.83,273.11
Net Cash (Debt),"5,618","6,431","4,475","-2,576","2,688",553.35
Net Cash Growth,35.60%,43.70%,-,-,385.69%,-
Net Cash Per Share,24.48,65.47,114.21,-65.92,79.72,19.13
Filing Date Shares Outstanding,301.07,284.53,35.2,34.62,33.66,28.93
Total Common Shares Outstanding,301.07,275.4,33.49,32.91,33.66,28.93
Working Capital,"6,034","6,746","-3,221","4,712","2,785",344.16
Book Value Per Share,21.47,25.66,-91.12,-63.28,-28.70,-5.67
Tangible Book Value,"6,399","7,000","-3,121","-2,155","-1,042",-402.81
Tangible Book Value Per Share,21.26,25.42,-93.19,-65.50,-30.95,-5.68
Machinery,-,369.87,247.77,224.11,153.71,141.69
Construction In Progress,-,-,0.19,0.05,0.63,0.27
Leasehold Improvements,-,49.5,39.46,35.5,29.29,21.63
