Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020"
Market Capitalization,"2,677","3,892",-,-,-,-
Enterprise Value,"1,837","4,625",-,-,-,-
Last Close Price,8.91,14.18,-,-,-,-
PS Ratio,35.68,78.67,-,-,-,-
PB Ratio,2.97,4.02,-,-,-,-
P/TBV Ratio,2.93,4.06,-,-,-,-
EV/Sales Ratio,32.06,93.48,-,-,-,-
Debt / Equity Ratio,0.03,0.02,-0.02,-3.40,0.05,-0.74
Asset Turnover,0.07,0.05,0.07,0.12,0.06,-
Inventory Turnover,1.04,1.18,1.17,1.95,1.02,-
Quick Ratio,10.40,12.81,0.59,13.54,12.23,1.46
Current Ratio,11.04,13.43,0.63,14.02,12.89,1.58
Return on Equity (ROE),-43.04%,-125.40%,-,-,-118.27%,-
Return on Assets (ROA),-23.98%,-20.53%,-17.79%,-11.19%,-13.99%,-
Return on Capital (ROIC),-25.78%,-64.90%,-97.58%,-13.57%,-29.98%,-
Earnings Yield,-12.92%,-8.86%,-,-,-,-
FCF Yield,-5.97%,-2.38%,-,-,-,-
Buyback Yield / Dilution,-449.13%,-150.66%,-0.28%,-15.91%,-16.53%,-
