Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021"
Operating Revenue,178.25,154.79,69.96,78.52,73.73,-
Other Revenue,0.07,7.6,26.09,3.64,-,7.32
Revenue,178.32,162.39,96.05,82.16,73.73,7.32
Revenue Growth (YoY),5.60%,69.07%,16.90%,11.43%,906.77%,-
Cost of Revenue,93.08,86.66,54.19,43.11,25.78,2.51
Gross Profit,85.24,75.73,41.85,39.05,47.95,4.81
"Selling, General & Admin",73.92,67.02,49.13,24.94,31.33,20.82
Other Operating Expenses,-490,-509.34,-31.2,3.7,30.3,2.15
Operating Expenses,-339.62,-394.55,35.48,47.43,73.22,23.64
Operating Income,424.86,470.28,6.38,-8.38,-25.27,-18.82
Interest Expense,-34.04,-29.79,-24.93,-27.94,-6.92,-0.34
Earnings From Equity Investments,6.52,10.36,12.82,6.13,-,-
Currency Exchange Gain (Loss),-2.43,-5,1,-,-,-
Other Non Operating Income (Expenses),-27.58,6.78,-,-,-,-
EBT Excluding Unusual Items,367.33,452.62,-4.74,-30.18,-32.19,-19.17
Merger & Restructuring Charges,-6.6,-4,-,-2.4,-,-
Gain (Loss) on Sale of Assets,-3.61,0.63,1.49,4.13,5.46,-
Asset Writedown,-4.47,-4.47,-,-63.57,-,-
Legal Settlements,-,-,1.53,1.53,-,-
Other Unusual Items,-12.34,7.13,23.68,23.68,-,-
Pretax Income,340.31,451.91,21.96,-66.81,-26.73,-19.17
Income Tax Expense,136.87,113.46,0.19,-1.2,5.07,-3.59
Earnings From Continuing Operations,203.44,338.45,21.77,-65.61,-31.8,-15.57
Earnings From Discontinued Operations,2.32,-7.04,0.08,-,-,-
Net Income to Company,205.76,331.41,21.85,-65.61,-31.8,-15.57
Minority Interest in Earnings,-0,0.47,-,-,-,-
Net Income,205.76,331.88,21.85,-65.61,-31.8,-15.57
Net Income to Common,206.28,331.88,21.85,-65.61,-31.8,-15.57
Net Income Growth,8.16%,1418.91%,-,-,-,-
Shares Outstanding (Basic),102,91,47,41,34,28
Shares Outstanding (Diluted),110,101,49,41,34,28
Shares Change (YoY),23.16%,105.93%,18.32%,22.34%,21.25%,-
EPS (Basic),2.03,3.63,0.46,-1.58,-0.94,-0.56
EPS (Diluted),1.89,3.33,0.45,-1.58,-0.94,-0.56
EPS Growth,-12.05%,647.35%,-,-,-,-
Free Cash Flow,-288.68,-232.14,-23.7,-44.38,-221.63,-9.13
Free Cash Flow Per Share,-2.62,-2.30,-0.48,-1.07,-6.54,-0.33
Gross Margin,47.80%,46.64%,43.58%,47.53%,65.03%,65.73%
Operating Margin,238.26%,289.61%,6.64%,-10.20%,-34.27%,-257.05%
Profit Margin,115.68%,204.38%,22.75%,-79.86%,-43.13%,-212.64%
Free Cash Flow Margin,-161.89%,-142.96%,-24.68%,-54.01%,-300.60%,-124.70%
EBITDA,501.32,518.05,23.91,10.4,-13.68,-18.15
EBITDA Margin,281.14%,319.03%,24.90%,12.66%,-18.55%,-247.89%
D&A For EBITDA,76.46,47.77,17.54,18.78,11.59,0.67
EBIT,424.86,470.28,6.38,-8.38,-25.27,-18.82
EBIT Margin,238.26%,289.61%,6.64%,-10.20%,-34.27%,-257.05%
Effective Tax Rate,40.22%,25.11%,0.86%,-,-,-
Revenue as Reported,178.32,162.39,96.05,82.16,73.73,7.32
