Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021"
Market Capitalization,"4,840","1,919","1,187",-,-,-
Market Cap Growth,238.06%,61.74%,-,-,-,-
Enterprise Value,"5,071","2,200","1,416",-,-,-
Last Close Price,47.00,20.49,13.34,-,-,-
PE Ratio,23.57,5.78,54.31,-,-,-
PS Ratio,26.85,11.82,12.36,-,-,-
PB Ratio,3.46,1.96,2.43,-,-,-
P/TBV Ratio,3.85,2.11,2.88,-,-,-
EV/Sales Ratio,28.44,13.55,14.74,-,-,-
EV/EBITDA Ratio,10.11,4.25,59.20,-,-,-
EV/EBIT Ratio,11.94,4.68,221.99,-,-,-
Debt / Equity Ratio,0.24,0.35,0.42,5.57,1.49,0.13
Debt / EBITDA Ratio,0.77,0.66,8.31,13.59,-,-
Asset Turnover,0.09,0.14,-,0.38,0.51,-
Quick Ratio,0.14,0.61,0.30,1.07,0.28,1.10
Current Ratio,0.72,1.67,0.55,1.87,0.37,1.60
Return on Equity (ROE),17.20%,46.10%,-,-114.13%,-51.51%,-
Return on Assets (ROA),14.02%,26.01%,-,-2.41%,-10.96%,-
Return on Capital (ROIC),17.13%,29.13%,-,-2.63%,-12.21%,-
Return on Capital Employed (ROCE),17.90%,34.50%,1.00%,-,-,-
Earnings Yield,4.38%,17.29%,1.84%,-,-,-
FCF Yield,-6.12%,-12.09%,-2.00%,-,-,-
Buyback Yield / Dilution,-23.16%,-105.93%,-18.32%,-22.34%,-21.25%,-
