Period Ending,"Sep '25Sep 26, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,89.22,113.99,105.05,100.11,117.39,125.05,78.94,82.04,100.06,68.11,59.96
Cash & Short-Term Investments,89.22,113.99,105.05,100.11,117.39,125.05,78.94,82.04,100.06,68.11,59.96
Cash Growth,-3.74%,8.51%,4.94%,-14.73%,-6.13%,58.41%,-3.78%,-18.00%,46.91%,13.59%,17.23%
Accounts Receivable,170.56,151.03,139.41,137.7,115.62,75.05,91.08,83.96,81.48,63.77,57.19
Receivables,170.56,151.03,139.41,137.7,115.62,75.05,91.08,83.96,81.48,63.77,57.19
Inventory,179.98,144.61,149.37,168,125.66,92.74,116.62,104.76,91.28,59.75,59.57
Prepaid Expenses,18.71,14.73,12.98,12.82,13.02,8.1,11.92,9.14,10.53,5.57,4.49
Other Current Assets,9.95,9.3,8.48,1.9,2.13,3.23,5.96,1.87,4.54,2.06,4.01
Total Current Assets,468.42,433.65,415.3,420.52,373.83,304.17,304.51,281.77,287.88,199.25,185.21
"Property, Plant & Equipment",163.06,156.04,147.75,146.5,135.78,113.12,112.74,65.46,61.72,35.42,40.55
Long-Term Investments,-,-,-,-,-,-,-,-,-,8.5,10.1
Goodwill,647.51,584.1,484.51,478.9,479.5,285.98,274.71,217.66,210.99,108.13,103.46
Other Intangible Assets,193.25,185.84,145.02,175.77,220.99,148.52,166.18,142.92,155.05,61.74,66.27
Long-Term Deferred Tax Assets,27.09,22.89,27.86,15.11,12.21,10.49,8.89,9.49,7.05,8.59,7.89
Other Long-Term Assets,6.49,5.99,5.62,4.41,5.59,2.89,2.71,2.27,4.02,4,2.57
Total Assets,"1,506","1,389","1,226","1,241","1,228",865.18,869.74,719.58,726.7,425.64,416.05
Accounts Payable,100.21,76.89,57.2,75.23,68.51,42.97,52.59,50.73,39.79,32.21,24.4
Accrued Expenses,17.04,28.36,32.7,35.5,24.73,12.51,15.36,24.55,17.35,10.88,8.4
Current Portion of Long-Term Debt,5.69,4.69,4.97,4.8,5.1,5.51,5.03,4.54,9.12,7.37,7.39
Current Portion of Leases,10.97,10.64,8.91,8.46,7.93,15.91,6.35,-,-,-,-
Current Income Taxes Payable,4.01,16,7.77,13.66,4.51,5.79,1.86,2.63,5.94,3.97,3.99
Current Unearned Revenue,8.03,5.72,5.55,8.13,7,6.17,3.22,4.17,4.79,-,-
Other Current Liabilities,40.92,25.5,22.08,18.75,66.16,25.38,50.44,17.59,21.18,16.06,12.79
Total Current Liabilities,186.86,167.79,139.18,164.52,183.94,114.23,134.85,104.2,98.17,70.5,56.95
Long-Term Debt,445.66,411.95,349.4,430.66,429.36,194.93,215.33,202.84,225.5,70.55,88.43
Long-Term Leases,42.97,43.72,41.28,45.46,51.01,38.71,48.95,7.28,-,8.11,9.17
Long-Term Unearned Revenue,-,-,-,-,0.31,0.33,0.38,0.54,0.61,-,-
Pension & Post-Retirement Benefits,-,-,-,-,-,1.51,1.47,3.76,-,5.96,3.69
Long-Term Deferred Tax Liabilities,19.7,13.09,16.31,17.19,33.74,24.13,26.68,22.63,25.67,1.29,0.45
Other Long-Term Liabilities,9.14,6.26,6.43,5.79,8.24,14.53,24.9,10.08,18.29,10.36,12.65
Total Liabilities,704.34,642.81,552.6,663.63,706.59,388.37,452.56,351.32,368.24,166.77,171.34
Common Stock,423.86,423.86,423.86,423.86,423.86,423.86,423.86,423.86,423.86,423.86,423.86
Additional Paid-In Capital,76.5,84.21,70.18,55.16,53.77,58.99,49.75,46.02,33.31,30.28,29.23
Retained Earnings,303.91,267.55,203.46,130.58,56.53,6.2,-38.32,-79.09,-127.74,-167.55,-189.55
Comprehensive Income & Other,-2.79,-29.92,-24.04,-32.01,-12.87,-12.24,-18.11,-22.53,-17.88,-27.72,-18.83
Total Common Equity,801.48,745.7,673.46,577.59,521.29,476.81,417.17,368.26,311.55,258.87,244.7
Minority Interest,-,-,-,-,-,-,-,-,46.92,-,-
Shareholders' Equity,801.48,745.7,673.46,577.59,521.29,476.81,417.17,368.26,358.47,258.87,244.7
Total Liabilities & Equity,"1,506","1,389","1,226","1,241","1,228",865.18,869.74,719.58,726.7,425.64,416.05
Total Debt,505.28,471,404.56,489.38,493.4,255.05,275.67,214.65,234.62,86.03,104.98
Net Cash (Debt),-416.06,-357.01,-299.51,-389.28,-376.01,-130,-196.72,-132.61,-134.56,-17.92,-45.03
Net Cash Per Share,-11.53,-9.88,-8.31,-10.84,-10.51,-3.65,-5.53,-3.74,-3.81,-0.51,-1.29
Filing Date Shares Outstanding,35.78,35.96,35.85,35.74,35.63,35.31,35.09,34.9,34.6,34.46,34.35
Total Common Shares Outstanding,35.85,35.94,35.81,35.71,35.6,35.16,35.05,34.89,34.6,34.46,34.35
Working Capital,281.56,265.86,276.12,256,189.89,189.94,169.67,177.57,189.71,128.75,128.26
Book Value Per Share,22.36,20.75,18.80,16.17,14.64,13.56,11.90,10.56,9.01,7.51,7.12
Tangible Book Value,-39.29,-24.24,43.93,-77.08,-179.2,42.31,-23.71,7.67,-54.49,89,74.98
Tangible Book Value Per Share,-1.10,-0.67,1.23,-2.16,-5.03,1.20,-0.68,0.22,-1.58,2.58,2.18
Land,-,99.22,95.02,86.03,78.91,71.34,67.38,46.94,43.92,29.25,39.02
Machinery,-,125.69,117.49,110.21,98.69,93.49,87.47,73.51,69.69,48.11,39.35
Order Backlog,-,445.5,473.1,-,-,-,-,-,-,-,-
