Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,034","1,818","1,521","1,530","1,627",969,"1,182",971,"1,047",566,371
Market Cap Growth,19.74%,19.53%,-0.60%,-5.99%,68.03%,-18.02%,21.69%,-7.24%,84.99%,52.60%,1.87%
Last Close Price,49.22,43.31,35.60,40.11,41.86,30.41,34.80,28.06,30.01,22.84,15.52
PE Ratio,20.70,23.97,14.70,10.47,17.10,11.95,12.90,10.87,22.77,20.70,14.03
PS Ratio,5.56,5.45,3.94,4.13,5.34,3.66,4.32,3.60,4.92,3.69,2.65
PB Ratio,1.27,1.26,1.11,1.48,1.32,1.08,1.39,1.27,1.51,1.54,1.08
P/FCF Ratio,9.77,10.56,11.98,6.79,12.24,21.07,24.77,27.21,47.20,17.37,11.63
P/OCF Ratio,9.61,10.40,11.57,6.63,11.43,16.60,23.06,20.92,39.00,13.71,9.93
Debt / Equity Ratio,0.07,0.07,0.47,0.30,0.07,0.09,0.38,0.53,0.59,0.74,0.55
Debt / FCF Ratio,0.50,0.62,5.11,1.36,0.67,1.73,6.72,11.39,18.38,8.33,5.85
Return on Equity (ROE),6.42%,5.41%,8.66%,12.99%,9.01%,9.33%,11.39%,12.26%,8.67%,7.75%,7.41%
Return on Assets (ROA),0.79%,0.63%,0.92%,1.39%,1.07%,1.21%,1.53%,1.57%,1.00%,0.79%,0.82%
Earnings Yield,4.73%,4.19%,6.85%,9.60%,5.88%,8.41%,7.79%,9.20%,4.39%,4.86%,7.29%
FCF Yield,10.24%,9.47%,8.35%,14.73%,8.17%,4.75%,4.04%,3.67%,2.12%,5.76%,8.60%
Dividend Yield,1.86%,2.03%,2.47%,2.19%,1.91%,2.37%,1.55%,1.43%,1.07%,1.40%,2.06%
Payout Ratio,37.72%,47.56%,33.55%,20.87%,23.24%,25.70%,14.84%,12.63%,16.52%,24.11%,26.28%
Buyback Yield / Dilution,-0.40%,-0.39%,-15.39%,-18.81%,-3.61%,2.49%,-0.04%,-17.46%,-21.99%,-1.14%,-0.32%
Total Shareholder Return,1.47%,1.64%,-12.92%,-16.61%,-1.70%,4.85%,1.51%,-16.04%,-20.92%,0.26%,1.74%
