Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,88.08,87.62,112.65,122.59,167.15,192.9,177.2,139.25,154.91,127.93,102.17
Investment Securities,"2,710","2,854","3,197","3,106","3,581","2,466","1,428",878.24,823.32,656.46,564.22
Trading Asset Securities,50.72,77.13,79.38,93.04,41.13,74.34,27.86,12.08,7.32,6.31,4.97
Mortgage-Backed Securities,"1,016","1,073","1,165","1,284","1,417","1,073","1,286",791.31,772.31,672.51,745.1
Total Investments,"3,777","4,004","4,441","4,483","5,040","3,613","2,742","1,682","1,603","1,335","1,314"
Gross Loans,"13,591","12,854","12,486","12,004","9,242","9,243","8,459","7,224","6,751","5,140","4,694"
Allowance for Loan Losses,-194.47,-192.76,-204.93,-223.28,-195.4,-130.65,-80.28,-80.55,-75.03,-66.04,-62.45
Net Loans,"13,397","12,662","12,281","11,781","9,046","9,113","8,379","7,144","6,676","5,074","4,631"
"Property, Plant & Equipment",121.77,150.83,152.81,140.74,123.47,129.31,133.8,93.42,95.85,94.43,97.65
Goodwill,712,712,712,712,545.39,543.92,543.92,445.36,445.36,244,243.13
Other Intangible Assets,15.3,19.83,27.1,35.84,25.48,28.98,34.96,24.43,31.15,14.87,16.64
Loans Held for Sale,23.19,18.66,18.93,9.09,11.19,3.97,9.04,4.78,7.22,2.93,9.89
Accrued Interest Receivable,89.1,91.83,97.66,85.07,57.19,53.95,48.9,40.88,37.13,26.19,24.42
Other Receivables,89.76,6.5,15.13,1.77,11.32,7.99,3.88,2.27,4.17,1.63,3.42
Other Current Assets,-,-,-,-,4.5,-,-,-,-,-,-
Long-Term Deferred Tax Assets,-,85.89,84.75,109.46,24.32,4.35,8.28,21.4,19.82,37.76,43.56
Other Real Estate Owned & Foreclosed,1.27,4.95,4.83,6.43,0.56,0.94,7.53,2.18,10.37,8.97,17.26
Other Long-Term Assets,450.06,426.17,415.82,477.18,367.76,346.23,339.8,260.63,258.57,226.07,239.04
Total Assets,"18,812","18,312","18,406","18,002","15,453","14,067","12,457","9,885","9,367","7,212","6,761"
Interest Bearing Deposits,"12,769","11,153","10,912","10,467","9,750","8,717","7,367","5,713","4,942","3,932","3,700"
Institutional Deposits,-,"1,043","1,409",742.54,273.38,346.19,736.84,593.59,468.9,276.27,323.7
Non-Interest Bearing Deposits,"2,101","2,326","2,500","3,173","2,710","2,298","1,736","1,448","1,762","1,348","1,266"
Total Deposits,"14,870","14,522","14,821","14,383","12,733","11,362","9,840","7,755","7,173","5,556","5,290"
Short-Term Borrowings,249.23,175.79,79.01,264.33,41.97,76.35,84.3,116.64,152.73,128.83,57.79
Current Portion of Long-Term Debt,123.53,239.03,218.46,167.41,181.58,177.1,187.95,113.51,308.01,313.55,246.77
Current Portion of Leases,-,6.18,-,25.32,-,-,-,-,-,-,-
Accrued Interest Payable,18.24,16.1,18.91,7.53,2.76,3.29,6.75,5.61,4.39,3.11,3.09
Long-Term Debt,56.33,92.37,157.47,151.3,118.62,118.38,138.69,138.46,139.35,128.45,127.85
"Federal Home Loan Bank Debt, Long-Term",798.63,727.55,652.85,823.67,334.06,389.43,351.07,314.99,242.99,131.86,144.21
Long-Term Leases,-,17.69,22.34,-,19.62,20.06,21.42,-,-,-,-
Other Long-Term Liabilities,283.29,210.63,187.69,145.12,109.4,45.35,40.68,32.66,44.02,47.67,41.14
Total Liabilities,"16,399","16,007","16,158","15,967","13,541","12,192","10,671","8,476","8,064","6,310","5,910"
"Preferred Stock, Non-Redeemable",25.13,25.13,25.13,25.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Total Preferred Equity,25.13,25.13,25.13,25.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Common Stock,7.15,7.25,7.43,7.4,6.68,6.74,6.92,6.17,6.15,5.11,5.08
Additional Paid-In Capital,"1,158","1,189","1,237","1,229",985.82,"1,005","1,055",840.05,834.87,509.02,504.53
Retained Earnings,"1,378","1,273","1,155","1,013",864.84,788.58,696.52,583.34,465.23,400.98,342.13
Comprehensive Income & Other,-155.86,-188.69,-175.97,-239.15,55.11,74.84,27.87,-21.42,-2.91,-13.58,-1.36
Total Common Equity,"2,387","2,280","2,223","2,010","1,912","1,876","1,786","1,408","1,303",901.53,850.38
Shareholders' Equity,"2,412","2,305","2,248","2,035","1,913","1,876","1,786","1,408","1,303",901.66,850.51
Total Liabilities & Equity,"18,812","18,312","18,406","18,002","15,453","14,067","12,457","9,885","9,367","7,212","6,761"
Total Debt,"1,228","1,259","1,130","1,432",695.84,781.32,783.42,683.6,843.08,702.67,576.61
Net Cash (Debt),-920.21,-794.99,-502.01,"-1,090",-13.4,-121.79,-460.1,-495.3,-645.82,-543.98,-434.98
Net Cash Per Share,-15.89,-13.58,-8.44,-18.82,-0.25,-2.25,-8.92,-10.01,-14.22,-13.26,-11.42
Filing Date Shares Outstanding,57.83,58.54,59.34,59.64,53.82,54.35,55.16,49.7,49.54,41.25,40.67
Total Common Shares Outstanding,57.19,57.97,59.42,59.17,53.41,53.92,55.37,49.35,49.16,40.91,40.66
Book Value Per Share,41.74,39.33,37.40,33.96,35.81,34.78,32.26,28.53,26.51,22.04,20.91
Tangible Book Value,"1,660","1,548","1,483","1,262","1,342","1,303","1,207",938.35,826.84,642.67,590.62
Tangible Book Value Per Share,29.02,26.70,24.96,21.32,25.12,24.16,21.81,19.01,16.82,15.71,14.52
