Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,041","2,340","2,219","2,449","2,259","2,030","2,316","1,702","2,067","1,536",963
Market Cap Growth,-5.07%,5.46%,-9.37%,8.41%,11.27%,-12.37%,36.12%,-17.67%,34.53%,59.58%,17.31%
Last Close Price,35.30,38.83,34.72,36.87,36.46,31.71,34.07,27.34,32.91,28.97,19.17
PE Ratio,8.82,11.73,10.00,11.10,10.99,13.66,14.09,10.69,21.52,18.96,14.73
PS Ratio,3.13,3.83,3.43,4.01,4.34,4.68,5.26,4.17,6.09,5.37,3.76
PB Ratio,0.85,1.01,0.99,1.20,1.18,1.08,1.30,1.21,1.59,1.70,1.13
P/OCF Ratio,7.55,8.79,8.57,8.61,10.49,9.96,13.11,9.44,16.34,14.81,16.99
Debt / Equity Ratio,0.51,0.55,0.50,0.70,0.36,0.42,0.44,0.49,0.65,0.78,0.68
Return on Equity (ROE),9.90%,8.85%,10.45%,11.25%,10.85%,8.12%,10.30%,11.74%,8.71%,9.25%,8.29%
Return on Assets (ROA),1.26%,1.10%,1.23%,1.33%,1.39%,1.12%,1.47%,1.65%,1.16%,1.16%,1.04%
Earnings Yield,11.34%,8.61%,10.08%,9.07%,9.10%,7.32%,7.10%,9.35%,4.65%,5.27%,6.79%
Dividend Yield,4.07%,3.58%,3.86%,3.39%,3.10%,3.28%,2.94%,3.07%,2.10%,1.86%,2.14%
Payout Ratio,35.73%,41.46%,36.61%,33.39%,29.79%,38.05%,31.18%,26.18%,33.12%,27.39%,23.94%
Buyback Yield / Dilution,1.59%,1.61%,-2.65%,-7.35%,0.44%,-5.16%,-4.23%,-8.96%,-10.70%,-7.68%,-4.20%
Total Shareholder Return,5.67%,5.19%,1.21%,-3.96%,3.54%,-1.88%,-1.29%,-5.89%,-8.61%,-5.82%,-2.06%
