Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,047","3,773","7,540","6,843","12,196","11,444","12,586","8,281","15,120","13,329","8,521"
Market Cap Growth,-56.41%,-49.96%,10.19%,-43.89%,6.58%,-9.08%,51.99%,-45.23%,13.44%,56.42%,13.02%
Enterprise Value,"4,178","5,812","9,387","8,599","14,135","12,505","13,938","9,790","16,385","14,599","9,443"
Last Close Price,10.39,18.36,33.55,29.56,51.06,47.57,50.93,33.26,58.35,50.89,53.36
PE Ratio,-,-,-,-,29.67,-,49.17,-,-,31.00,33.92
Forward PE,6.61,10.23,18.23,19.08,18.22,22.91,21.35,17.92,22.79,19.72,22.11
PS Ratio,0.57,1.00,1.90,1.75,2.88,3.43,3.13,2.08,3.79,3.56,3.19
PB Ratio,1.40,1.94,2.29,1.80,2.44,2.32,2.47,1.61,2.28,1.64,3.64
P/FCF Ratio,25.59,13.43,33.07,18.60,23.68,20.36,24.39,26.12,33.04,30.40,20.03
P/OCF Ratio,9.26,8.18,20.00,13.24,18.56,17.63,19.70,16.56,25.12,23.66,17.13
PEG Ratio,-,1.85,2.29,-,0.82,3.73,1.48,1.53,2.69,1.90,2.75
EV/Sales Ratio,1.15,1.53,2.37,2.19,3.34,3.75,3.47,2.46,4.10,3.90,3.53
EV/EBITDA Ratio,6.84,10.18,14.85,12.55,14.54,21.27,17.69,14.68,19.96,18.95,16.30
EV/EBIT Ratio,15.83,26.18,32.48,24.09,22.58,46.66,29.78,29.14,32.47,29.27,20.69
EV/FCF Ratio,52.23,20.68,41.17,23.37,27.45,22.25,27.01,30.88,35.81,33.30,22.20
Debt / Equity Ratio,1.69,1.18,0.70,0.57,0.46,0.50,0.32,0.32,0.25,0.19,0.49
Debt / EBITDA Ratio,3.59,3.51,3.25,2.84,2.19,3.75,1.89,2.49,2.00,1.99,1.99
Debt / FCF Ratio,31.18,8.18,10.17,5.90,4.47,4.37,3.12,5.23,3.59,3.50,2.71
Asset Turnover,0.59,0.58,0.53,0.47,0.46,0.37,0.47,0.42,0.36,0.47,0.59
Inventory Turnover,2.72,3.07,3.00,3.14,3.81,3.16,3.16,3.11,3.17,4.07,3.16
Quick Ratio,0.72,0.57,0.79,0.92,0.93,0.86,1.23,1.03,1.21,1.38,1.47
Current Ratio,1.48,1.10,1.39,1.62,1.47,1.31,2.01,1.86,2.10,2.27,2.51
Return on Equity (ROE),-44.41%,-34.75%,-3.72%,-21.57%,8.28%,-1.46%,5.01%,-17.19%,-21.02%,8.24%,10.77%
Return on Assets (ROA),2.69%,2.11%,2.41%,2.64%,4.21%,1.87%,3.38%,2.20%,2.88%,3.91%,6.30%
Return on Capital (ROIC),3.75%,2.82%,3.12%,3.36%,5.33%,2.38%,4.33%,2.79%,3.52%,4.74%,8.06%
Return on Capital Employed (ROCE),6.20%,5.30%,4.90%,5.50%,7.80%,3.40%,6.20%,4.40%,5.40%,4.60%,11.60%
Earnings Yield,-43.08%,-24.12%,-1.75%,-13.88%,3.37%,-0.64%,2.03%,-12.21%,-10.25%,3.23%,2.95%
FCF Yield,3.91%,7.45%,3.02%,5.38%,4.22%,4.91%,4.10%,3.83%,3.03%,3.29%,4.99%
Dividend Yield,6.24%,3.49%,1.67%,1.69%,0.84%,0.84%,0.75%,1.05%,0.60%,0.61%,0.54%
Payout Ratio,-,-,-,-,22.38%,-,31.64%,-,-,15.03%,15.92%
Buyback Yield / Dilution,3.33%,4.15%,1.62%,2.13%,-0.46%,2.32%,-0.04%,2.22%,-3.52%,-55.51%,1.18%
Total Shareholder Return,9.56%,7.64%,3.29%,3.83%,0.39%,3.16%,0.70%,3.28%,-2.92%,-54.90%,1.72%
