Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"3,624","3,793","3,965","3,922","4,231","3,339","4,022","3,986","3,993","3,745","2,674"
Revenue Growth (YoY),-7.08%,-4.34%,1.10%,-7.30%,26.71%,-16.98%,0.90%,-0.18%,6.62%,40.05%,-8.50%
Cost of Revenue,"1,772","1,825","1,875","1,795","1,887","1,639","1,833","1,897","1,805","1,744","1,150"
Gross Profit,"1,852","1,968","2,090","2,127","2,344","1,700","2,189","2,089","2,189","2,001","1,525"
"Selling, General & Admin","1,436","1,581","1,617","1,596","1,547","1,309","1,578","1,550","1,532","1,374",993.3
Research & Development,152,165,184,174,171,123,143,161,151.7,128.5,74.9
Other Operating Expenses,-,-,-,-,-,-,-,41,-,-,-
Operating Expenses,"1,588","1,746","1,801","1,770","1,718","1,432","1,721","1,753","1,684","1,502","1,068"
Operating Income,264,222,289,357,626,268,468,336,504.6,498.8,456.4
Interest Expense,-97,-89,-97,-76,-64,-46,-27,-37,-38.3,-35.9,-55.9
Interest & Investment Income,15,20,16,11,3,-,-,2,2.4,2,2.2
Earnings From Equity Investments,-,-,-4,-36,32,-1,-9,-,-,-,-1.6
Currency Exchange Gain (Loss),17,21,3,-6,9,13,27,-6,-1.7,10.3,4
Other Non Operating Income (Expenses),2,-1,-1,-4,-36,-4,-2,4,5.6,-0.1,-2.2
EBT Excluding Unusual Items,201,173,206,246,570,230,457,299,472.6,475.1,402.9
Merger & Restructuring Charges,-62,-95,-74,-14,-28,-,-128,-36,-55.4,-50.8,-77.9
Impairment of Goodwill,-678,-773,-291,"-1,187",-,-157,-,"-1,086","-1,651",-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,44,-,-,5.2
Gain (Loss) on Sale of Assets,-,-,-,-,3,-,9,-,-,-,1.2
Asset Writedown,-323,-241,-16,-100,-,-,-,-179,-346.7,-,-4.2
Legal Settlements,-,-,-,-,-,-,-,-,-23.1,16.6,0.9
Other Unusual Items,-,-,-,-,-,-123,-,-,-,-,-
Pretax Income,-862,-936,-175,"-1,055",545,-50,338,-958,"-1,604",440.9,328.1
Income Tax Expense,19,-26,-43,-105,134,23,82,53,-53.2,9.5,77
Earnings From Continuing Operations,-881,-910,-132,-950,411,-73,256,"-1,011","-1,550",431.4,251.1
Minority Interest in Earnings,-1,-,-,-,-,-,-,-,0.3,-1.5,0.1
Net Income,-882,-910,-132,-950,411,-73,256,"-1,011","-1,550",429.9,251.2
Net Income to Common,-882,-910,-132,-950,411,-73,256,"-1,011","-1,550",429.9,251.2
Net Income Growth,-,-,-,-,-,-,-,-,-,71.14%,-22.20%
Shares Outstanding (Basic),199,203,212,216,218,219,223,224,229,218,140
Shares Outstanding (Diluted),199,203,212,216,220,219,224,224,229,222,143
Shares Change (YoY),-3.33%,-4.15%,-1.62%,-2.13%,0.46%,-2.32%,0.04%,-2.22%,3.52%,55.51%,-1.18%
EPS (Basic),-4.43,-4.48,-0.62,-4.41,1.88,-0.33,1.15,-4.51,-6.76,1.97,1.79
EPS (Diluted),-4.43,-4.48,-0.62,-4.41,1.87,-0.33,1.14,-4.51,-6.76,1.94,1.76
EPS Growth,-,-,-,-,-,-,-,-,-,10.23%,-21.43%
Free Cash Flow,80,281,228,368,515,562,516,317,457.6,438.4,425.4
Free Cash Flow Per Share,0.40,1.38,1.07,1.71,2.34,2.56,2.30,1.41,2.00,1.98,2.98
Dividend Per Share,0.640,0.640,0.560,0.500,0.430,0.400,0.380,0.350,0.350,0.310,0.290
Dividend Growth,3.23%,14.29%,12.00%,16.28%,7.50%,5.26%,8.57%,-,12.90%,6.90%,9.43%
Gross Margin,51.10%,51.89%,52.71%,54.23%,55.40%,50.91%,54.43%,52.41%,54.80%,53.42%,57.01%
Operating Margin,7.29%,5.85%,7.29%,9.10%,14.80%,8.03%,11.64%,8.43%,12.64%,13.32%,17.07%
Profit Margin,-24.34%,-23.99%,-3.33%,-24.22%,9.71%,-2.19%,6.37%,-25.36%,-38.81%,11.48%,9.39%
Free Cash Flow Margin,2.21%,7.41%,5.75%,9.38%,12.17%,16.83%,12.83%,7.95%,11.46%,11.71%,15.91%
EBITDA,611,571,632,685,972,588,788,667,821,770.5,579.3
EBITDA Margin,16.86%,15.05%,15.94%,17.46%,22.97%,17.61%,19.59%,16.73%,20.56%,20.57%,21.66%
D&A For EBITDA,347,349,343,328,346,320,320,331,316.4,271.7,122.9
EBIT,264,222,289,357,626,268,468,336,504.6,498.8,456.4
EBIT Margin,7.29%,5.85%,7.29%,9.10%,14.80%,8.03%,11.64%,8.43%,12.64%,13.32%,17.07%
Effective Tax Rate,-,-,-,-,24.59%,-,24.26%,-,-,2.15%,23.47%
