Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,363,272,334,365,339,438,405,309.6,320.6,383.9,284.6
Short-Term Investments,-,30,33,24,22,33,40,28.2,91.6,39.4,14.8
Trading Asset Securities,-,-,-,-,5,-,-,-,-,-,0.1
Cash & Short-Term Investments,363,302,367,389,366,471,445,337.8,412.2,423.3,299.5
Cash Growth,22.63%,-17.71%,-5.66%,6.28%,-22.29%,5.84%,31.74%,-18.05%,-2.62%,41.34%,32.58%
Accounts Receivable,654,556,695,632,750,667,782,701.9,746.2,636,399.9
Other Receivables,-,50,61,53,53,39,-,-,-,-,-
Receivables,654,606,756,685,803,706,782,701.9,746.2,636,399.9
Inventory,686,564,624,627,515,476,562,598.9,623.1,517.1,340.4
Prepaid Expenses,324,121,113,104,89,78,81,104.8,100.3,69.5,24.1
Other Current Assets,45,153,113,88,79,67,130,144.6,120.7,97.6,62.4
Total Current Assets,"2,072","1,746","1,973","1,893","1,852","1,798","2,000","1,888","2,003","1,744","1,197"
"Property, Plant & Equipment",972,902,978,961,971,967,961,870.6,876,799.8,558.8
Long-Term Investments,-,-,-,-,-,-,-,-,-,-,8.5
Goodwill,"1,270","1,597","2,438","2,688","3,976","3,986","3,397","3,431","4,539","5,952","1,988"
Other Intangible Assets,"1,065","1,207","1,705","1,903","2,319","2,504","2,176","2,420","2,801","2,958",600.7
Long-Term Deferred Tax Assets,-,222,213,101,14,8,12,18.6,43.8,61.7,16.9
Other Long-Term Assets,274,79,63,97,107,87,57,58.2,112.3,41.2,33.7
Total Assets,"5,653","5,753","7,370","7,643","9,239","9,350","8,603","8,687","10,375","11,556","4,403"
Accounts Payable,268,241,305,279,262,302,308,283.9,284.4,223,133.6
Accrued Expenses,586,544,518,534,593,519,496,480.4,476.7,396.9,249.2
Short-Term Debt,5,421,245,117,181,3,2,81.8,20.9,10.1,2.9
Current Portion of Long-Term Debt,378,128,77,-,-,296,-,10.8,9.5,11.2,10.2
Current Portion of Leases,-,46,56,55,51,48,44,-,-,-,-
Current Income Taxes Payable,47,45,49,46,57,59,56,58.1,54.2,60.8,20.2
Current Unearned Revenue,88,95,91,84,68,53,29,29.3,8.9,14.1,2.2
Other Current Liabilities,33,69,84,55,49,92,60,69,99.9,51.5,57.7
Total Current Liabilities,"1,405","1,589","1,425","1,170","1,261","1,372",995,"1,013",954.5,767.6,476
Long-Term Debt,"2,026","1,612","1,814","1,850","1,921","1,977","1,443","1,565","1,612","1,511","1,141"
Long-Term Leases,85,91,126,150,150,131,121,-,-,-,-
Long-Term Unearned Revenue,34,91,57,27,-,-,-,-,-,-,-
Pension & Post-Retirement Benefits,-,264,298,257,400,452,384,330.3,351.1,324.9,246.1
Long-Term Deferred Tax Liabilities,95,129,228,287,391,381,480,552.8,718,751.7,160.3
Other Long-Term Liabilities,530,34,128,90,119,102,85,92.7,111.3,74.3,39.9
Total Liabilities,"4,175","3,810","4,076","3,831","4,242","4,415","3,508","3,554","3,747","3,430","2,064"
Common Stock,3,3,3,3,3,3,3,2.6,2.6,2.6,1.6
Additional Paid-In Capital,"6,638","6,640","6,643","6,629","6,606","6,604","6,587","6,522","6,544","6,517",237.8
Retained Earnings,"-1,385",-835,205,456,"1,514","1,198","1,404","1,226","2,316","3,948","3,591"
Treasury Stock,"-3,106","-3,136","-2,922","-2,649","-2,535","-2,409","-2,301","-2,151","-1,955","-1,647",-898.4
Comprehensive Income & Other,-672,-730,-636,-628,-592,-464,-600,-478.7,-291,-705.7,-594
Total Common Equity,"1,478","1,942","3,293","3,811","4,996","4,932","5,093","5,121","6,616","8,114","2,338"
Minority Interest,-,1,1,1,1,3,2,11.9,11.6,11.6,1.4
Shareholders' Equity,"1,478","1,943","3,294","3,812","4,997","4,935","5,095","5,133","6,628","8,126","2,339"
Total Liabilities & Equity,"5,653","5,753","7,370","7,643","9,239","9,350","8,603","8,687","10,375","11,556","4,403"
Total Debt,"2,494","2,298","2,318","2,172","2,303","2,455","1,610","1,658","1,642","1,533","1,154"
Net Cash (Debt),"-2,131","-1,996","-1,951","-1,783","-1,937","-1,984","-1,165","-1,320","-1,230","-1,109",-854.8
Net Cash Per Share,-10.70,-9.82,-9.20,-8.27,-8.80,-9.05,-5.19,-5.88,-5.36,-5.01,-6.00
Filing Date Shares Outstanding,199.55,198.99,207.36,215.36,217.55,219.05,221.44,223.22,227.38,229.68,140.12
Total Common Shares Outstanding,199.5,198.8,207.2,215.2,217.4,218.7,221.3,223,226.8,230.1,140.1
Working Capital,667,157,548,723,591,426,"1,005",874.7,"1,048",975.9,720.7
Book Value Per Share,7.41,9.77,15.89,17.71,22.98,22.55,23.01,22.96,29.17,35.26,16.69
Tangible Book Value,-857,-862,-850,-780,"-1,299","-1,558",-480,-730.5,-723.6,-795.3,-250.3
Tangible Book Value Per Share,-4.30,-4.34,-4.10,-3.62,-5.98,-7.12,-2.17,-3.28,-3.19,-3.46,-1.79
Land,-,46,49,48,51,54,52,55,58.7,52.8,38.5
Buildings,-,571,568,546,561,595,554,560.3,554.7,500.4,400.4
Machinery,-,887,964,963,982,"1,075","1,327","1,354","1,368","1,219",846.7
Construction In Progress,-,87,138,116,134,120,102,107.6,91.6,82.9,57.1
