Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,228.83,531.87,350.32,430.24,763.4,790.73,686.01,437.83,673.17,551.39,369.77
Short-Term Investments,7.2,283.61,414.19,0.72,131.15,1.22,1.67,262.8,93.55,0.47,0.63
Cash & Short-Term Investments,236.03,815.48,764.5,430.96,894.55,791.95,687.68,700.63,766.71,551.86,370.4
Cash Growth,-36.88%,6.67%,77.39%,-51.82%,12.96%,15.16%,-1.85%,-8.62%,38.93%,48.99%,-15.98%
Receivables,610.46,417.54,423.08,547.56,487.8,452.95,488.23,449.38,364.86,333.68,371.95
Inventory,800.35,690.52,746.29,"1,029",645.38,556.53,605.97,521.83,457.93,488,473.64
Prepaid Expenses,92.6,60.42,70.61,106.54,76.91,51.6,79.87,65.89,56.23,27.32,26.68
Restricted Cash,-,-,-,-,-,-,-,13.97,-,-,-
Other Current Assets,6.9,24.63,10.2,23.33,9.4,2.6,14,13.62,3.77,11.17,6.72
Total Current Assets,"1,746","2,009","2,015","2,137","2,114","1,856","1,876","1,765","1,649","1,412","1,249"
"Property, Plant & Equipment",711.96,682.58,644.58,615.62,622.02,649.04,741.15,291.6,281.39,279.65,291.69
Long-Term Investments,34.64,30.49,26.6,20.48,21.83,18.72,13.96,-,-,-,-
Goodwill,5.69,26.69,26.69,51.69,68.59,68.59,68.59,68.59,68.59,68.59,68.59
Other Intangible Assets,71.22,79.22,79.91,81.56,101.91,103.56,123.6,126.58,129.56,133.44,138.58
Long-Term Deferred Tax Assets,112.63,104.2,105.57,94.16,92.12,96.13,78.85,78.16,56.8,92.49,76.18
Long-Term Deferred Charges,-,13.8,18.8,23.4,-,-,-,-,-,-,-
Other Long-Term Assets,30.07,29.7,22.17,27.69,46.63,44.92,29.69,38.5,27.06,27.7,21.72
Total Assets,"2,713","2,975","2,939","3,052","3,067","2,837","2,932","2,369","2,213","2,014","1,846"
Accounts Payable,244.37,385.7,235.93,322.47,283.35,206.7,255.37,274.44,252.3,215.05,217.23
Accrued Expenses,249.9,262.06,260.44,311.17,299.27,232.69,278.99,261.48,169.89,130.7,130.38
Short-Term Debt,-,-,-,-,-,-,-,-,-,-,1.94
Current Portion of Leases,82.69,75.86,71.09,68.69,67.43,65.47,64.02,-,-,-,-
Current Income Taxes Payable,5.13,31.66,17.56,18.8,13.13,23.18,15.8,22.76,19.11,5.65,5.04
Other Current Liabilities,10.59,11.27,11.62,17.59,17.22,24.59,16.73,14.2,12.34,11.46,11.49
Total Current Liabilities,592.68,766.55,596.63,738.72,680.39,552.62,630.92,572.88,453.64,362.85,366.07
Long-Term Debt,-,-,-,-,-,-,-,-,-,14.05,15.03
Long-Term Leases,397.62,373.33,336.77,310.63,317.67,353.18,371.51,-,-,-,-
Pension & Post-Retirement Benefits,-,30.5,26.6,20.5,21.8,18.7,14,9.5,-,-,-
Long-Term Deferred Tax Liabilities,0.34,0.31,0.07,0.14,-,5.21,6.36,9.52,0.17,0.15,0.23
Other Long-Term Liabilities,65.99,24.54,40.34,45.77,58.02,74.09,59.36,86.51,106.84,55.33,49.01
Total Liabilities,"1,057","1,195","1,000","1,116","1,078","1,004","1,082",678.41,560.64,432.38,430.34
Common Stock,-,-,-,12.69,-,20.17,4.94,-,45.83,53.8,34.78
Retained Earnings,"1,722","1,843","1,984","1,954","1,994","1,812","1,849","1,678","1,585","1,530","1,386"
Comprehensive Income & Other,-66.08,-63.22,-45.84,-30.64,-4.38,0.81,-4.43,-4.06,-8.89,-22.62,-20.84
Total Common Equity,"1,656","1,780","1,939","1,936","1,989","1,833","1,849","1,674","1,622","1,561","1,400"
Minority Interest,-,-,-,-,-,-,-,16.46,30.31,20.69,16.01
Shareholders' Equity,"1,656","1,780","1,939","1,936","1,989","1,833","1,849","1,690","1,652","1,582","1,416"
Total Liabilities & Equity,"2,713","2,975","2,939","3,052","3,067","2,837","2,932","2,369","2,213","2,014","1,846"
Total Debt,480.31,449.19,407.86,379.31,385.1,418.65,435.53,-,-,14.05,16.97
Net Cash (Debt),-244.28,366.29,356.65,51.65,509.45,373.3,252.15,700.63,766.71,537.81,353.43
Net Cash Growth,-,2.71%,590.47%,-89.86%,36.47%,48.05%,-64.01%,-8.62%,42.56%,52.17%,-16.86%
Net Cash Per Share,-4.40,6.26,5.81,0.82,7.67,5.59,3.68,9.95,10.88,7.61,4.97
Filing Date Shares Outstanding,53.89,55.34,59.8,62.18,64.51,66.39,67.4,68.2,70.02,69.49,69.31
Total Common Shares Outstanding,54.06,56.25,60,62.14,65.16,66.25,67.56,68.25,70,69.87,69.28
Working Capital,"1,154","1,242","1,418","1,398","1,434","1,303","1,245","1,192","1,196","1,049",883.32
Book Value Per Share,30.63,31.65,32.31,31.15,30.53,27.66,27.37,24.53,23.17,22.34,20.21
Tangible Book Value,"1,579","1,674","1,832","1,803","1,819","1,661","1,657","1,479","1,424","1,359","1,193"
Tangible Book Value Per Share,29.21,29.76,30.54,29.01,27.91,25.07,24.53,21.67,20.34,19.45,17.22
Land,-,32.86,33.03,32.96,33.11,33.23,26.95,20.96,21.07,20.86,20.83
Buildings,-,226.34,226.51,211.5,209.79,209.25,204.08,170.93,173.92,165.75,165.18
Machinery,-,533.28,512.74,490.85,482.28,485.33,480.18,415.98,405.65,380.67,361.74
Construction In Progress,-,15.42,10.2,17.61,12.69,3.38,10.77,41.32,14.63,13.48,5.16
Leasehold Improvements,-,184.8,176.73,162.21,155.87,152.85,147.76,131.76,121.95,107.57,102.06
