Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,757","4,800","4,813","5,440","6,355","5,786","6,765","5,803","5,023","4,069","3,429"
Market Cap Growth,-41.48%,-0.26%,-11.53%,-14.40%,9.84%,-14.48%,16.59%,15.53%,23.43%,18.67%,10.48%
Enterprise Value,"3,006","4,848","4,994","5,665","6,152","5,882","6,955","5,376","4,622","3,885","3,307"
Last Close Price,51.45,82.78,77.31,83.83,91.91,81.60,93.25,77.49,65.55,52.50,43.38
PE Ratio,15.20,21.50,19.14,17.47,17.95,53.56,20.47,21.63,47.78,21.21,19.67
Forward PE,17.89,20.37,17.88,16.81,19.10,26.83,20.51,21.63,24.12,20.40,19.08
PS Ratio,0.83,1.43,1.38,1.57,2.03,2.31,2.22,2.07,2.04,1.71,1.47
PB Ratio,1.68,2.70,2.48,2.81,3.20,3.16,3.66,3.43,3.04,2.57,2.42
P/TBV Ratio,1.75,2.87,2.63,3.02,3.49,3.48,4.08,3.92,3.53,3.00,2.88
P/FCF Ratio,16.29,11.13,8.27,-,19.88,23.39,41.78,25.91,17.45,18.07,136.14
P/OCF Ratio,11.79,9.78,7.56,-,17.93,20.96,23.70,20.04,14.72,14.79,36.06
PEG Ratio,-,3.33,1.70,1.50,0.64,0.40,1.79,1.93,2.48,1.77,1.30
EV/Sales Ratio,0.88,1.44,1.43,1.64,1.97,2.35,2.29,1.92,1.87,1.64,1.42
EV/EBITDA Ratio,9.62,14.84,12.70,11.72,10.86,17.84,13.45,12.98,14.14,12.11,10.65
EV/EBIT Ratio,11.71,17.91,14.90,13.21,13.64,32.13,17.59,15.23,17.58,14.90,13.02
EV/FCF Ratio,17.74,11.24,8.59,-,19.25,23.78,42.95,24.00,16.06,17.25,131.27
Debt / Equity Ratio,0.29,0.25,0.21,0.20,0.19,0.23,0.24,-,-,0.01,0.01
Debt / EBITDA Ratio,0.97,0.90,0.74,0.60,0.54,0.83,0.66,-,-,0.04,0.05
Debt / FCF Ratio,2.83,1.04,0.70,-,1.21,1.69,2.69,-,-,0.06,0.67
Asset Turnover,1.25,1.14,1.16,1.13,1.06,0.87,1.15,1.22,1.17,1.23,1.28
Inventory Turnover,2.13,2.34,1.98,2.10,2.52,2.20,2.71,2.89,2.76,2.63,2.92
Quick Ratio,1.43,1.61,1.99,1.33,2.03,2.25,1.86,2.01,2.49,2.44,2.03
Current Ratio,2.95,2.62,3.38,2.89,3.11,3.36,2.97,3.08,3.64,3.89,3.41
Return on Equity (ROE),10.84%,12.01%,12.98%,15.87%,18.53%,5.87%,18.67%,16.45%,6.95%,13.24%,12.98%
Return on Assets (ROA),5.86%,5.72%,7.00%,8.76%,9.55%,3.97%,9.32%,9.63%,7.78%,8.45%,8.72%
Return on Capital (ROIC),7.38%,7.40%,8.99%,11.43%,12.19%,5.04%,12.43%,13.20%,10.12%,10.77%,11.32%
Return on Capital Employed (ROCE),12.10%,12.30%,14.30%,18.50%,18.90%,8.00%,17.20%,19.70%,14.90%,15.80%,17.20%
Earnings Yield,6.76%,4.65%,5.22%,5.73%,5.57%,1.87%,4.88%,4.62%,2.09%,4.72%,5.08%
FCF Yield,6.14%,8.98%,12.09%,-1.54%,5.03%,4.28%,2.39%,3.86%,5.73%,5.53%,0.73%
Dividend Yield,2.35%,1.45%,1.55%,1.43%,1.13%,0.32%,1.03%,1.16%,1.11%,1.31%,1.43%
Payout Ratio,35.64%,31.23%,29.21%,24.11%,19.38%,15.92%,19.71%,23.36%,48.43%,25.08%,24.98%
Buyback Yield / Dilution,6.43%,4.76%,2.46%,5.19%,0.53%,2.51%,2.71%,0.07%,0.25%,0.61%,-0.54%
Total Shareholder Return,8.76%,6.21%,4.01%,6.62%,1.67%,2.83%,3.74%,1.23%,1.37%,1.92%,0.89%
