Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,516","8,013","6,499","7,355","9,882","7,125","8,850","7,830","10,153","8,768","5,577"
Market Cap Growth,-3.08%,23.30%,-11.64%,-25.57%,38.70%,-19.50%,13.04%,-22.88%,15.79%,57.21%,-3.60%
Last Close Price,50.91,52.92,41.28,44.05,55.08,36.94,42.54,32.48,39.73,33.31,20.91
PE Ratio,9.11,10.99,10.12,8.45,9.08,14.22,11.41,9.29,18.63,21.54,22.76
PS Ratio,2.34,2.62,2.18,2.43,3.10,3.00,3.17,2.77,3.93,3.83,2.75
PB Ratio,1.11,1.31,1.14,1.50,1.32,0.90,1.20,1.03,1.32,1.15,0.74
P/FCF Ratio,7.82,7.62,8.42,5.75,23.36,13.00,15.26,7.48,13.38,21.92,18.17
P/OCF Ratio,7.01,6.98,7.34,5.00,15.71,9.91,12.70,6.66,10.94,14.71,12.02
Debt / Equity Ratio,0.84,0.88,0.96,2.40,0.29,0.40,0.55,0.85,0.70,0.19,0.16
Debt / FCF Ratio,5.98,5.11,7.06,9.15,5.17,5.81,6.97,6.13,7.11,3.55,4.01
Return on Equity (ROE),12.86%,13.27%,12.85%,14.68%,14.71%,7.07%,10.93%,11.59%,7.73%,6.19%,4.15%
Return on Assets (ROA),0.97%,0.89%,0.77%,0.99%,1.29%,0.72%,1.18%,1.31%,0.91%,0.76%,0.53%
Earnings Yield,10.95%,9.78%,10.46%,12.33%,11.43%,7.56%,9.22%,11.29%,5.83%,5.35%,5.54%
FCF Yield,12.79%,13.12%,11.88%,17.40%,4.28%,7.69%,6.55%,13.37%,7.48%,4.56%,5.50%
Dividend Yield,3.54%,3.14%,3.97%,3.59%,2.61%,3.68%,3.01%,3.20%,1.11%,0.84%,1.05%
Payout Ratio,31.49%,36.86%,41.47%,29.66%,23.12%,48.05%,31.86%,26.70%,21.79%,23.03%,34.95%
Buyback Yield / Dilution,0.08%,0.37%,1.67%,6.22%,3.25%,11.20%,9.68%,1.50%,-2.64%,-0.28%,-5.66%
Total Shareholder Return,3.62%,3.50%,5.65%,9.80%,5.86%,14.88%,12.69%,4.71%,-1.53%,0.56%,-4.61%
