Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,779","2,104","1,653","3,083","2,728","6,308","1,189","2,075","1,062","1,305","1,418"
Investment Securities,"6,138","6,230","5,197","5,615","14,607","5,924","5,717","6,317","7,231","7,944","10,531"
Trading Asset Securities,487,481,468,851,591,684,335,151,186,179,126.31
Mortgage-Backed Securities,"14,814","15,653","17,226","18,988","20,387","11,693","9,559","10,014","9,666","7,883","3,936"
Total Investments,"21,439","22,364","22,891","25,454","35,585","18,301","15,611","16,482","17,083","16,006","14,594"
Gross Loans,"60,302","59,410","57,779","55,653","50,896","53,578","48,709","46,714","44,780","42,726","40,731"
Allowance for Loan Losses,-679,-696,-684,-575,-513,-777,-495,-495,-518,-567,-606.05
Other Adjustments to Gross Loans,-,-,-,-,-45,-102,-,-,-,-77,-81
Net Loans,"59,623","58,714","57,095","55,078","50,338","52,699","48,214","46,219","44,262","42,082","40,043"
"Property, Plant & Equipment","1,563","1,554","1,572","1,581","1,514","1,422","1,360","1,124","1,094","1,020",905.46
Goodwill,-,"1,027","1,027","1,027","1,014","1,014","1,014","1,014","1,014","1,014","1,014"
Other Intangible Assets,"1,094",25,32,38,1,2,-,1,2,8,16.27
Loans Held for Sale,215,74,53,8,83,81,129,93,44,172,149.88
Accrued Interest Receivable,335,341,364,322,226,254,222,-,-,-,-
Long-Term Deferred Tax Assets,756,904,999,"1,128",96,-,37,130,93,250,203.04
Other Real Estate Owned & Foreclosed,5,1,6,3,8,4,8,4,4,4,7.09
Other Long-Term Assets,"1,579","1,543","1,432","1,529","1,596","1,383","1,338","1,414","1,476","1,348","1,245"
Total Assets,"88,533","88,775","87,203","89,545","93,200","81,479","69,172","68,746","66,288","63,239","59,665"
Interest Bearing Deposits,"48,745","48,634","48,717","35,875","41,173","36,612","32,624","29,773","26,835","29,121","27,401"
Institutional Deposits,-,"2,885",-,-,563,547,885,683,"1,900",-,696
Non-Interest Bearing Deposits,"26,133","24,704","26,244","35,777","41,053","32,494","23,576","23,645","23,886","24,115","22,277"
Total Deposits,"74,878","76,223","74,961","71,652","82,789","69,653","57,085","54,101","52,621","53,236","50,374"
Short-Term Borrowings,"4,014","4,182","4,712","10,868",954,"1,610","2,072","5,692","5,016",886,419.56
Current Portion of Leases,11,40,-,-,-,-,-,-,-,-,-
Long-Term Debt,"1,470",946,538,647,"1,008","1,332","1,719",724,382,534,646.5
Long-Term Leases,248,204,202,202,226,244,250,-,1,1,0.91
Trust Preferred Securities,-,-,-,-,-,-,-,-,-,-,164.95
Pension & Post-Retirement Benefits,-,9,9,10,12,9,9,10,11,15,26.84
Other Long-Term Liabilities,"1,047","1,047","1,090","1,273",748,745,684,641,578,933,524.17
Total Liabilities,"81,668","82,651","81,512","84,652","85,737","73,593","61,819","61,168","58,609","55,605","52,157"
"Preferred Stock, Redeemable",66,66,440,440,440,566,566,566,566,710,828.49
Common Stock,-,-,-,-,-,-,-,-,"4,445","4,725","4,767"
Additional Paid-In Capital,"1,721","1,737","1,731","1,754","1,928","2,686","2,735","3,806",-,-,-
Retained Earnings,"7,134","6,701","6,212","5,811","5,175","4,309","4,009","3,456","2,807","2,321","1,967"
Comprehensive Income & Other,"-2,056","-2,380","-2,692","-3,112",-80,325,43,-250,-139,-122,-54.61
Total Common Equity,"6,799","6,058","5,251","4,453","7,023","7,320","6,787","7,012","7,113","6,924","6,679"
Shareholders' Equity,"6,865","6,124","5,691","4,893","7,463","7,886","7,353","7,578","7,679","7,634","7,508"
Total Liabilities & Equity,"88,533","88,775","87,203","89,545","93,200","81,479","69,172","68,746","66,288","63,239","59,665"
Total Debt,"5,743","5,372","5,452","11,717","2,188","3,186","4,041","6,416","5,399","1,421","1,232"
Net Cash (Debt),"-1,082",63,"-1,843","-6,443","11,414","4,880","-1,774","-3,571","-3,369","1,474","6,421"
Net Cash Growth,-,-,-,-,133.89%,-,-,-,-,-77.04%,-21.13%
Net Cash Per Share,-7.35,0.43,-12.47,-42.88,71.23,29.47,-9.51,-17.29,-16.07,7.22,31.52
Filing Date Shares Outstanding,147.64,147.89,148.16,148.65,151.57,164.21,164.92,186.16,196.51,202.42,204.51
Total Common Shares Outstanding,147.64,147.87,148.15,148.66,151.63,164.09,165.06,187.55,197.53,203.09,204.42
Book Value Per Share,46.05,40.97,35.44,29.95,46.32,44.61,41.12,37.39,36.01,34.09,32.67
Tangible Book Value,"5,705","5,006","4,192","3,388","6,008","6,304","5,773","5,997","6,097","5,902","5,649"
Tangible Book Value Per Share,38.64,33.85,28.30,22.79,39.62,38.42,34.98,31.97,30.87,29.06,27.63
