Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"3,496","3,514","3,196","2,112","1,935","2,050","2,289","2,102","1,847","1,729","1,686"
Interest Income on Investments,709,779,751,593,332,318,394,379,345,225,147
Total Interest Income,"4,205","4,293","3,947","2,705","2,267","2,368","2,683","2,481","2,192","1,954","1,833"
Interest Paid on Deposits,"1,322","1,540","1,063",70,30,105,254,135,59,49,49
Interest Paid on Borrowings,312,323,446,115,29,47,157,116,68,38,69
Total Interest Expense,"1,634","1,863","1,509",185,59,152,411,251,127,87,118
Net Interest Income,"2,571","2,430","2,438","2,520","2,208","2,216","2,272","2,230","2,065","1,867","1,715"
Net Interest Income Growth (YoY),7.75%,-0.33%,-3.25%,14.13%,-0.36%,-2.46%,1.88%,7.99%,10.61%,8.86%,2.08%
Trust Income,57,58,58,55,50,44,40,55,47,37,31
Gain (Loss) on Sale of Investments,39,19,4,-15,71,7,3,1,14,7,-127
Other Non-Interest Income,647,623,615,592,582,523,519,496,483,266,254
Total Non-Interest Income,743,700,677,632,703,574,562,552,544,516,357
Non-Interest Income Growth (YoY),13.44%,3.40%,7.12%,-10.10%,22.47%,2.14%,1.81%,1.47%,5.43%,44.54%,-27.54%
Revenues Before Loan Losses,"3,314","3,130","3,115","3,152","2,911","2,790","2,834","2,782","2,609","2,383","2,072"
Provision for Loan Losses,107,72,132,122,-276,414,39,-40,24,93,40
Revenue,"3,207","3,058","2,983","3,030","3,187","2,376","2,795","2,822","2,585","2,290","2,032"
Revenue Growth (YoY),6.54%,2.51%,-1.55%,-4.93%,34.13%,-14.99%,-0.96%,9.17%,12.88%,12.70%,-10.52%
Salaries and Employee Benefits,"1,302","1,254","1,242","1,205","1,099","1,061","1,114","1,041",981,952,948
Occupancy Expenses,125,121,117,106,106,102,133,132,129,125,120
Federal Deposit Insurance,91,91,169,50,34,33,25,50,53,40,34
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,-,-,-,-,9
"Selling, General & Administrative",446,442,424,381,389,385,228,230,234,229,223
Other Non-Interest Expense,153,139,145,135,118,94,245,222,241,241,248
Total Non-Interest Expense,"2,117","2,046","2,097","1,878","1,746","1,676","1,742","1,676","1,637","1,585","1,581"
EBT Excluding Unusual Items,"1,090","1,012",886,"1,152","1,441",700,"1,053","1,146",948,705,451
Other Unusual Items,16,-,-,-,5,-28,-,-,-12,-,-
Pretax Income,"1,106","1,012",886,"1,152","1,446",672,"1,053","1,143",936,705,451
Income Tax Expense,254,228,206,245,317,133,237,259,344,236,142
Net Income,852,784,680,907,"1,129",539,816,884,592,469,309
Preferred Dividends & Other Adjustments,29,55,38,37,41,38,40,41,47,62,64
Net Income to Common,823,729,642,870,"1,088",501,776,843,545,407,245
Net Income Growth,22.77%,15.29%,-25.03%,-19.66%,109.46%,-33.95%,-7.69%,49.32%,26.23%,51.78%,-22.45%
Basic Shares Outstanding,147,147,148,150,160,164,176,194,201,204,203
Diluted Shares Outstanding,147,147,148,150,160,166,187,207,210,204,204
Shares Change (YoY),-0.08%,-0.37%,-1.67%,-6.22%,-3.25%,-11.20%,-9.68%,-1.50%,2.64%,0.28%,5.66%
EPS (Basic),5.59,4.95,4.35,5.80,6.80,3.06,4.41,4.35,2.71,2.00,1.21
EPS (Diluted),5.59,4.95,4.35,5.79,6.79,3.02,4.16,4.08,2.60,1.99,1.20
EPS Growth,27.47%,13.92%,-24.95%,-14.73%,124.83%,-27.40%,1.96%,56.92%,30.65%,65.83%,-28.57%
Dividend Per Share,1.740,1.660,1.640,1.580,1.440,1.360,1.280,1.040,0.440,0.280,0.220
Dividend Growth,6.10%,1.22%,3.80%,9.72%,5.88%,6.25%,23.08%,136.36%,57.14%,27.27%,37.50%
Effective Tax Rate,22.97%,22.53%,23.25%,21.27%,21.92%,19.79%,22.51%,22.66%,36.75%,33.48%,31.49%
