Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '07Dec 31, 2007","Dec '06Dec 31, 2006","Dec '05Dec 31, 2005"
Market Capitalization,"3,165","8,320","4,137","2,177","2,361","5,092",-,-,-,-,-
Market Cap Growth,-50.97%,101.11%,90.04%,-7.80%,-53.63%,-,-,-,-,-,-
Enterprise Value,"3,204","8,386","4,149","2,174","2,344","4,823",-,-,-,-,-
Last Close Price,19.95,53.35,26.94,14.51,15.87,34.85,-,-,-,-,-
Forward PE,27.95,82.22,55.49,43.85,59.51,151.59,-,-,-,-,-
PS Ratio,4.31,12.48,7.23,4.43,5.55,13.59,-,-,-,-,-
PB Ratio,12.03,46.39,16.35,9.48,10.26,22.20,-,-,-,-,-
P/TBV Ratio,-,-,-,-,-,36.89,-,-,-,-,-
P/FCF Ratio,41.22,84.00,165.03,118.86,40.31,131.95,-,-,-,-,-
P/OCF Ratio,19.26,50.48,55.66,34.10,26.15,85.51,-,-,-,-,-
PEG Ratio,1.56,7.67,3.20,10.69,-,-,-,-,-,-,-
EV/Sales Ratio,4.38,12.58,7.25,4.42,5.51,12.87,-,-,-,-,-
EV/EBITDA Ratio,275.28,322.31,2163.03,295.08,221.81,-,-,-,-,-,-
EV/EBIT Ratio,640.39,445.03,-,-,2048.61,-,-,-,-,-,-
EV/FCF Ratio,41.72,84.67,165.48,118.72,40.01,124.99,-,-,-,-,-
Debt / Equity Ratio,1.33,1.96,0.27,0.32,0.12,0.01,-0.40,-0.43,-,-,-
Debt / EBITDA Ratio,23.32,11.85,11.28,6.63,1.86,-,1.29,1.47,-,-,-
Debt / FCF Ratio,4.57,3.55,2.67,4.01,0.49,0.03,0.71,0.92,-,-,-
Asset Turnover,0.61,0.69,0.77,0.71,0.69,0.91,1.34,-,-,-,-
Quick Ratio,0.86,0.87,0.50,0.51,0.41,1.30,0.44,0.50,0.55,0.48,0.42
Current Ratio,1.01,1.00,0.61,0.60,0.53,1.38,0.50,0.55,0.58,0.54,0.49
Return on Equity (ROE),-20.47%,-24.39%,-5.42%,-5.35%,-0.64%,-150.82%,-,-,-,-,-
Return on Assets (ROA),0.26%,1.22%,-0.63%,-0.38%,0.12%,-15.88%,8.32%,-,-,-,-
Return on Capital (ROIC),0.51%,2.77%,-1.49%,-0.93%,0.29%,-85.93%,-,-,-,-,-
Return on Capital Employed (ROCE),0.70%,3.00%,-,-,0.40%,-,-,-,-,-,-
Earnings Yield,-1.69%,-0.63%,-0.32%,-0.56%,-0.06%,-1.47%,-,-,-,-,-
FCF Yield,2.43%,1.19%,0.61%,0.84%,2.48%,0.76%,-,-,-,-,-
Payout Ratio,-,-,-,-,-,-,91.98%,-,-,-,-
Buyback Yield / Dilution,0.78%,-2.27%,-1.48%,-1.26%,-12.37%,-9.11%,0.08%,-,-,-,-
