Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Revenue,"2,126","2,009","1,930","1,734","1,345","1,093",991.33,973.71,903.22,859.6,802.96
Revenue Growth (YoY),7.94%,4.12%,11.31%,28.88%,23.11%,10.23%,1.81%,7.80%,5.07%,7.05%,6.85%
Cost of Revenue,"1,236","1,203","1,244","1,169",882.33,709.63,651.5,600.42,544.57,521.53,494.91
Gross Profit,890.36,806.36,685.42,564.45,462.92,383.12,339.83,373.28,358.65,338.07,308.05
"Selling, General & Admin",497.63,481.35,458.83,366.8,246.85,229.04,213,182.04,151.01,141.67,137.89
Research & Development,32.1,32.1,32.3,24.8,23.1,20.7,21,20.1,20,18.9,16.8
Amortization of Goodwill & Intangibles,-,-,-,-,6.34,-,-,-,-,-,-
Other Operating Expenses,-,-,-,-,-,-,-,-,11.4,8.9,7.2
Operating Expenses,529.73,513.45,491.13,391.6,276.29,249.74,234,202.14,182.41,169.47,161.89
Operating Income,360.63,292.91,194.29,172.85,186.62,133.37,105.83,171.14,176.24,168.6,146.16
Interest Expense,-30.91,-39.73,-48.06,-15.58,-2.16,-0.6,-0.23,-,-,-,-
Other Non Operating Income (Expenses),0.08,3.07,1.8,0.74,0.38,0.46,0.21,-0.01,0.35,-0.24,-0.22
EBT Excluding Unusual Items,329.8,256.25,148.03,158,184.84,133.24,105.81,171.14,176.59,168.36,145.94
Gain (Loss) on Sale of Investments,-,-,-,-,-,2.5,-,-,-,-,-
Other Unusual Items,-,-,20.47,-1.8,-15.07,-,-,-,-,-,-
Pretax Income,329.8,256.25,168.5,156.2,169.77,135.74,105.81,171.14,176.59,168.36,145.94
Income Tax Expense,82.65,66.25,39.24,34.65,38.23,28.87,22.05,37.53,69.99,62.31,53.61
Net Income,247.15,190,129.26,121.55,131.53,106.87,83.76,133.6,106.6,106.05,92.33
Net Income to Common,247.15,190,129.26,121.55,131.53,106.87,83.76,133.6,106.6,106.05,92.33
Net Income Growth,33.04%,46.99%,6.34%,-7.59%,23.08%,27.59%,-37.30%,25.33%,0.52%,14.86%,2.60%
Shares Outstanding (Basic),31,31,31,31,32,32,33,33,34,35,35
Shares Outstanding (Diluted),31,31,32,32,32,32,33,33,34,35,36
Shares Change (YoY),-1.23%,-1.83%,-0.03%,-1.31%,-1.27%,-0.96%,-1.56%,-2.48%,-1.58%,-2.65%,-1.80%
EPS (Basic),8.09,6.17,4.11,3.87,4.13,3.31,2.57,4.04,3.14,3.07,2.60
EPS (Diluted),8.03,6.14,4.10,3.85,4.12,3.30,2.56,4.02,3.13,3.07,2.60
EPS Growth,34.49%,49.76%,6.49%,-6.55%,24.85%,28.91%,-36.32%,28.43%,1.95%,18.08%,4.42%
Free Cash Flow,105.42,191.63,164.79,3.81,80.5,136.52,65.75,52.01,69.79,101.48,70.37
Free Cash Flow Per Share,3.43,6.19,5.23,0.12,2.52,4.22,2.01,1.57,2.05,2.93,1.98
Gross Margin,41.88%,40.13%,35.52%,32.56%,34.41%,35.06%,34.28%,38.34%,39.71%,39.33%,38.36%
Operating Margin,16.96%,14.58%,10.07%,9.97%,13.87%,12.21%,10.67%,17.58%,19.51%,19.61%,18.20%
Profit Margin,11.62%,9.46%,6.70%,7.01%,9.78%,9.78%,8.45%,13.72%,11.80%,12.34%,11.50%
Free Cash Flow Margin,4.96%,9.54%,8.54%,0.22%,5.98%,12.49%,6.63%,5.34%,7.73%,11.80%,8.76%
EBITDA,416.11,349.61,249.02,217.53,221.82,165.68,131.74,199.53,198.46,187.51,162.34
EBITDA Margin,19.57%,17.40%,12.90%,12.55%,16.49%,15.16%,13.29%,20.49%,21.97%,21.81%,20.22%
D&A For EBITDA,55.48,56.7,54.73,44.68,35.19,32.31,25.92,28.39,22.22,18.91,16.19
EBIT,360.63,292.91,194.29,172.85,186.62,133.37,105.83,171.14,176.24,168.6,146.16
EBIT Margin,16.96%,14.58%,10.07%,9.97%,13.87%,12.21%,10.67%,17.58%,19.51%,19.61%,18.20%
Effective Tax Rate,25.06%,25.85%,23.29%,22.18%,22.52%,21.27%,20.84%,21.93%,39.63%,37.01%,36.73%
