Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,178.83,304.19,291.36,469.52,231.94,190.3,59.92,34.89,87.71,29.48,61.36
Short-Term Investments,-,-,20.72,-,90,100,111.69,122.8,50,44.77,-
Cash & Short-Term Investments,178.83,304.19,312.09,469.52,321.94,290.3,171.61,157.69,137.71,74.25,61.36
Cash Growth,-27.52%,-2.53%,-33.53%,45.84%,10.90%,69.16%,8.83%,14.51%,85.47%,21.00%,-
Receivables,39.61,44.25,39.96,46.82,189.32,18.24,22.12,13.61,12.58,6.65,5.73
Inventory,-,0.34,0.33,5.28,19.66,-,-,-,-,-,-
Prepaid Expenses,36.08,27.87,25.15,21.97,16.43,12.39,15.42,10.14,5.31,2.79,0.93
Restricted Cash,0.02,2.04,2.56,5.24,6.71,0.25,0.25,0.75,-,-,0.5
Other Current Assets,14.84,12.52,11.1,8.54,9.05,10.81,9.54,12.66,1.61,1.82,0.62
Total Current Assets,269.39,391.21,391.19,557.37,563.11,331.98,218.95,194.86,157.2,85.51,69.14
"Property, Plant & Equipment",249.6,251.49,253.05,97,92.82,88.32,87.94,24.27,16.56,12.78,7.15
Goodwill,28.41,46.17,157.9,157.47,158.29,29.13,15.21,-,-,-,-
Other Intangible Assets,3.49,11.77,23.06,53.05,83.92,10.86,3.92,-,-,-,-
Long-Term Deferred Tax Assets,92.71,106.67,73.36,35.49,13.38,19.77,42.71,38.89,0.83,-,0.49
Long-Term Deferred Charges,13.87,14.61,14.93,11.3,5.87,9.19,10.51,7.25,-,-,-
Other Long-Term Assets,3.01,2.62,5.45,15.44,14.2,13.05,14.38,3.03,2,2.04,1
Total Assets,660.47,824.54,918.93,927.1,931.57,502.3,393.62,268.29,176.59,100.33,77.78
Accounts Payable,30.35,26.41,47.85,32.53,66.15,21.56,36.73,34.35,23.91,16.43,10.48
Accrued Expenses,30.55,35.98,33.72,39.19,50.51,24.52,18.26,18.65,13.59,8.38,3.93
Current Portion of Leases,9.32,9.01,12.28,14.76,13.19,11.09,8.78,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,0.23,-,-,-,-,-
Current Unearned Revenue,23.64,21.66,21.32,12.25,12.78,9.14,9.98,8.81,4.31,3.33,1.47
Other Current Liabilities,-,-,-,-,28.08,-,-,1.69,1.17,0.91,0.51
Total Current Liabilities,93.86,93.05,115.18,98.73,170.71,66.54,73.76,63.5,42.97,29.05,16.39
Long-Term Leases,183.94,183.74,182.11,51.66,57.52,58.81,60.82,-,-,-,-
Long-Term Deferred Tax Liabilities,0.03,0.03,0.06,0.05,0.06,0.29,0.28,-,-,0.29,-
Other Long-Term Liabilities,7.2,6.03,4.73,5.3,23.64,3.08,1.91,10.68,6.6,6.26,4.14
Total Liabilities,285.02,282.85,302.08,155.74,251.93,128.71,136.77,74.18,49.57,35.61,20.53
Common Stock,0.1,0.1,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.04,0.05
Additional Paid-In Capital,6.78,169.01,263.5,413.09,387.87,242.18,205.23,184.22,185.19,3.71,2.43
Retained Earnings,367.19,375.12,354.15,323.04,129.26,129.41,51.86,9.71,-58.5,-71.7,-18.61
Comprehensive Income & Other,1.39,-2.55,-0.9,-1.64,-0.4,1.88,-0.35,0.07,0.23,-0.03,-
Total Common Equity,375.45,541.69,616.85,734.61,516.84,373.59,256.86,194.11,127.03,-67.97,-16.13
Minority Interest,-,-,-,36.75,162.81,-,-,-,-,-,-
Shareholders' Equity,375.45,541.69,616.85,771.36,679.65,373.59,256.86,194.11,127.03,64.73,57.25
Total Liabilities & Equity,660.47,824.54,918.93,927.1,931.57,502.3,393.62,268.29,176.59,100.33,77.78
Total Debt,193.26,192.74,194.39,66.42,70.71,69.9,69.6,-,-,-,-
Net Cash (Debt),-14.43,111.45,117.7,403.1,251.24,220.4,102.01,157.69,137.71,74.25,61.36
Net Cash Growth,-,-5.31%,-70.80%,60.44%,13.99%,116.05%,-35.31%,14.51%,85.47%,21.00%,-
Net Cash Per Share,-0.14,1.05,1.03,3.15,2.14,1.94,0.90,1.39,2.27,1.68,1.42
Filing Date Shares Outstanding,95.45,104.42,107.44,114.87,118.07,116.8,112.3,110.79,106.13,42.07,44.64
Total Common Shares Outstanding,96.13,103.99,108.17,117.64,117.77,113.39,112.13,110.43,106.11,42.07,44.64
Working Capital,175.53,298.16,276.01,458.63,392.4,265.44,145.2,131.36,114.24,56.46,52.75
Book Value Per Share,3.91,5.21,5.70,6.24,4.39,3.29,2.29,1.76,1.20,-1.62,-0.36
Tangible Book Value,343.55,483.76,435.9,524.09,274.64,333.6,237.73,194.11,127.03,-67.97,-16.13
Tangible Book Value Per Share,3.57,4.65,4.03,4.46,2.33,2.94,2.12,1.76,1.20,-1.62,-0.36
Machinery,18.07,21.84,9.48,16.49,16.96,15.43,14.73,8.79,7.95,5.39,3.04
Construction In Progress,0.63,-,39.84,4.16,0.85,1.02,0.52,8.97,0.05,0.12,-
Leasehold Improvements,85.97,95.69,23.31,24.23,24.08,20.51,19.51,10.82,10.8,8.2,4.45
