Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,356","3,789","2,712","1,666","3,959","3,593","3,938","3,713","3,181",-,-
Market Cap Growth,2.97%,39.71%,62.78%,-57.91%,10.18%,-8.77%,6.07%,16.74%,-,-,-
Enterprise Value,"3,353","3,732","2,497","1,499","3,766","3,421","3,840","3,565","3,228",-,-
Last Close Price,34.97,36.54,24.16,14.01,33.64,31.73,35.18,33.73,29.98,-,-
PE Ratio,24.03,180.69,87.21,8.60,-,46.33,93.45,56.97,447.91,-,-
Forward PE,14.01,19.31,18.67,19.32,24.10,29.50,58.64,99.26,-,-,-
PS Ratio,3.81,4.24,2.97,1.01,4.16,6.52,6.69,8.18,10.04,-,-
PB Ratio,8.95,7.00,4.40,2.16,5.83,9.62,15.33,19.13,25.04,-,-
P/TBV Ratio,9.72,7.83,6.22,3.18,14.42,10.77,16.57,19.13,25.04,-,-
P/FCF Ratio,12.25,21.02,27.13,6.66,43.71,23.36,66.85,81.13,154.89,-,-
P/OCF Ratio,11.60,14.83,21.78,6.51,40.28,22.92,56.17,71.79,123.80,-,-
PEG Ratio,0.82,1.04,1.10,1.09,1.38,1.03,1.35,19.85,-,-,-
EV/Sales Ratio,3.62,4.17,2.73,0.91,3.96,6.20,6.52,7.85,10.19,-,-
EV/EBITDA Ratio,15.06,22.32,37.63,10.34,20.31,32.69,91.12,126.34,169.26,-,-
EV/EBIT Ratio,15.89,23.64,76.11,13.80,25.29,34.99,111.87,153.74,211.32,-,-
EV/FCF Ratio,12.31,20.69,24.98,5.99,41.58,22.24,65.18,77.90,157.19,-,-
Debt / Equity Ratio,0.52,0.36,0.32,0.09,0.10,0.19,0.27,-,-,-,-
Debt / EBITDA Ratio,0.76,0.97,1.97,0.42,0.35,0.59,1.33,-,-,-,-
Debt / FCF Ratio,0.71,1.07,1.95,0.27,0.78,0.45,1.18,-,-,-,-
Asset Turnover,1.29,1.03,0.99,1.78,1.33,1.23,1.78,2.04,2.29,2.23,-
Inventory Turnover,-,435.00,93.57,79.98,-,-,-,-,-,-,-
Quick Ratio,2.33,3.75,3.06,5.23,3.00,4.64,2.63,2.70,3.50,2.79,4.09
Current Ratio,2.87,4.20,3.40,5.65,3.30,4.99,2.97,3.07,3.66,2.94,4.22
Return on Equity (ROE),35.39%,3.62%,3.18%,10.88%,20.96%,24.60%,18.69%,40.59%,13.77%,10.65%,-
Return on Assets (ROA),18.34%,11.32%,2.22%,7.31%,12.98%,13.64%,6.48%,6.52%,6.89%,6.02%,-
Return on Capital (ROIC),21.26%,12.77%,2.49%,8.55%,15.59%,15.87%,8.24%,9.03%,9.96%,8.78%,-
Return on Capital Employed (ROCE),37.30%,21.60%,4.10%,13.10%,19.60%,22.40%,10.70%,11.30%,11.40%,12.00%,-4.10%
Earnings Yield,4.55%,0.55%,1.15%,11.63%,-0.00%,2.16%,1.07%,1.75%,0.41%,-,-
FCF Yield,8.16%,4.76%,3.69%,15.01%,2.29%,4.28%,1.50%,1.23%,0.65%,-,-
Buyback Yield / Dilution,2.26%,6.94%,10.90%,-9.40%,-2.89%,-0.37%,-0.06%,-86.95%,-37.38%,-2.31%,-
