Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,926.43,894.38,914.24,"1,655",951.37,551.45,588.92,454.09,316.86,198.14,98.59
Revenue Growth (YoY),4.21%,-2.17%,-44.76%,73.96%,72.52%,-6.36%,29.69%,43.31%,59.92%,100.98%,-
Cost of Revenue,106.9,145.51,262.6,997.32,293.37,42.71,36.3,24.81,17.61,9.58,4.23
Gross Profit,819.53,748.88,651.64,657.72,658.01,508.75,552.62,429.28,299.25,188.57,94.35
"Selling, General & Admin",447.56,434.32,456.83,409.83,388.25,319.15,444.28,355.41,258.85,166.91,87.68
Research & Development,142.88,144.43,146.17,123.77,106.42,85.73,69.46,47.87,22.47,11.45,8.24
Operating Expenses,608.43,591.03,618.83,549.08,509.09,410.99,518.29,406.08,283.98,180,96.88
Operating Income,211.1,157.84,32.81,108.64,148.92,97.76,34.32,23.19,15.27,8.57,-2.53
Interest Expense,-,-,-,-,-,-,-,-,-,-,-0.01
Interest & Investment Income,10.65,12.19,18.43,3.85,0.12,1.08,2.98,2.28,0.87,0.42,-
Other Non Operating Income (Expenses),-1.34,-0.94,0.63,-0.96,0.97,0.28,1.4,0.01,-0.31,-0.04,-
EBT Excluding Unusual Items,220.42,169.09,51.87,111.53,150.01,99.11,38.71,25.48,15.84,8.95,-2.54
Asset Writedown,-128.19,-144.43,-0.18,-0.17,-0.65,-,-,-,-,-,-
Pretax Income,187.86,24.66,51.69,111.36,149.36,99.11,38.71,25.48,15.84,8.95,-2.54
Income Tax Expense,35.88,3.69,29.63,32.41,38.99,21.56,-3.44,-39.69,2.64,2.45,-0.9
Earnings From Continuing Operations,151.99,20.97,22.05,78.95,110.37,77.55,42.15,65.17,13.2,6.5,-1.64
Minority Interest in Earnings,-,-,9.05,114.83,-110.53,-,-,-,-,-,-
Net Income,151.99,20.97,31.1,193.79,-0.15,77.55,42.15,65.17,13.2,6.5,-1.64
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,6.1,32.09,15.93
Net Income to Common,151.99,20.97,31.1,193.79,-0.15,77.55,42.15,65.17,7.1,-25.59,-17.57
Net Income Growth,-,-32.57%,-83.95%,-,-,84.01%,-35.33%,393.75%,103.16%,-,-
Shares Outstanding (Basic),101,105,113,118,117,113,111,109,56,44,43
Shares Outstanding (Diluted),104,106,114,128,117,114,113,113,61,44,43
Shares Change (YoY),-2.26%,-6.94%,-10.90%,9.40%,2.89%,0.37%,0.06%,86.95%,37.38%,2.31%,-
EPS (Basic),1.51,0.20,0.27,1.64,-0.00,0.69,0.38,0.60,0.13,-0.58,-0.41
EPS (Diluted),1.46,0.20,0.19,0.62,-0.00,0.68,0.37,0.57,0.12,-0.58,-0.41
EPS Growth,-,2.19%,-68.65%,-,-,83.78%,-35.09%,368.98%,-,-,-
Free Cash Flow,272.48,180.32,99.96,250.18,90.58,153.79,58.91,45.77,20.53,14.16,6.56
Free Cash Flow Per Share,2.62,1.70,0.88,1.95,0.77,1.35,0.52,0.40,0.34,0.32,0.15
Gross Margin,88.46%,83.73%,71.28%,39.74%,69.16%,92.26%,93.84%,94.54%,94.44%,95.17%,95.70%
Operating Margin,22.79%,17.65%,3.59%,6.56%,15.65%,17.73%,5.83%,5.11%,4.82%,4.33%,-2.56%
Profit Margin,16.41%,2.34%,3.40%,11.71%,-0.02%,14.06%,7.16%,14.35%,2.24%,-12.91%,-17.82%
Free Cash Flow Margin,29.41%,20.16%,10.93%,15.12%,9.52%,27.89%,10.00%,10.08%,6.48%,7.14%,6.66%
EBITDA,222.7,167.17,66.36,145.05,185.41,104.62,42.14,28.22,19.07,10.64,-1.41
EBITDA Margin,24.04%,18.69%,7.26%,8.76%,19.49%,18.97%,7.16%,6.21%,6.02%,5.37%,-1.43%
D&A For EBITDA,11.6,9.33,33.55,36.41,36.5,6.87,7.82,5.03,3.8,2.07,1.12
EBIT,211.1,157.84,32.81,108.64,148.92,97.76,34.32,23.19,15.27,8.57,-2.53
EBIT Margin,22.79%,17.65%,3.59%,6.56%,15.65%,17.73%,5.83%,5.11%,4.82%,4.33%,-2.56%
Effective Tax Rate,19.10%,14.95%,57.33%,29.10%,26.10%,21.75%,-,-,16.66%,27.37%,-
Revenue as Reported,926.43,894.38,914.24,"1,655",951.37,551.45,588.92,-,-,-,-
Advertising Expenses,-,160.67,138.78,156.13,151.46,155.58,287.11,-,-,112.17,61.87
