Period Ending,"Nov '25Nov 14, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Mar '23Mar 25, 2023","Mar '22Mar 26, 2022","Mar '21Mar 27, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Mar '17Mar 25, 2017","Mar '16Mar 26, 2016"
Market Capitalization,"6,088","5,288","4,992","5,835","5,023","4,818","3,630","2,488","2,575","3,858","2,176"
Market Cap Growth,-0.20%,5.93%,-14.44%,16.16%,4.25%,32.73%,45.90%,-3.36%,-33.26%,77.30%,4.18%
Enterprise Value,"5,333","4,618","4,564","5,484","4,932","4,265","3,173","2,044","2,161","3,575","2,087"
Last Close Price,119.31,99.51,92.56,105.59,87.69,83.01,61.92,42.07,40.63,60.06,34.47
PE Ratio,16.98,15.95,18.18,33.02,15.39,22.17,22.76,27.65,15.89,14.77,17.60
Forward PE,17.21,14.83,16.54,17.91,14.50,17.53,17.26,23.37,10.76,13.93,14.23
PS Ratio,3.20,2.79,2.79,3.08,2.82,3.52,2.83,2.10,1.68,2.51,1.86
PB Ratio,2.98,2.71,2.75,3.52,3.14,3.47,2.95,2.18,2.22,3.35,2.53
P/TBV Ratio,3.85,3.56,3.69,4.93,4.99,4.46,4.00,3.17,3.38,5.29,5.32
P/FCF Ratio,11.26,12.54,13.00,19.16,50.94,14.57,12.96,14.21,9.77,11.77,20.24
P/OCF Ratio,10.92,11.90,11.84,17.18,40.26,13.81,12.27,12.04,8.08,10.43,14.60
PEG Ratio,3.44,8.07,8.07,4.05,1.45,1.75,1.16,1.56,0.72,0.84,0.69
EV/Sales Ratio,2.74,2.44,2.55,2.89,2.77,3.12,2.48,1.72,1.41,2.32,1.79
EV/EBITDA Ratio,10.65,10.01,11.59,13.16,11.51,14.99,12.03,11.63,6.29,9.16,8.73
EV/EBIT Ratio,11.88,11.25,13.21,15.88,13.46,17.96,16.24,21.32,8.24,10.94,11.52
EV/FCF Ratio,9.86,10.96,11.88,18.01,50.01,12.90,11.32,11.67,8.20,10.90,19.42
Debt / Equity Ratio,0.07,0.07,0.09,0.09,0.11,0.10,0.12,-,-,0.05,0.19
Debt / EBITDA Ratio,0.27,0.29,0.37,0.32,0.40,0.47,0.51,-,-,0.15,0.67
Debt / FCF Ratio,0.26,0.34,0.40,0.46,1.80,0.43,0.51,-,-,0.18,1.49
Asset Turnover,0.81,0.83,0.83,0.91,0.90,0.80,0.87,0.85,1.08,1.19,1.00
Inventory Turnover,3.60,3.42,3.79,5.06,5.50,4.14,3.90,3.17,4.13,5.04,5.43
Quick Ratio,4.76,4.30,3.70,2.92,2.34,2.84,2.95,3.52,2.59,3.96,2.48
Current Ratio,6.50,6.35,5.94,4.71,3.17,3.94,4.10,5.41,4.38,5.39,3.95
Return on Equity (ROE),19.12%,17.60%,15.80%,10.85%,21.84%,16.60%,13.46%,7.82%,14.01%,25.98%,15.30%
Return on Assets (ROA),11.72%,11.25%,10.05%,10.31%,11.58%,8.67%,8.29%,4.31%,11.54%,15.74%,9.71%
Return on Capital (ROIC),13.16%,12.62%,11.45%,12.07%,13.84%,10.22%,9.72%,5.21%,13.82%,18.31%,11.57%
Return on Capital Employed (ROCE),20.20%,19.20%,16.90%,18.70%,19.70%,14.70%,13.60%,7.70%,20.30%,25.80%,17.20%
Earnings Yield,6.23%,6.27%,5.50%,3.03%,6.50%,4.51%,4.39%,3.62%,6.29%,6.77%,5.68%
FCF Yield,8.88%,7.97%,7.69%,5.22%,1.96%,6.86%,7.72%,7.04%,10.24%,8.50%,4.94%
Buyback Yield / Dilution,3.07%,1.39%,2.11%,3.24%,1.53%,0.66%,1.82%,6.62%,0.92%,-0.86%,-1.16%
