Period Ending,"Sep '25Sep 27, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Mar '23Mar 25, 2023","Mar '22Mar 26, 2022","Mar '21Mar 27, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Mar '17Mar 25, 2017","Mar '16Mar 26, 2016"
Revenue,"1,948","1,896","1,789","1,898","1,781","1,369","1,281","1,186","1,532","1,539","1,169"
Revenue Growth (YoY),2.19%,5.99%,-5.73%,6.52%,30.11%,6.88%,8.06%,-22.63%,-0.44%,31.62%,27.57%
Cost of Revenue,915.5,900.04,872.82,940.64,857.82,661.93,606.96,588.03,771.47,781.13,614.41
Gross Profit,"1,033",996.04,916.07,956.98,923.64,707.3,674.17,597.5,760.72,757.82,554.84
"Selling, General & Admin",154.75,151,144.17,153.14,151,127.01,131.12,126.5,131.81,127.27,117.08
Research & Development,429.31,434.68,426.48,458.41,406.31,342.76,347.65,375.14,366.44,303.66,269.22
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-12.57
Operating Expenses,584.05,585.68,570.65,611.56,557.3,469.77,478.76,501.64,498.26,430.92,373.73
Operating Income,448.87,410.36,345.43,345.42,366.34,237.53,195.41,95.86,262.46,326.89,181.11
Interest Expense,-0.9,-0.9,-0.92,-0.9,-0.95,-1.06,-1.06,-1.06,-1.15,-3.6,-3.31
Interest & Investment Income,34.97,33.98,21.49,9.99,1.56,6.28,10.46,8.02,4.76,1.68,0.88
Currency Exchange Gain (Loss),0.24,-0,-0.43,-0.56,-0.28,3.21,-4.23,-0.22,-0.97,-,-1.79
Other Non Operating Income (Expenses),-0.85,1.47,0.32,-2.82,1.99,-0.37,2.61,-,-,-0.08,-
EBT Excluding Unusual Items,482.33,444.91,365.9,351.13,368.66,245.6,203.19,102.6,265.1,324.89,176.89
Merger & Restructuring Charges,-,-,-1.96,-10.63,-,-,-21.93,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,4.91,-,-,-
Asset Writedown,-,-,-,-85.76,-,-0.35,-,-,-,-9.84,-
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-0.9
Other Unusual Items,-,-,-,-,-,-,-,-13.77,-,-,-
Pretax Income,482.33,444.91,363.94,254.74,368.66,245.25,181.27,93.74,265.1,315.05,175.99
Income Tax Expense,102.77,113.41,89.36,78.04,42.31,27.9,21.77,3.75,103.1,53.84,52.36
Net Income,379.57,331.51,274.57,176.7,326.36,217.34,159.5,89.99,162,261.21,123.63
Net Income to Common,379.57,331.51,274.57,176.7,326.36,217.34,159.5,89.99,162,261.21,123.63
Net Income Growth,15.79%,20.74%,55.39%,-45.86%,50.16%,36.27%,77.24%,-44.45%,-37.98%,111.28%,124.06%
Shares Outstanding (Basic),52,53,54,56,57,58,58,60,63,63,63
Shares Outstanding (Diluted),54,55,56,57,59,60,60,62,66,67,66
Shares Change (YoY),-3.07%,-1.39%,-2.11%,-3.24%,-1.53%,-0.66%,-1.82%,-6.62%,-0.92%,0.86%,1.16%
EPS (Basic),7.27,6.24,5.06,3.18,5.70,3.74,2.74,1.50,2.55,4.12,1.96
EPS (Diluted),7.02,6.00,4.90,3.09,5.52,3.62,2.64,1.46,2.46,3.92,1.87
EPS Growth,19.23%,22.45%,58.58%,-44.02%,52.49%,37.12%,80.82%,-40.65%,-37.24%,109.63%,120.00%
Free Cash Flow,540.7,421.59,384.02,304.48,98.61,330.69,280.16,175.08,263.53,327.9,107.48
Free Cash Flow Per Share,10.02,7.63,6.86,5.32,1.67,5.51,4.63,2.84,4.00,4.93,1.63
Gross Margin,53.01%,52.53%,51.21%,50.43%,51.85%,51.66%,52.62%,50.40%,49.65%,49.24%,47.45%
Operating Margin,23.04%,21.64%,19.31%,18.20%,20.56%,17.35%,15.25%,8.09%,17.13%,21.24%,15.49%
Profit Margin,19.48%,17.48%,15.35%,9.31%,18.32%,15.87%,12.45%,7.59%,10.57%,16.97%,10.57%
Free Cash Flow Margin,27.75%,22.23%,21.47%,16.05%,5.54%,24.15%,21.87%,14.77%,17.20%,21.31%,9.19%
EBITDA,500.72,461.31,393.72,416.63,428.4,284.62,263.64,175.68,343.86,390.33,239.17
EBITDA Margin,25.70%,24.33%,22.01%,21.95%,24.05%,20.79%,20.58%,14.82%,22.44%,25.36%,20.46%
D&A For EBITDA,51.85,50.95,48.29,71.2,62.06,47.08,68.24,79.83,81.4,63.43,58.06
EBIT,448.87,410.36,345.43,345.42,366.34,237.53,195.41,95.86,262.46,326.89,181.11
EBIT Margin,23.04%,21.64%,19.31%,18.20%,20.56%,17.35%,15.25%,8.09%,17.13%,21.24%,15.49%
Effective Tax Rate,21.31%,25.49%,24.55%,30.63%,11.48%,11.38%,12.01%,4.00%,38.89%,17.09%,29.75%
Advertising Expenses,-,0.3,0.3,0.5,0.9,0.9,0.9,1,1.4,1.7,1.6
