Period Ending,"Sep '25Sep 27, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Mar '23Mar 25, 2023","Mar '22Mar 26, 2022","Mar '21Mar 27, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Mar '17Mar 25, 2017","Mar '16Mar 26, 2016"
Cash & Equivalents,593.48,539.62,502.76,445.78,369.81,442.16,292.12,216.17,235.6,351.17,168.79
Short-Term Investments,52.42,56.16,23.78,34.98,10.6,55.7,22.01,70.18,26.4,99.81,60.58
Cash & Short-Term Investments,645.9,595.78,526.54,480.76,380.42,497.86,314.13,286.36,262,450.98,229.38
Cash Growth,35.05%,13.15%,9.52%,26.38%,-23.59%,58.49%,9.70%,9.29%,-41.90%,96.61%,14.32%
Accounts Receivable,355.4,216.01,162.48,150.47,240.26,108.71,154,120.66,100.8,119.97,88.53
Other Receivables,-,27.9,-,-,-,-,-,-,-,-,-
Receivables,355.4,243.91,162.48,150.47,240.26,108.71,154,120.66,100.8,119.97,88.53
Inventory,236.41,299.09,227.25,233.45,138.44,173.26,146.73,164.73,205.76,167.9,142.02
Prepaid Expenses,51.66,48.24,48.05,96.15,40.82,37.58,23.59,30.79,31.24,24.99,29.92
Other Current Assets,77.64,52.72,141.88,57.03,40.08,25.11,11.75,22.45,13.88,12.09,16.28
Total Current Assets,"1,367","1,240","1,106","1,018",840.02,842.52,650.2,624.98,613.67,775.93,506.13
"Property, Plant & Equipment",276.47,286.59,308.46,291.12,328.08,288.49,299.52,186.19,191.15,168.14,162.66
Long-Term Investments,250.15,239.04,173.37,36.51,63.75,312.76,283.57,158.97,172.5,-,20.63
Goodwill,435.94,435.94,435.94,435.94,435.79,287.52,287.09,286.24,288.72,286.77,287.52
Other Intangible Assets,24.45,27.46,29.58,38.88,158.15,22.03,34.43,67.85,111.55,135.19,162.83
Long-Term Deferred Tax Assets,46.51,48.15,48.65,35.58,11.07,9.98,10.05,8.73,14.72,32.84,25.77
Other Long-Term Assets,29.17,50.17,129.38,208.09,286.55,67.32,27.82,19.69,37.81,14.61,16.35
Total Assets,"2,430","2,327","2,232","2,064","2,123","1,831","1,593","1,353","1,430","1,413","1,182"
Accounts Payable,79.97,63.16,55.55,81.46,115.42,102.74,78.41,48.4,69.85,73.81,71.62
Accrued Expenses,84.07,83.47,78.34,74.13,81.99,68.29,54.78,45.63,48.38,50.58,31.49
Current Portion of Leases,19.48,21.81,20.64,18.44,14.68,14.57,13.58,-,-,-,-
Other Current Liabilities,26.8,26.75,31.87,42.31,52.7,28.01,11.87,21.51,21.98,19.69,25.02
Total Current Liabilities,210.32,195.19,186.39,216.34,264.78,213.61,158.64,115.54,140.21,144.08,128.12
Long-Term Debt,-,-,-,-,-,-,-,-,-,60,160.44
Long-Term Leases,120.99,121.91,134.58,122.63,163.16,127.88,129.31,-,-,-,-
Other Long-Term Liabilities,55.93,60.53,93.59,66.71,95.64,100.12,74.95,96.86,128.18,57.7,33.84
Total Liabilities,387.24,377.62,414.56,405.68,523.58,441.61,362.9,212.4,268.39,261.78,322.4
Common Stock,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Additional Paid-In Capital,"1,904","1,860","1,761","1,670","1,578","1,499","1,435","1,364","1,312","1,259","1,203"
Retained Earnings,139.03,90.35,58.92,-9.32,23.44,-112.69,-201.68,-222.43,-139.35,-107.01,-344.35
Comprehensive Income & Other,-0.22,-1.18,-2.6,-2.54,-2.05,2.88,-3.47,-1.07,-11.36,-0.57,0.33
Shareholders' Equity,"2,042","1,949","1,817","1,658","1,600","1,389","1,230","1,140","1,162","1,152",859.48
Total Liabilities & Equity,"2,430","2,327","2,232","2,064","2,123","1,831","1,593","1,353","1,430","1,413","1,182"
Total Debt,140.47,143.72,155.22,141.07,177.84,142.46,142.89,-,-,60,160.44
Net Cash (Debt),755.58,691.1,544.7,376.2,266.32,668.16,454.81,445.32,434.5,390.98,89.57
Net Cash Growth,36.40%,26.88%,44.79%,41.26%,-60.14%,46.91%,2.13%,2.49%,11.13%,336.52%,11.57%
Net Cash Per Share,14.00,12.51,9.72,6.57,4.50,11.12,7.52,7.23,6.59,5.87,1.36
Filing Date Shares Outstanding,51.03,51.56,53.57,54.81,56.11,57.53,58.36,58.33,60.98,63.89,62.23
Total Common Shares Outstanding,51.02,52.29,53.49,55.1,56.6,57.65,58.24,58.95,61.96,64.3,62.63
Working Capital,"1,157","1,045",919.8,801.52,575.23,628.91,491.56,509.44,473.47,631.85,378.01
Book Value Per Share,40.03,37.28,33.97,30.10,28.27,24.09,21.11,19.34,18.75,17.91,13.72
Tangible Book Value,"1,582","1,486","1,352","1,183","1,006","1,079",908.26,786.15,761.46,729.74,409.13
Tangible Book Value Per Share,31.01,28.42,25.27,21.48,17.77,18.72,15.59,13.34,12.29,11.35,6.53
Land,-,23.85,23.85,23.85,23.85,23.85,23.85,23.85,26.38,26.38,26.38
Buildings,-,64.15,64.06,64.06,63.73,63.8,63.8,63.17,71.35,74.27,73.51
Machinery,-,238.44,231.46,212.31,200.09,184.13,182.26,180.76,165.65,137.29,118.11
Construction In Progress,-,0.73,0.01,14.35,5.57,0.95,0.89,3.69,6.09,22.97,5.41
Leasehold Improvements,-,80.68,81.12,55.73,53.61,52.04,51.53,45.29,35.57,4.36,2.64
