Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,835,804,578,440,273,245,280,275,295,322,390
Short-Term Investments,"6,552","6,814","7,807","9,374","13,013","6,619","3,546","4,485","4,771","6,037","5,864"
Cash & Short-Term Investments,"7,387","7,618","8,385","9,814","13,286","6,864","3,826","4,760","5,066","6,359","6,254"
Cash Growth,-17.46%,-9.15%,-14.56%,-26.13%,93.56%,79.40%,-19.62%,-6.04%,-20.33%,1.68%,-14.36%
Receivables,"2,028","2,006","2,026","2,138","1,505","1,342","1,750","1,706","1,752","1,594","1,425"
Inventory,"2,782","2,638","2,400","2,279","1,795","1,614","1,851","1,522","1,359","1,094",863
Prepaid Expenses,822,794,658,892,615,666,621,495,651,639,748
Restricted Cash,103,98,103,146,135,154,10,11,103,638,695
Other Current Assets,128,-,-,-,-,455,148,143,215,-,-
Total Current Assets,"13,250","13,154","13,572","15,269","17,336","11,095","8,206","8,637","9,146","10,324","9,985"
"Property, Plant & Equipment","38,103","37,448","37,943","37,681","36,870","38,292","42,058","41,971","32,939","29,950","26,443"
Long-Term Investments,563,515,541,610,239,161,204,189,-,-,-
Goodwill,"4,091","4,091","4,091","4,091","4,091","4,091","4,091","4,091","4,091","4,091","4,091"
Other Intangible Assets,"2,038","2,044","2,051","2,059","1,988","2,029","2,084","2,137","2,203","2,173","2,249"
Long-Term Deferred Tax Assets,"2,435","2,485","2,888","3,099","3,556","3,239",645,"1,145","1,816","1,498","2,477"
Other Long-Term Assets,"1,661","2,046","1,972","1,907","2,387","3,101","2,707","2,410","2,590","3,238","3,170"
Total Assets,"62,141","61,783","63,058","64,716","66,467","62,008","59,995","60,580","52,785","51,274","48,415"
Accounts Payable,"2,833","2,455","2,353","2,149","1,772","1,196","2,062","1,773","1,688","1,592","1,563"
Accrued Expenses,"5,267","5,111","5,115","4,694","4,255","4,135","3,679","3,769","3,953","3,724","3,539"
Current Portion of Long-Term Debt,"3,508","5,190","3,501","3,058","2,315","2,697","2,749","3,213","2,476","1,855","2,231"
Current Portion of Leases,"1,239","1,224","1,440","1,681","1,681","1,751","1,820","1,735",78,-,-
Current Unearned Revenue,"11,791","10,315","9,653","9,914","8,983","6,790","8,001","7,606","7,163","6,701","6,272"
Total Current Liabilities,"24,638","24,295","22,062","21,496","19,006","16,569","18,311","18,096","15,358","13,872","13,605"
Long-Term Debt,"24,538","24,623","28,895","31,844","35,008","29,324","20,896","20,566","21,818","22,489","18,330"
Long-Term Leases,"6,779","6,507","6,827","7,104","7,173","7,249","7,979","8,515",693,-,-
Long-Term Unearned Revenue,"6,815","6,498","5,874","5,976","6,239","7,162","5,422","5,272","5,701",-,667
Pension & Post-Retirement Benefits,"1,759","2,128","3,044","2,837","5,053","7,069","6,052","6,907","7,497","7,842","7,450"
Other Long-Term Liabilities,"1,574","1,709","1,558","1,258","1,328","1,502","1,453","1,393","2,498","3,286","2,728"
Total Liabilities,"66,103","65,760","68,260","70,515","73,807","68,875","60,113","60,749","53,565","47,489","42,780"
Common Stock,7,7,7,6,6,6,4,5,5,5,6
Additional Paid-In Capital,"7,377","7,424","7,374","7,291","7,234","6,894","3,945","4,964","5,714","7,223","11,591"
Retained Earnings,"-6,831","-6,843","-7,689","-8,511","-8,638","-6,664","2,264",758,"-1,345","1,640","-1,230"
Comprehensive Income & Other,"-4,515","-4,565","-4,894","-4,585","-5,942","-7,103","-6,331","-5,896","-5,154","-5,083","-4,732"
Shareholders' Equity,"-3,962","-3,977","-5,202","-5,799","-7,340","-6,867",-118,-169,-780,"3,785","5,635"
Total Liabilities & Equity,"62,141","61,783","63,058","64,716","66,467","62,008","59,995","60,580","52,785","51,274","48,415"
Total Debt,"36,064","37,544","40,663","43,687","46,177","41,021","33,444","34,029","25,065","24,344","20,561"
Net Cash (Debt),"-28,677","-29,926","-32,278","-33,873","-32,891","-34,157","-29,618","-29,269","-19,999","-17,985","-14,307"
Net Cash Per Share,-39.67,-41.49,-44.85,-51.70,-51.07,-70.59,-66.67,-62.85,-40.67,-32.34,-20.81
Filing Date Shares Outstanding,660.09,657.58,654.76,651.43,649.16,639.68,426.06,449.06,473.14,504.15,603.02
Total Common Shares Outstanding,660.06,657.57,654.27,650.64,647.73,621.48,428.2,460.61,475.51,507.29,624.62
Working Capital,"-11,388","-11,141","-8,490","-6,227","-1,670","-5,474","-10,105","-9,459","-6,212","-3,548","-3,620"
Book Value Per Share,-6.00,-6.05,-7.95,-8.91,-11.33,-11.05,-0.28,-0.37,-1.64,7.46,9.02
Tangible Book Value,"-10,091","-10,112","-11,344","-11,949","-13,419","-12,987","-6,293","-6,397","-7,074","-2,479",-705
Tangible Book Value Per Share,-15.29,-15.38,-17.34,-18.36,-20.72,-20.90,-14.70,-13.89,-14.88,-4.89,-1.13
Machinery,"44,994","43,521","41,794","39,703","37,856","37,816","42,537","41,499","40,318","37,028","33,185"
