Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"50,219","50,390","49,324","45,801","27,377","15,287","42,873","41,689","40,021","37,830","36,272"
Other Revenue,"4,075","3,821","3,464","3,170","2,505","2,050","2,895","2,852","2,601","2,312","4,718"
Revenue,"54,294","54,211","52,788","48,971","29,882","17,337","45,768","44,541","42,622","40,142","40,990"
Revenue Growth (YoY),1.27%,2.70%,7.79%,63.88%,72.36%,-62.12%,2.76%,4.50%,6.18%,-2.07%,-3.89%
Cost of Revenue,"41,411","40,674","39,002","37,952","28,285","22,832","32,465","32,337","29,430","26,800","26,574"
Gross Profit,"12,883","13,537","13,786","11,019","1,597","-5,495","13,303","12,204","13,192","13,342","14,416"
"Selling, General & Admin","1,948","1,812","1,799","1,815","1,098",666,"2,004","1,520","1,477","1,323","1,394"
Other Operating Expenses,"6,647","6,429","6,006","5,422","3,994","3,186","5,428","5,088","4,910","4,634","4,374"
Operating Expenses,"10,515","10,167","9,741","9,214","7,111","5,892","9,414","8,447","8,089","7,482","7,132"
Operating Income,"2,368","3,370","4,045","1,805","-5,514","-11,387","3,889","3,757","5,103","5,860","7,284"
Interest Expense,"-1,764","-1,934","-2,145","-1,962","-1,800","-1,227","-1,095","-1,056","-1,053",-991,-880
Interest & Investment Income,390,468,591,216,18,41,127,118,94,63,39
Currency Exchange Gain (Loss),-17,-48,-30,-38,-4,-24,-32,-55,-4,1,-159
Other Non Operating Income (Expenses),31,-35,1,437,357,348,19,26,11,-9,6
EBT Excluding Unusual Items,"1,008","1,821","2,462",458,"-6,943","-12,249","2,908","2,790","4,151","4,924","6,290"
Merger & Restructuring Charges,-8,-13,-23,-,-170,"-1,426",-473,-748,-505,-691,"-1,036"
Gain (Loss) on Sale of Investments,4,-8,-82,-71,-31,-135,5,-104,-,-,-
Asset Writedown,-,-,-,-149,-27,"-1,601",-213,-26,-,-,-
Legal Settlements,-77,-,-,-37,19,-,53,-45,-,-,-
Other Unusual Items,-84,-646,"-1,236",-15,"4,604","3,958",-24,17,-251,-81,-638
Pretax Income,843,"1,154","1,121",186,"-2,548","-11,453","2,256","1,884","3,395","4,152","4,616"
Income Tax Expense,241,308,299,59,-555,"-2,568",570,472,"2,113","1,568","-2,994"
Net Income,602,846,822,127,"-1,993","-8,885","1,686","1,412","1,282","2,584","7,610"
Net Income to Common,602,846,822,127,"-1,993","-8,885","1,686","1,412","1,282","2,584","7,610"
Net Income Growth,118.91%,2.92%,547.24%,-,-,-,19.41%,10.14%,-50.39%,-66.05%,164.05%
Shares Outstanding (Basic),659,657,654,650,644,484,443,464,489,552,668
Shares Outstanding (Diluted),723,721,720,655,644,484,444,466,492,556,687
Shares Change (YoY),7.28%,0.23%,9.85%,1.73%,33.09%,8.92%,-4.59%,-5.29%,-11.58%,-19.10%,-6.36%
EPS (Basic),0.91,1.29,1.26,0.20,-3.09,-18.36,3.80,3.04,2.62,4.68,11.39
EPS (Diluted),0.90,1.24,1.21,0.19,-3.09,-18.36,3.79,3.03,2.61,4.65,11.07
EPS Growth,115.68%,3.11%,534.79%,-,-,-,25.08%,16.09%,-43.87%,-57.99%,181.65%
Free Cash Flow,882,"1,300","1,207",-373,496,"-8,674",-551,-212,"-1,227",793,98
Free Cash Flow Per Share,1.22,1.80,1.68,-0.57,0.77,-17.93,-1.24,-0.46,-2.50,1.43,0.14
Dividend Per Share,-,-,-,-,-,0.100,0.400,0.400,0.400,0.400,0.400
Dividend Growth,-,-,-,-,-,-75.00%,-,-,-,-,100.00%
Gross Margin,23.73%,24.97%,26.12%,22.50%,5.34%,-31.70%,29.07%,27.40%,30.95%,33.24%,35.17%
Operating Margin,4.36%,6.22%,7.66%,3.69%,-18.45%,-65.68%,8.50%,8.43%,11.97%,14.60%,17.77%
Profit Margin,1.11%,1.56%,1.56%,0.26%,-6.67%,-51.25%,3.68%,3.17%,3.01%,6.44%,18.57%
Free Cash Flow Margin,1.62%,2.40%,2.29%,-0.76%,1.66%,-50.03%,-1.20%,-0.48%,-2.88%,1.98%,0.24%
EBITDA,"4,613","5,615","6,299","4,103","-3,179","-9,017","6,207","5,916","7,120","7,678","8,893"
EBITDA Margin,8.50%,10.36%,11.93%,8.38%,-10.64%,-52.01%,13.56%,13.28%,16.71%,19.13%,21.70%
D&A For EBITDA,"2,245","2,245","2,254","2,298","2,335","2,370","2,318","2,159","2,017","1,818","1,609"
EBIT,"2,368","3,370","4,045","1,805","-5,514","-11,387","3,889","3,757","5,103","5,860","7,284"
EBIT Margin,4.36%,6.22%,7.66%,3.69%,-18.45%,-65.68%,8.50%,8.43%,11.97%,14.60%,17.77%
Effective Tax Rate,28.59%,26.69%,26.67%,31.72%,-,-,25.27%,25.05%,62.24%,37.77%,-
Revenue as Reported,"54,294","54,211","52,788","48,971","29,882","17,337","45,768","44,541","42,622","40,142","40,990"
Advertising Expenses,-,143,114,105,105,57,144,128,135,116,110
