Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,281.08,387.88,397.45,834.66,68.99,386.2,58.98,66.09,36.14
Short-Term Investments,"1,430","1,359",682.78,96.72,176.99,-,-,-,-
Cash & Short-Term Investments,"1,711","1,747","1,080",931.38,245.97,386.2,58.98,66.09,36.14
Cash Growth,-21.52%,61.75%,15.98%,278.65%,-36.31%,554.84%,-10.76%,82.88%,-
Other Receivables,0.4,20.66,3.6,3.88,1.2,0.3,0.2,-,-
Receivables,0.4,20.66,3.6,3.88,1.2,0.3,0.2,-,-
Prepaid Expenses,55.45,15.73,6.16,5.31,9.18,2.5,2.55,0.58,0.21
Other Current Assets,-,4.38,5.97,1.99,-,-,-,-,-
Total Current Assets,"1,767","1,788","1,096",942.56,256.35,389,61.72,66.67,36.35
"Property, Plant & Equipment",337,270.15,110.62,31.65,35.91,3.27,3.39,3.41,2.97
Long-Term Investments,959.26,"1,388",162.68,26.55,27.12,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,0.5,0.1,-,-,-
Other Long-Term Assets,108.18,65.68,38.67,5.43,4.46,0.45,0.58,0.72,0.31
Total Assets,"3,172","3,511","1,408","1,006",324.34,392.83,65.7,70.8,39.63
Accounts Payable,48.96,48.45,14.59,9.8,6.76,29.79,3.38,2.83,1.81
Accrued Expenses,145.31,85.84,123.64,24.82,16.68,17.06,7.5,3.58,1.32
Current Portion of Leases,5.77,5.89,7.11,5.91,5.28,-,0.16,0.3,0.28
Other Current Liabilities,-,-,-,-,-,0.01,0.02,0,0.85
Total Current Liabilities,200.05,140.18,145.34,40.53,28.72,46.86,11.05,6.71,4.26
Long-Term Debt,-,-,-,-,-,-,-,3.19,3.76
Long-Term Leases,78.67,65.22,22.11,12.03,11.51,-,-,0.16,0.46
Other Long-Term Liabilities,-,0.1,-,0.01,0.1,0.12,0.26,0.2,0.21
Total Liabilities,278.72,205.5,167.45,52.57,40.32,46.98,11.31,10.26,8.69
Common Stock,0.13,0.13,0.1,0.08,0.06,0.05,0.01,0.01,0.01
Additional Paid-In Capital,"4,800","4,698","2,165","1,476",582.84,544.35,2.97,1.34,0.45
Retained Earnings,"-1,908","-1,388",-924.39,-522.13,-298.64,-198.56,-109.35,-59.07,-29.59
Comprehensive Income & Other,0.86,-3.87,0.18,-0.36,-0.24,-,-,-,-
Total Common Equity,"2,893","3,306","1,240",953.61,284.02,345.84,-106.37,-57.73,-29.13
Shareholders' Equity,"2,893","3,306","1,240",953.61,284.02,345.84,54.39,60.54,30.94
Total Liabilities & Equity,"3,172","3,511","1,408","1,006",324.34,392.83,65.7,70.8,39.63
Total Debt,84.44,71.11,29.22,17.94,16.78,-,0.16,3.64,4.5
Net Cash (Debt),"1,627","1,676","1,051",913.44,229.19,386.2,58.82,62.45,31.64
Net Cash Growth,-24.42%,59.48%,15.06%,298.55%,-40.66%,556.63%,-5.82%,97.38%,-
Net Cash Per Share,11.98,13.74,10.82,14.08,4.41,13.07,15.50,17.20,8.87
Filing Date Shares Outstanding,130.91,128.76,108.41,80.03,56.31,51.33,4.06,3.76,3.57
Total Common Shares Outstanding,130.03,124.89,95.36,79.47,53.03,51.07,4.06,3.76,3.57
Working Capital,"1,567","1,648",950.62,902.03,227.63,342.14,50.67,59.96,32.09
Book Value Per Share,22.25,26.47,13.01,12.00,5.36,6.77,-26.20,-15.36,-8.17
Tangible Book Value,"2,893","3,306","1,240",953.61,284.02,345.84,-106.37,-57.73,-29.13
Tangible Book Value Per Share,22.25,26.47,13.01,12.00,5.36,6.77,-26.20,-15.36,-8.17
Machinery,-,58.15,35.62,15.12,11.5,5.25,3.8,2.74,1.54
Construction In Progress,-,151.79,51.82,-,-,0.22,-,-,0.27
Leasehold Improvements,-,4.38,1.46,1.35,-,1.9,1.88,1.46,0.99
