Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cost of Revenue,-,-,75,23,-,-,-,-,-
Gross Profit,-,-,-75,-23,-,-,-,-,-
"Selling, General & Admin",125.7,92.9,60.7,39.81,25.26,16.02,8.55,5.39,5.05
Research & Development,685.86,476.64,332.34,169.45,78.41,73.56,45.61,30.15,12.79
Operating Expenses,811.56,569.55,393.04,209.26,103.67,89.58,54.15,35.53,17.83
Operating Income,-811.56,-569.55,-468.04,-232.26,-103.67,-89.58,-54.15,-35.53,-17.83
Interest Expense,-,-,-,-0,-0.01,-0.01,-0.04,-0.08,-0.07
Interest & Investment Income,129.73,109.99,62.91,8.36,0.34,0.24,0.63,0.9,0.23
Currency Exchange Gain (Loss),-,-,-,-,1.67,-2.35,-0.14,0.04,-0.01
Other Non Operating Income (Expenses),24.64,-4.38,2.87,0.42,1.59,2.48,0.24,-,-
EBT Excluding Unusual Items,-657.2,-463.93,-402.27,-223.49,-100.08,-89.22,-53.46,-34.66,-17.68
Gain (Loss) on Sale of Investments,-,-,-,-,0,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,3.19,5.18,0.44
Pretax Income,-657.2,-463.93,-402.27,-223.49,-100.08,-89.22,-50.27,-29.49,-17.24
Net Income,-657.2,-463.93,-402.27,-223.49,-100.08,-89.22,-50.27,-29.49,-17.24
Net Income to Common,-657.2,-463.93,-402.27,-223.49,-100.08,-89.22,-50.27,-29.49,-17.24
Shares Outstanding (Basic),136,122,97,65,52,30,4,4,4
Shares Outstanding (Diluted),136,122,97,65,52,30,4,4,4
Shares Change (YoY),19.29%,25.57%,49.75%,24.95%,75.73%,678.53%,4.55%,1.81%,-
EPS (Basic),-4.84,-3.80,-4.14,-3.44,-1.93,-3.02,-13.25,-8.12,-4.83
EPS (Diluted),-4.84,-3.80,-4.14,-3.44,-1.93,-3.02,-13.25,-8.12,-4.83
Free Cash Flow,-620.73,-571.79,-364.67,-176.44,-127.95,-47.78,-48.34,-32.24,-16.19
Free Cash Flow Per Share,-4.57,-4.69,-3.75,-2.72,-2.46,-1.62,-12.74,-8.88,-4.54
EBITDA,-799.8,-562.54,-464.89,-229.42,-101.87,-88.18,-52.92,-34.5,-17.21
D&A For EBITDA,11.76,7,3.16,2.83,1.8,1.41,1.23,1.04,0.63
EBIT,-811.56,-569.55,-468.04,-232.26,-103.67,-89.58,-54.15,-35.53,-17.83
