Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Operating Revenue,"8,152","7,049","4,518","2,167","2,042","1,567","1,567"
Other Revenue,204.67,199.02,148.38,95.6,105.44,-,-
Revenue,"8,357","7,248","4,666","2,263","2,148","1,567","1,567"
Revenue Growth (YoY),37.80%,55.34%,106.19%,5.37%,37.09%,-0.03%,-
Cost of Revenue,"4,700","4,192","2,754","1,545","1,541","1,150","1,097"
Gross Profit,"3,657","3,056","1,912",717.86,606.63,416.45,469.65
"Selling, General & Admin","1,685","1,325",921.07,489.94,333.17,258.62,278.57
Research & Development,158.84,134.02,77.29,66.18,52.12,33.65,29.36
Other Operating Expenses,-44.89,-25.71,-10.64,-3.22,19.59,55.32,66.74
Operating Expenses,"1,799","1,434",987.72,552.9,410.58,365.85,378.25
Operating Income,"1,858","1,622",924.03,164.96,196.06,50.6,91.4
Interest Expense,-2.98,-3.11,-5.01,-6.5,-7.94,-1.48,-4.29
Interest & Investment Income,64.22,48.42,29.57,14.46,6.72,0.71,0.24
Other Non Operating Income (Expenses),-12.88,2.47,-1.02,-0.81,0.3,1.88,-1.19
EBT Excluding Unusual Items,"1,906","1,670",947.57,172.1,195.14,51.71,86.16
Gain (Loss) on Sale of Investments,46.93,48.94,34.52,8.46,8.75,11.05,22.17
Other Unusual Items,-,-,-,-,-,12.67,-
Pretax Income,"1,953","1,719",982.09,180.56,203.89,75.42,108.32
Income Tax Expense,573.21,446.03,243.04,84.47,64.22,37.6,47.49
Earnings From Continuing Operations,"1,380","1,273",739.06,96.08,139.67,37.82,60.83
Minority Interest in Earnings,1.67,2.36,-1.92,2.02,5.38,4.23,4.13
Net Income,"1,381","1,275",737.14,98.1,145.05,42.05,64.96
Preferred Dividends & Other Adjustments,-,-,-,-,15.12,52.88,57.85
Net Income to Common,"1,381","1,275",737.14,98.1,129.94,-10.83,7.11
Net Income Growth,32.59%,73.01%,651.42%,-32.37%,244.95%,-35.27%,-
Shares Outstanding (Basic),138,138,135,126,108,57,57
Shares Outstanding (Diluted),140,139,138,127,108,57,57
Shares Change (YoY),0.63%,0.58%,8.71%,18.08%,88.33%,-,-
EPS (Basic),9.99,9.25,5.45,0.78,1.21,-0.19,0.12
EPS (Diluted),9.90,9.18,5.34,0.78,1.20,-0.19,0.12
EPS Growth,31.52%,71.91%,588.28%,-35.35%,-,-,-
Free Cash Flow,"1,703","1,670","1,947",247.25,353.91,5.92,87.32
Free Cash Flow Per Share,12.20,12.01,14.08,1.94,3.29,0.10,1.53
Dividend Per Share,0.015,3.285,1.064,-,-,-,-
Dividend Growth,-99.67%,208.82%,-,-,-,-,-
Gross Margin,43.76%,42.16%,40.97%,31.72%,28.25%,26.58%,29.97%
Operating Margin,22.23%,22.38%,19.80%,7.29%,9.13%,3.23%,5.83%
Profit Margin,16.53%,17.60%,15.80%,4.33%,6.05%,-0.69%,0.45%
Free Cash Flow Margin,20.38%,23.04%,41.73%,10.93%,16.48%,0.38%,5.57%
EBITDA,"1,915","1,688","1,009",253.52,288.67,134.6,160.6
EBITDA Margin,22.92%,23.28%,21.63%,11.20%,13.44%,8.59%,10.25%
D&A For EBITDA,57.39,65.23,85.02,88.56,92.61,84,69.2
EBIT,"1,858","1,622",924.03,164.96,196.06,50.6,91.4
EBIT Margin,22.23%,22.38%,19.80%,7.29%,9.13%,3.23%,5.83%
Effective Tax Rate,29.35%,25.95%,24.75%,46.78%,31.50%,49.85%,43.84%
Revenue as Reported,"8,357","7,248","4,666","2,263","2,148","1,567","1,567"
