Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"5,401","3,700","2,389","2,350",-,-,-
Market Cap Growth,48.28%,54.90%,1.65%,-,-,-,-
Enterprise Value,"4,911","3,331","2,251","2,530",-,-,-
Last Close Price,39.25,26.56,16.79,17.31,-,-,-
PE Ratio,28.41,21.18,22.98,165.22,-,-,-
Forward PE,20.89,18.14,15.25,33.81,-,-,-
PS Ratio,4.65,3.73,3.63,7.16,-,-,-
PB Ratio,11.83,9.17,8.22,13.65,-,-,-
P/TBV Ratio,11.82,9.21,8.28,13.80,-,-,-
P/FCF Ratio,22.52,16.17,8.70,65.55,-,-,-
P/OCF Ratio,21.80,15.65,8.52,57.14,-,-,-
PEG Ratio,1.08,0.52,0.11,0.38,-,-,-
EV/Sales Ratio,4.21,3.36,3.42,7.71,-,-,-
EV/EBITDA Ratio,18.37,14.41,15.82,68.82,-,-,-
EV/EBIT Ratio,18.94,14.99,17.28,105.77,-,-,-
EV/FCF Ratio,20.48,14.56,8.20,70.57,-,-,-
Debt / Equity Ratio,0.52,0.59,0.95,1.94,0.19,0.22,0.14
Debt / EBITDA Ratio,0.77,0.86,1.43,3.79,0.38,0.90,0.45
Debt / FCF Ratio,1.00,1.04,1.00,9.30,0.31,20.51,0.83
Asset Turnover,1.07,1.00,0.82,0.65,1.01,0.86,-
Inventory Turnover,30.08,23.13,27.25,23.02,24.65,27.69,-
Quick Ratio,1.92,1.86,1.64,1.46,1.16,1.14,1.32
Current Ratio,2.10,2.02,1.78,1.58,1.35,1.30,1.42
Return on Equity (ROE),46.38%,50.86%,45.52%,10.97%,24.71%,6.91%,-
Return on Assets (ROA),14.85%,14.02%,10.18%,2.94%,5.79%,1.74%,-
Return on Capital (ROIC),24.51%,23.34%,15.41%,4.96%,18.00%,4.91%,-
Return on Capital Employed (ROCE),34.30%,32.10%,22.00%,4.80%,16.40%,4.70%,9.40%
Earnings Yield,3.57%,4.72%,4.35%,0.60%,-,-,-
FCF Yield,4.44%,6.18%,11.49%,1.52%,-,-,-
Dividend Yield,1.15%,1.70%,0.89%,-,-,-,-
Payout Ratio,58.63%,34.19%,20.43%,-,14.23%,-,-
Buyback Yield / Dilution,-0.63%,-0.58%,-8.71%,-18.08%,-88.33%,-,-
Total Shareholder Return,0.51%,1.11%,-7.81%,-18.08%,-88.33%,-,-
