Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,270","7,734","21,012","22,715","25,397","27,069","31,630","24,986","24,634","21,471","21,213"
Market Cap Growth,-30.15%,-63.19%,-7.50%,-10.56%,-6.18%,-14.42%,26.59%,1.43%,14.73%,1.21%,10.31%
Enterprise Value,"17,498","18,333","30,644","32,835","34,478","35,346","39,911","31,507","31,293","27,000","26,467"
Last Close Price,21.60,21.73,50.44,52.69,54.44,54.04,60.12,47.62,44.39,36.56,33.36
PE Ratio,7.64,-,26.73,25.02,19.33,206.64,34.61,21.25,38.02,28.78,41.62
Forward PE,7.01,26.55,17.86,17.52,21.35,25.13,31.19,21.72,27.50,26.04,27.66
PS Ratio,0.86,0.89,2.35,2.52,2.92,3.37,4.06,4.33,4.54,4.28,4.64
PB Ratio,0.63,0.70,1.60,-6.78,-9.68,-11.85,-42.97,-13.75,-16.16,-27.11,-127.41
P/FCF Ratio,5.94,7.64,17.82,14.61,15.77,16.23,19.12,16.38,15.71,14.19,19.13
P/OCF Ratio,3.83,4.44,11.49,11.47,12.71,13.41,15.68,13.29,13.27,12.49,17.05
PEG Ratio,-,0.53,3.07,2.73,2.18,1.86,2.51,1.05,1.25,1.09,1.09
EV/Sales Ratio,2.05,2.11,3.42,3.65,3.97,4.40,5.12,5.46,5.77,5.38,5.79
EV/EBITDA Ratio,7.34,7.50,12.28,12.52,13.43,14.93,18.15,15.00,15.77,15.46,16.76
EV/EBIT Ratio,9.43,9.83,16.38,16.33,16.94,18.98,23.06,17.51,18.56,18.27,20.25
EV/FCF Ratio,14.31,18.10,25.99,21.12,21.42,21.19,24.13,20.66,19.96,17.84,23.86
Debt / Equity Ratio,0.89,0.97,0.88,-2.93,-3.52,-3.92,-11.34,-3.79,-4.43,-7.38,-32.72
Debt / EBITDA Ratio,4.21,4.28,4.50,3.64,3.50,3.66,3.67,3.28,3.40,3.35,3.45
Debt / FCF Ratio,8.43,10.58,9.75,6.32,5.74,5.38,5.05,4.52,4.30,3.86,4.91
Asset Turnover,0.31,0.30,0.45,0.89,0.84,0.75,0.81,0.70,0.66,0.63,0.56
Inventory Turnover,-,-,-,-,-,-,233.58,128.44,125.98,115.35,107.82
Quick Ratio,0.23,0.31,0.26,0.24,0.31,0.24,0.24,0.10,0.11,0.16,0.14
Current Ratio,0.31,0.42,0.34,0.35,0.40,0.31,0.31,0.17,0.17,0.24,0.23
Return on Equity (ROE),8.86%,-17.17%,20.27%,-,-,-,-,-,-,-,89.16%
Return on Assets (ROA),4.23%,4.05%,5.83%,12.38%,12.34%,10.84%,11.20%,13.63%,12.90%,11.51%,9.95%
Return on Capital (ROIC),5.34%,5.03%,7.53%,19.20%,19.13%,16.29%,17.06%,21.85%,20.50%,17.87%,14.74%
Return on Capital Employed (ROCE),7.70%,7.50%,7.20%,28.60%,27.90%,26.00%,22.00%,33.50%,30.60%,27.70%,23.50%
Earnings Yield,13.66%,-21.53%,3.74%,4.00%,5.17%,0.48%,2.89%,4.71%,2.63%,3.47%,2.40%
FCF Yield,16.82%,13.10%,5.61%,6.85%,6.34%,6.16%,5.23%,6.10%,6.37%,7.05%,5.23%
Dividend Yield,5.00%,4.92%,1.97%,1.71%,1.21%,1.01%,0.83%,0.95%,0.92%,0.27%,-
Payout Ratio,38.20%,-,-,-,20.40%,180.92%,24.73%,17.09%,29.32%,6.44%,-
Buyback Yield / Dilution,-4.59%,6.63%,1.63%,11.18%,6.46%,4.05%,-1.21%,3.45%,4.85%,8.65%,7.28%
Total Shareholder Return,0.41%,11.54%,3.60%,12.88%,7.67%,5.06%,-0.38%,4.40%,5.77%,8.93%,7.28%
