Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,79,162,306,57,191,71,106,54,69.02,213.94,111.84
Cash & Short-Term Investments,79,162,306,57,191,71,106,54,69.02,213.94,111.84
Cash Growth,-37.80%,-47.06%,436.84%,-70.16%,169.01%,-33.02%,96.30%,-21.76%,-67.74%,91.29%,-24.29%
Accounts Receivable,662,652,672,655,688,632,645,205,212.25,195.58,212.63
Other Receivables,41,24,37,-,34,40,25,28,29.48,27.45,22.15
Receivables,703,676,709,655,722,672,670,233,241.73,223.03,234.78
Inventory,-,-,-,-,-,-,11,22,20.2,20.36,22.3
Prepaid Expenses,277,290,310,284,246,204,194,158,129.43,179.15,187.03
Restricted Cash,-,-,-,-,-,-,-,-,0.24,-,-
Other Current Assets,25,21,36,42,21,20,22,11,10.28,6.17,5.94
Total Current Assets,"1,084","1,149","1,361","1,038","1,180",967,"1,003",478,470.9,642.65,561.89
"Property, Plant & Equipment","2,239","2,109","1,791","1,814","1,808","2,056","2,092","1,513","1,463","1,399","1,415"
Long-Term Investments,975,"1,043",715,-,334,407,321,834,821.69,8.62,-
Goodwill,"12,390","12,390","15,209","3,249","3,151","3,122","3,843","2,290","2,287","2,205","2,205"
Other Intangible Assets,"10,096","10,189","10,310","3,050","3,186","3,340","3,467","2,501","2,523","2,545","2,593"
Long-Term Deferred Tax Assets,-,-,-,147,200,111,153,293,505.53,"1,084","1,116"
Other Long-Term Assets,617,641,670,724,295,207,139,138,118.99,119.4,155.19
Total Assets,"27,401","27,521","30,056","10,022","10,274","10,333","11,149","8,173","8,329","8,004","8,047"
Accounts Payable,"1,175","1,236","1,257","1,248","1,299","1,223","1,151",736,794.34,713.03,625.31
Accrued Expenses,71,172,174,165,173,174,160,128,137.43,114.63,91.66
Current Portion of Long-Term Debt,"1,058",55,"1,074",193,-,-,1,3,5.11,5.49,4.76
Current Portion of Leases,14,54,51,53,49,49,47,-,-,-,-
Current Unearned Revenue,"1,005","1,050","1,195","1,322","1,454","1,721","1,930","1,932","1,885","1,835","1,775"
Other Current Liabilities,138,164,200,-,5,-,4,4,0.06,0.06,0.06
Total Current Liabilities,"3,461","2,731","3,951","2,981","2,980","3,167","3,293","2,803","2,822","2,669","2,496"
Long-Term Debt,"9,012","10,309","10,063","9,247","8,832","8,499","7,841","6,880","6,731","5,843","5,444"
Long-Term Leases,223,296,302,329,362,419,457,5,10.6,-,-
Long-Term Unearned Revenue,89,82,88,81,97,118,130,149,179.67,184.19,168.25
Long-Term Deferred Tax Liabilities,"2,275","2,220","2,414",565,478,266,70,47,8.17,6.42,6.68
Other Long-Term Liabilities,785,809,136,170,150,149,94,106,102.63,93.64,98.12
Total Liabilities,"15,845","16,447","16,954","13,373","12,899","12,618","11,885","9,990","9,853","8,796","8,213"
Common Stock,-,-,-,4,4,4,4,4,4.53,4.75,5.15
Additional Paid-In Capital,-,-,-,-,-,-,395,242,"1,714","3,118","4,784"
Retained Earnings,"11,606","11,121","15,353","-3,351","-2,636","-2,285","-1,143","-2,057","-3,243","-3,891","-4,931"
Treasury Stock,-,-1,-,-,-8,-19,-,-,-17.15,-22.91,-23.73
Comprehensive Income & Other,-50,-46,"-5,277",-4,15,15,8,-6,18.41,-0.14,-0.5
Total Common Equity,"11,556","11,074","10,076","-3,351","-2,625","-2,285",-736,"-1,817","-1,524",-792.02,-166.49
Minority Interest,-,-,"3,026",-,-,-,-,-,-,-,-
Shareholders' Equity,"11,556","11,074","13,102","-3,351","-2,625","-2,285",-736,"-1,817","-1,524",-792.02,-166.49
Total Liabilities & Equity,"27,401","27,521","30,056","10,022","10,274","10,333","11,149","8,173","8,329","8,004","8,047"
Total Debt,"10,307","10,714","11,490","9,822","9,243","8,967","8,346","6,888","6,746","5,848","5,448"
Net Cash (Debt),"-10,228","-10,552","-11,184","-9,765","-9,052","-8,896","-8,240","-6,834","-6,677","-5,634","-5,337"
Net Cash Per Share,-28.97,-31.22,-30.90,-26.54,-21.85,-20.09,-17.85,-14.98,-14.13,-11.35,-9.82
Filing Date Shares Outstanding,336.56,338.77,384.25,389.05,394.79,414,441.39,434.58,449.19,471.52,509.6
Total Common Shares Outstanding,337,338.97,384.3,389.1,396.7,417.3,441.2,434.56,452.77,474.09,514.76
Working Capital,"-2,377","-1,582","-2,590","-1,943","-1,800","-2,200","-2,290","-2,325","-2,351","-2,026","-1,935"
Book Value Per Share,34.29,32.67,26.22,-8.61,-6.62,-5.48,-1.67,-4.18,-3.37,-1.67,-0.32
Tangible Book Value,"-10,930","-11,505","-15,443","-9,650","-8,962","-8,747","-8,046","-6,608","-6,333","-5,542","-4,965"
Tangible Book Value Per Share,-32.43,-33.94,-40.18,-24.80,-22.59,-20.96,-18.24,-15.21,-13.99,-11.69,-9.65
Land,-,-,-,-,38,38,38,38,38.41,38.41,38.41
Buildings,-,-,-,-,81,63,63,63,61.82,61.6,60.49
Machinery,"2,159","1,598","1,598",-,"2,168","1,884","1,913","1,893","1,973","1,967","2,733"
Construction In Progress,758,988,538,-,156,510,505,412,301.15,144.95,101.32
Leasehold Improvements,-,-,-,-,109,111,105,58,57.64,53.9,49.41
