Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,402","3,666","3,114",975,"2,018",948,418,247,203,116,76
Market Cap Growth,18.32%,17.73%,219.46%,-51.71%,112.92%,126.79%,69.47%,21.75%,74.20%,52.47%,-16.87%
Enterprise Value,"4,147","3,381","2,847",778,"1,814",843,335,198,184,97,47
Last Close Price,96.19,80.77,68.26,21.60,45.30,21.56,10.65,6.53,5.42,3.05,2.01
PE Ratio,95.02,30.93,39.60,12.19,33.49,43.53,19.01,13.17,14.51,24.57,-
Forward PE,30.74,26.22,31.04,13.12,27.26,29.48,17.61,10.42,12.85,10.97,14.97
PS Ratio,9.05,8.54,9.87,3.04,7.49,6.08,3.12,2.00,2.17,1.47,1.10
PB Ratio,7.62,6.68,6.54,2.54,6.87,4.17,3.07,2.43,2.40,1.59,1.12
P/TBV Ratio,8.93,7.94,8.09,2.54,6.89,4.18,3.08,2.44,2.42,1.60,1.13
P/FCF Ratio,-,32.69,43.72,19.65,35.48,40.61,17.89,16.95,-,-,-
P/OCF Ratio,-,29.99,39.25,16.86,33.11,36.81,16.97,14.69,123.91,-,43.59
EV/Sales Ratio,8.55,7.88,9.03,2.42,6.73,5.41,2.50,1.61,1.97,1.22,0.68
EV/EBITDA Ratio,29.87,28.48,39.99,9.09,24.61,33.90,13.90,9.02,15.22,19.91,11.52
EV/EBIT Ratio,33.31,31.29,43.53,9.55,25.59,37.24,15.25,9.90,18.46,33.42,21.38
EV/FCF Ratio,-,30.15,39.97,15.68,31.89,36.10,14.33,13.63,-,-,-
Debt / Equity Ratio,0.90,0.38,0.42,0.52,0.67,0.01,0.01,-,-,-,-
Debt / EBITDA Ratio,3.68,1.71,2.75,2.29,2.64,0.05,0.06,-,-,-,-
Debt / FCF Ratio,-,1.85,2.82,4.02,3.47,0.06,0.07,-,-,-,-
Asset Turnover,0.47,0.51,0.43,0.51,0.62,0.68,0.86,0.97,0.86,0.71,0.65
Inventory Turnover,2.11,2.23,2.22,2.59,2.69,2.60,2.57,2.42,2.53,1.89,1.40
Quick Ratio,6.34,4.05,4.69,5.50,5.12,3.86,3.90,2.29,2.45,1.38,1.38
Current Ratio,7.58,5.00,5.66,6.29,5.80,4.56,4.67,3.08,3.28,2.72,2.25
Return on Equity (ROE),8.76%,23.12%,18.28%,23.59%,23.14%,11.98%,17.52%,20.17%,2.14%,1.23%,-19.14%
Return on Assets (ROA),7.51%,8.04%,5.58%,8.08%,10.17%,6.17%,8.80%,9.84%,5.70%,1.63%,1.29%
Return on Capital (ROIC),8.61%,9.42%,6.49%,9.48%,12.31%,7.71%,11.48%,13.48%,7.90%,2.55%,2.06%
Return on Capital Employed (ROCE),11.20%,14.10%,9.50%,13.80%,14.30%,9.80%,15.80%,19.50%,11.70%,3.90%,3.00%
Earnings Yield,1.09%,3.23%,2.53%,8.20%,2.99%,2.30%,5.26%,7.59%,6.89%,4.07%,-13.26%
FCF Yield,-,3.06%,2.29%,5.09%,2.82%,2.46%,5.59%,5.90%,-0.74%,-16.03%,-0.63%
Dividend Yield,1.38%,1.65%,-,-,-,-,1.60%,2.14%,2.58%,-,-
Payout Ratio,-,50.66%,-,-,-,-,29.80%,27.03%,35.82%,-,-
Buyback Yield / Dilution,-0.29%,-1.04%,-1.31%,-7.09%,-11.55%,-5.05%,-4.58%,-2.18%,-1.66%,-6.07%,-9.19%
Total Shareholder Return,1.09%,0.61%,-1.31%,-7.09%,-11.55%,-5.05%,-2.99%,-0.03%,0.92%,-6.07%,-9.19%
