Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,011","5,973","6,669","6,323","7,553","6,073","4,698","3,448","5,287","9,423","9,220"
Market Cap Growth,-12.28%,-10.43%,5.48%,-16.30%,24.37%,29.27%,36.25%,-34.78%,-43.90%,2.20%,-12.06%
Enterprise Value,"7,994","7,887","8,853","8,896","10,460","9,211","7,914","6,364","7,974","11,560","11,192"
Last Close Price,19.34,17.73,18.88,17.84,21.56,17.45,13.55,9.99,15.38,26.45,24.85
PE Ratio,14.61,11.02,31.11,16.05,8.37,49.15,-,-,-,30.25,25.18
Forward PE,11.15,12.21,14.32,11.85,16.92,40.74,-,-,64.92,17.63,20.23
PS Ratio,1.20,1.11,1.23,1.16,1.38,1.32,1.04,0.76,1.08,1.73,1.62
PB Ratio,2.66,2.64,3.10,3.08,4.82,9.95,9.55,5.17,4.24,3.91,3.50
P/TBV Ratio,11.41,11.45,17.94,25.03,-,-,-,-,-,26.20,16.81
P/FCF Ratio,12.31,9.99,9.40,24.67,22.61,36.39,72.70,-,-,28.36,19.19
P/OCF Ratio,9.12,7.46,7.67,14.28,15.56,21.26,27.89,-,-,15.85,12.55
PEG Ratio,2.04,0.92,1.51,0.96,5.29,5.29,-,-,6.96,1.47,3.75
EV/Sales Ratio,1.53,1.47,1.63,1.64,1.92,2.01,1.76,1.41,1.63,2.12,1.96
EV/EBITDA Ratio,10.27,8.75,10.89,10.03,11.21,16.07,25.21,232.21,-,14.21,12.74
EV/EBIT Ratio,13.12,10.75,13.93,12.63,13.98,24.25,114.11,-,-,20.96,18.26
EV/FCF Ratio,16.37,13.19,12.48,34.71,31.31,55.19,122.46,-,-,34.79,23.30
Debt / Equity Ratio,1.18,1.19,1.24,1.30,1.87,5.22,6.49,4.28,2.50,0.97,0.80
Debt / EBITDA Ratio,2.92,2.60,2.83,2.60,2.74,4.48,7.09,104.22,-,2.86,2.39
Debt / FCF Ratio,5.48,4.49,3.76,10.43,8.77,19.08,49.39,-,-,7.00,4.38
Asset Turnover,0.80,0.83,0.86,0.87,0.92,0.85,0.85,0.79,0.77,0.84,0.86
Inventory Turnover,3.31,4.92,3.90,3.52,4.33,4.57,4.83,4.75,5.03,4.84,5.04
Quick Ratio,1.05,1.82,1.75,1.37,1.13,1.33,1.23,1.25,1.36,1.32,1.24
Current Ratio,1.60,2.38,2.33,2.30,1.80,1.84,1.76,1.88,1.91,1.95,1.82
Return on Equity (ROE),18.90%,24.55%,10.19%,21.73%,82.88%,22.43%,-37.76%,-55.73%,-57.71%,12.41%,13.23%
Return on Assets (ROA),5.81%,7.07%,6.30%,7.00%,7.84%,4.37%,0.82%,-2.67%,-3.38%,5.29%,5.78%
Return on Capital (ROIC),7.71%,9.39%,8.33%,9.54%,11.28%,6.35%,1.20%,-3.87%,-4.73%,7.28%,7.83%
Return on Capital Employed (ROCE),13.20%,14.00%,12.50%,14.10%,15.60%,9.10%,1.70%,-6.10%,-7.50%,11.10%,12.50%
Earnings Yield,7.19%,9.07%,3.21%,6.23%,11.96%,2.04%,-4.66%,-15.47%,-19.95%,3.32%,4.01%
FCF Yield,8.12%,10.01%,10.64%,4.05%,4.42%,2.75%,1.38%,-5.21%,-6.14%,3.53%,5.21%
Dividend Yield,-,-,-,-,-,-,-,-,5.92%,5.75%,6.12%
Payout Ratio,-,-,-,-,-,-,-,-,-,165.71%,139.43%
Buyback Yield / Dilution,5.61%,3.86%,0.69%,-0.66%,-2.33%,-0.86%,-0.32%,-0.42%,0.19%,-1.32%,0.30%
Total Shareholder Return,5.61%,3.86%,0.69%,-0.66%,-2.33%,-0.86%,-0.32%,-0.42%,6.11%,4.43%,6.42%
